Time	[ADP]	[ATP]	[MT]	[20S]	[Hsc70]	[Hsp90]	[CHIP]	[Bag2]	[26S]	[TauH3RUb]	[TauH4RUb]	[Nucleus3]	[Nucleus4]	[Agg33]	[Ap]	[Agg43]	[Bp]	[Tau03R]	[TauN3R]	[TauH3R]	[Tau0*3R]	[Tau03RMT]	[TauN*3R]	[TauN3RMT]	[TauH*3R]	[TauH3RMT]	[TauH3R-Hsc70]	[TauH3R-Hsp90]	[Tau03R-Hsp90]	[TauH3R-CHIP-Hsc70]	[TauH3R-CHIP-Hsc70-Bag2]	[Tau04R]	[TauN4R]	[TauH4R]	[Tau0*4R]	[Tau04RMT]	[TauN*4R]	[TauN4RMT]	[TauH*4R]	[TauH4RMT]	[TauH4R-Hsc70]	[TauH4R-Hsp90]	[Tau04R-Hsp90]	[TauH4R-CHIP-Hsc70]	[TauH4R-CHIP-Hsc70-Bag2]
44	0.124331	0.875669	12.3413	1	0.0999994	0.0999999	0.0999997	0.0999999	1	1.1981e-08	3.75551e-08	5.46317e-21	2.70572e-20	2.88251e-29	1.12974e-37	2.90691e-28	2.45612e-36	0.00780322	0.00115269	2.90956e-05	0.00125182	0.686073	0.000288272	0.896364	1.40141e-05	0.000471501	2.11619e-07	2.05016e-08	2.74255e-08	1.20118e-07	1.2471e-07	0.00420123	0.000635823	0.000938808	0.000387017	0.402408	6.81295e-05	0.627231	0.000456963	0.0461453	1.17643e-07	1.20228e-08	2.47281e-08	6.58221e-09	5.14253e-14
45	0.124857	0.875143	12.281	1	0.0999994	0.0999999	0.0999997	0.0999999	1	1.25736e-08	4.10869e-08	6.20989e-21	3.29916e-20	3.54557e-29	1.5049e-37	3.96924e-28	3.77376e-36	0.00787688	0.00117787	2.97349e-05	0.00128636	0.706601	0.000294627	0.91167	1.43202e-05	0.000479442	2.19207e-07	2.14356e-08	2.94612e-08	1.25296e-07	1.32439e-07	0.00421045	0.00064746	0.000989307	0.000391512	0.408076	7.02484e-05	0.64374	0.000481722	0.0484083	1.25487e-07	1.29089e-08	2.71753e-08	7.04007e-09	5.514e-14
46	0.125369	0.874631	12.2208	1	0.0999994	0.0999999	0.0999997	0.0999999	1	1.31747e-08	4.4856e-08	7.03074e-21	4.00395e-20	4.33363e-29	1.98702e-37	5.37836e-28	5.72278e-36	0.00795205	0.00120292	3.03695e-05	0.00132164	0.727419	0.000300945	0.926674	1.46241e-05	0.000487209	2.26857e-07	2.23817e-08	3.15831e-08	1.30531e-07	1.40376e-07	0.00421971	0.000659211	0.00104136	0.000396025	0.413691	7.23878e-05	0.660245	0.000507245	0.0507233	1.33651e-07	1.38356e-08	2.97975e-08	7.51749e-09	5.90201e-14
47	0.125867	0.874133	12.1605	1	0.0999993	0.0999999	0.0999997	0.0999999	1	1.37839e-08	4.88719e-08	7.93029e-21	4.83739e-20	5.26515e-29	2.60128e-37	7.23087e-28	8.55619e-36	0.00802873	0.00122784	3.09996e-05	0.00135766	0.748521	0.000307227	0.941379	1.49258e-05	0.000494803	2.34567e-07	2.33394e-08	3.37919e-08	1.35821e-07	1.48515e-07	0.00422901	0.000671078	0.00109499	0.000400558	0.419255	7.45478e-05	0.676746	0.000533538	0.0530899	1.4214e-07	1.48038e-08	3.26024e-08	8.01477e-09	6.30683e-14
48	0.126351	0.873649	12.1003	1	0.0999993	0.0999999	0.0999997	0.0999998	1	1.44011e-08	5.31442e-08	8.91326e-21	5.81941e-20	6.36079e-29	3.38e-37	9.66496e-28	1.27357e-35	0.00810694	0.00125263	3.16253e-05	0.00139443	0.769905	0.000313474	0.955788	1.52253e-05	0.000502229	2.42337e-07	2.43086e-08	3.60883e-08	1.41165e-07	1.56853e-07	0.00423835	0.000683061	0.00115021	0.000405112	0.424769	7.67285e-05	0.69324	0.000560611	0.0555079	1.50958e-07	1.58141e-08	3.55977e-08	8.53224e-09	6.72872e-14
49	0.126823	0.873177	12.0401	1	0.0999993	0.0999999	0.0999997	0.0999998	1	1.5026e-08	5.76826e-08	9.98445e-21	6.97182e-20	7.64316e-29	4.35863e-37	1.28279e-27	1.87166e-35	0.00818667	0.00127728	3.22466e-05	0.00143195	0.791566	0.000319687	0.969905	1.55228e-05	0.00050949	2.50165e-07	2.52888e-08	3.84729e-08	1.46562e-07	1.65387e-07	0.00424773	0.000695161	0.00120704	0.000409687	0.430234	7.893e-05	0.709728	0.000588473	0.0579769	1.60111e-07	1.68672e-08	3.87912e-08	9.07017e-09	7.16794e-14
50	0.127282	0.872718	11.9799	1	0.0999992	0.0999999	0.0999997	0.0999998	1	1.56584e-08	6.24971e-08	1.11488e-20	8.31934e-20	9.13726e-29	5.58094e-37	1.69187e-27	2.7266e-35	0.00826796	0.00130182	3.28638e-05	0.00147023	0.8135	0.000325865	0.983733	1.58182e-05	0.000516587	2.5805e-07	2.62797e-08	4.09463e-08	1.52009e-07	1.74112e-07	0.00425716	0.000707379	0.0012655	0.000414286	0.435652	8.11525e-05	0.726206	0.000617132	0.0604968	1.69604e-07	1.79638e-08	4.2191e-08	9.6289e-09	7.62477e-14
51	0.12773	0.87227	11.9197	1	0.0999992	0.0999999	0.0999996	0.0999998	1	1.62981e-08	6.75975e-08	1.24113e-20	9.88973e-20	1.08706e-28	7.09943e-37	2.21911e-27	3.94955e-35	0.0083508	0.00132623	3.34768e-05	0.00150927	0.835704	0.00033201	0.997277	1.61117e-05	0.000523524	2.65992e-07	2.72811e-08	4.35091e-08	1.57506e-07	1.83024e-07	0.00426663	0.000719716	0.0013256	0.000418908	0.441024	8.33963e-05	0.742675	0.000646597	0.0630673	1.7944e-07	1.91046e-08	4.5805e-08	1.02087e-08	8.09947e-14
52	0.128166	0.871834	11.8596	1	0.0999992	0.0999999	0.0999996	0.0999998	1	1.69448e-08	7.29941e-08	1.3777e-20	1.17134e-19	1.28732e-28	8.97275e-37	2.89271e-27	5.65968e-35	0.00843522	0.00135052	3.40858e-05	0.00154908	0.858172	0.000338123	1.01054	1.64032e-05	0.000530303	2.73988e-07	2.82927e-08	4.61618e-08	1.63052e-07	1.9212e-07	0.00427615	0.000732172	0.00138737	0.000423555	0.446353	8.56614e-05	0.759133	0.000676878	0.065688	1.89626e-07	2.02902e-08	4.96415e-08	1.08099e-08	8.5923e-14
53	0.128592	0.871408	11.7995	1	0.0999991	0.0999998	0.0999996	0.0999998	1	1.75984e-08	7.86969e-08	1.52512e-20	1.38248e-19	1.5178e-28	1.12731e-36	3.75155e-27	8.07164e-35	0.00852122	0.0013747	3.4691e-05	0.00158967	0.880902	0.000344204	1.02353	1.66929e-05	0.000536929	2.82038e-07	2.93141e-08	4.89048e-08	1.68645e-07	2.01397e-07	0.00428572	0.000744749	0.00145082	0.000428228	0.451638	8.79481e-05	0.77558	0.000707984	0.0683586	2.00165e-07	2.15213e-08	5.37087e-08	1.14328e-08	9.10353e-14
54	0.129007	0.870993	11.7394	1	0.0999991	0.0999998	0.0999996	0.0999998	1	1.82587e-08	8.47163e-08	1.68392e-20	1.62616e-19	1.78206e-28	1.40822e-36	4.83991e-27	1.14287e-34	0.00860881	0.00139877	3.52925e-05	0.00163103	0.903889	0.000350255	1.03624	1.69808e-05	0.000543402	2.90141e-07	3.03453e-08	5.17387e-08	1.74284e-07	2.10849e-07	0.00429534	0.000757447	0.00151598	0.000432928	0.456881	9.02566e-05	0.792013	0.000739924	0.071079	2.11062e-07	2.27986e-08	5.8015e-08	1.20776e-08	9.6334e-14
55	0.129412	0.870588	11.6793	1	0.0999991	0.0999998	0.0999996	0.0999998	1	1.89256e-08	9.10627e-08	1.85464e-20	1.90655e-19	2.08399e-28	1.74936e-36	6.21049e-27	1.60405e-34	0.008698	0.00142272	3.58903e-05	0.00167319	0.927128	0.000356275	1.04868	1.72669e-05	0.000549727	2.98297e-07	3.13858e-08	5.46639e-08	1.79969e-07	2.20475e-07	0.00430502	0.000770269	0.00158285	0.000437655	0.462083	9.25871e-05	0.808433	0.000772709	0.0738487	2.22322e-07	2.41228e-08	6.25689e-08	1.27447e-08	1.01822e-13
56	0.129808	0.870192	11.6192	1	0.099999	0.0999998	0.0999996	0.0999998	1	1.95988e-08	9.77466e-08	2.03783e-20	2.2283e-19	2.42781e-28	2.162e-36	7.93372e-27	2.24285e-34	0.00878882	0.00144657	3.64846e-05	0.00171613	0.950615	0.000362266	1.06086	1.75514e-05	0.000555906	3.06503e-07	3.24355e-08	5.76808e-08	1.85697e-07	2.3027e-07	0.00431476	0.000783214	0.00165147	0.000442411	0.467246	9.49398e-05	0.824838	0.000806347	0.0766675	2.33951e-07	2.54945e-08	6.73789e-08	1.34345e-08	1.07501e-13
57	0.130194	0.869806	11.5592	1	0.099999	0.0999998	0.0999996	0.0999998	1	2.02782e-08	1.04779e-07	2.23405e-20	2.59645e-19	2.81807e-28	2.65855e-36	1.00859e-26	3.11237e-34	0.00888126	0.00147031	3.70755e-05	0.00175988	0.974346	0.000368229	1.07278	1.78342e-05	0.000561941	3.1476e-07	3.34942e-08	6.07897e-08	1.91469e-07	2.40231e-07	0.00432455	0.000796285	0.00172185	0.000447196	0.47237	9.7315e-05	0.841228	0.000840849	0.0795351	2.45952e-07	2.69144e-08	7.24536e-08	1.41471e-08	1.13375e-13
58	0.130572	0.869428	11.4992	1	0.099999	0.0999998	0.0999995	0.0999997	1	2.09638e-08	1.12169e-07	2.44387e-20	3.01661e-19	3.25968e-28	3.25355e-36	1.27647e-26	4.29522e-34	0.00897535	0.00149396	3.76632e-05	0.00180442	0.998317	0.000374164	1.08444	1.81155e-05	0.000567836	3.23067e-07	3.45617e-08	6.39911e-08	1.97284e-07	2.50355e-07	0.0043344	0.000809483	0.00179402	0.000452011	0.477457	9.97129e-05	0.857602	0.000876225	0.0824512	2.58331e-07	2.83831e-08	7.78019e-08	1.48829e-08	1.19446e-13
59	0.130941	0.869059	11.4392	1	0.0999989	0.0999998	0.0999995	0.0999997	1	2.16552e-08	1.1993e-07	2.66786e-20	3.49493e-19	3.75795e-28	3.9639e-36	1.60912e-26	5.90694e-34	0.00907109	0.00151751	3.82477e-05	0.00184978	1.02252	0.000380073	1.09585	1.83952e-05	0.000573593	3.31422e-07	3.56377e-08	6.72852e-08	2.0314e-07	2.60637e-07	0.00434431	0.000822808	0.00186799	0.000456858	0.482506	0.000102134	0.873959	0.000912485	0.0854156	2.71092e-07	2.99014e-08	8.34327e-08	1.56421e-08	1.25717e-13
60	0.131302	0.868698	11.3792	1	0.0999989	0.0999998	0.0999995	0.0999997	1	2.23525e-08	1.28071e-07	2.90661e-20	4.03807e-19	4.31857e-28	4.80795e-36	2.01946e-26	8.06219e-34	0.0091685	0.00154097	3.88292e-05	0.00189595	1.04696	0.000385957	1.10701	1.86736e-05	0.000579216	3.39826e-07	3.67221e-08	7.06724e-08	2.09036e-07	2.71076e-07	0.00435429	0.000836263	0.00194378	0.000461737	0.48752	0.000104578	0.890298	0.000949641	0.0884278	2.84241e-07	3.14699e-08	8.93547e-08	1.64252e-08	1.32189e-13
61	0.131655	0.868345	11.3193	1	0.0999988	0.0999998	0.0999995	0.0999997	1	2.30555e-08	1.36604e-07	3.16072e-20	4.65331e-19	4.94763e-28	5.80675e-36	2.52319e-26	1.09187e-33	0.00926759	0.00156434	3.94079e-05	0.00194294	1.07162	0.000391817	1.11793	1.89505e-05	0.000584706	3.48277e-07	3.78148e-08	7.41529e-08	2.14973e-07	2.81667e-07	0.00436433	0.000849849	0.00202142	0.000466648	0.4925	0.000107045	0.906619	0.000987702	0.0914877	2.97783e-07	3.30892e-08	9.55772e-08	1.72324e-08	1.38867e-13
62	0.132001	0.867999	11.2593	1	0.0999988	0.0999997	0.0999995	0.0999997	1	2.37641e-08	1.4554e-07	3.43078e-20	5.34876e-19	5.65171e-28	6.98555e-36	3.14185e-26	1.47617e-33	0.00936837	0.00158763	3.99838e-05	0.00199075	1.09651	0.000397653	1.12861	1.92262e-05	0.000590066	3.56774e-07	3.89154e-08	7.77271e-08	2.20949e-07	2.92409e-07	0.00437445	0.000863567	0.00210094	0.000471594	0.497445	0.000109537	0.922922	0.00102668	0.0945949	3.11721e-07	3.47601e-08	1.02109e-07	1.8064e-08	1.45752e-13
63	0.132339	0.867661	11.1994	1	0.0999988	0.0999997	0.0999995	0.0999997	1	2.44781e-08	1.5489e-07	3.71742e-20	6.13301e-19	6.4378e-28	8.37079e-36	3.89659e-26	1.98278e-33	0.00947086	0.00161084	4.05571e-05	0.0020394	1.12161	0.000403466	1.13905	1.95005e-05	0.000595299	3.65318e-07	4.0024e-08	8.13951e-08	2.26964e-07	3.03296e-07	0.00438463	0.00087742	0.00218234	0.000476575	0.502356	0.000112052	0.939205	0.00106659	0.0977492	3.26062e-07	3.64832e-08	1.0896e-07	1.89203e-08	1.52847e-13
64	0.132671	0.867329	11.1396	1	0.0999987	0.0999997	0.0999994	0.0999997	1	2.51975e-08	1.64666e-07	4.02125e-20	7.01547e-19	7.31334e-28	9.99255e-36	4.81291e-26	2.6437e-33	0.00957507	0.00163397	4.11278e-05	0.0020889	1.14692	0.000409259	1.14926	1.97737e-05	0.000600408	3.73908e-07	4.11402e-08	8.51572e-08	2.33016e-07	3.14328e-07	0.00439488	0.000891408	0.00226567	0.000481591	0.507236	0.000114592	0.955468	0.00110743	0.10095	3.40811e-07	3.82592e-08	1.16139e-07	1.98017e-08	1.60155e-13
65	0.132996	0.867004	11.0797	1	0.0999987	0.0999997	0.0999994	0.0999997	1	2.59222e-08	1.74879e-07	4.34289e-20	8.00649e-19	8.28636e-28	1.18863e-35	5.92501e-26	3.51507e-33	0.00968101	0.00165703	4.16962e-05	0.00213923	1.17245	0.000415031	1.15924	2.00458e-05	0.000605394	3.82543e-07	4.22641e-08	8.90137e-08	2.39106e-07	3.25501e-07	0.0044052	0.000905533	0.00235093	0.000486644	0.512083	0.000117157	0.97171	0.00114923	0.104198	3.55972e-07	4.00887e-08	1.23656e-07	2.07084e-08	1.67679e-13
66	0.133315	0.866685	11.0199	1	0.0999986	0.0999997	0.0999994	0.0999997	1	2.6652e-08	1.8554e-07	4.68299e-20	9.11718e-19	9.36531e-28	1.40903e-35	7.26906e-26	4.65273e-33	0.0097887	0.00168003	4.22624e-05	0.00219042	1.19818	0.000420784	1.169	2.03168e-05	0.000610261	3.91222e-07	4.33954e-08	9.29646e-08	2.45232e-07	3.36811e-07	0.0044156	0.000919797	0.00243816	0.000491735	0.5169	0.000119747	0.987932	0.00119199	0.107491	3.71551e-07	4.19726e-08	1.31519e-07	2.16408e-08	1.75421e-13
67	0.133627	0.866373	10.9601	1	0.0999986	0.0999997	0.0999994	0.0999997	1	2.73869e-08	1.96662e-07	5.0422e-20	1.03595e-18	1.05592e-27	1.66468e-35	8.88603e-26	6.12179e-33	0.00989816	0.00170296	4.28265e-05	0.00224247	1.2241	0.000426519	1.17853	2.05867e-05	0.000615011	3.99946e-07	4.4534e-08	9.70103e-08	2.51395e-07	3.48257e-07	0.00442608	0.000934202	0.00252738	0.000496864	0.521686	0.000122362	1.00413	0.00123572	0.110831	3.87553e-07	4.39114e-08	1.3974e-07	2.25993e-08	1.83384e-13
68	0.133934	0.866066	10.9003	1	0.0999985	0.0999997	0.0999994	0.0999996	1	2.81268e-08	2.08256e-07	5.42115e-20	1.17464e-18	1.18777e-27	1.9604e-35	1.08269e-25	8.01963e-33	0.0100094	0.00172583	4.33886e-05	0.00229539	1.25023	0.000432237	1.18785	2.08558e-05	0.000619647	4.08713e-07	4.56797e-08	1.01151e-07	2.57593e-07	3.59836e-07	0.00443664	0.00094875	0.00261861	0.000502032	0.526443	0.000125002	1.02031	0.00128044	0.114215	4.03984e-07	4.59059e-08	1.48327e-07	2.3584e-08	1.91571e-13
69	0.134235	0.865765	10.8406	1	0.0999985	0.0999996	0.0999993	0.0999996	1	2.88716e-08	2.20334e-07	5.82052e-20	1.32922e-18	1.33309e-27	2.30161e-35	1.31528e-25	1.04753e-32	0.0101224	0.00174865	4.39488e-05	0.00234918	1.27654	0.000437939	1.19696	2.11239e-05	0.00062417	4.17524e-07	4.68326e-08	1.05386e-07	2.63827e-07	3.71545e-07	0.00444728	0.000963443	0.00271188	0.000507241	0.53117	0.000127669	1.03647	0.00132616	0.117646	4.20849e-07	4.79568e-08	1.5729e-07	2.45954e-08	1.99985e-13
70	0.134531	0.865469	10.7809	1	0.0999985	0.0999996	0.0999993	0.0999996	1	2.96213e-08	2.32908e-07	6.24098e-20	1.50117e-18	1.49296e-27	2.69411e-35	1.59274e-25	1.3615e-32	0.0102373	0.00177142	4.45073e-05	0.00240385	1.30305	0.000443626	1.20586	2.13913e-05	0.000628584	4.26377e-07	4.79924e-08	1.09717e-07	2.70095e-07	3.83381e-07	0.004458	0.000978282	0.00280721	0.000512491	0.535869	0.000130362	1.0526	0.0013729	0.121121	4.38153e-07	5.00647e-08	1.6664e-07	2.56338e-08	2.08628e-13
71	0.134821	0.865179	10.7212	1	0.0999984	0.0999996	0.0999993	0.0999996	1	3.03757e-08	2.45991e-07	6.68319e-20	1.69214e-18	1.66852e-27	3.1444e-35	1.92272e-25	1.76084e-32	0.0103539	0.00179414	4.50643e-05	0.00245942	1.32974	0.0004493	1.21456	2.16579e-05	0.00063289	4.35274e-07	4.91591e-08	1.14143e-07	2.76397e-07	3.95343e-07	0.0044688	0.00099327	0.00290464	0.000517783	0.540541	0.000133082	1.06871	0.00142066	0.124641	4.55901e-07	5.22306e-08	1.76386e-07	2.66996e-08	2.17504e-13
72	0.135106	0.864894	10.6615	1	0.0999984	0.0999996	0.0999993	0.0999996	1	3.11349e-08	2.59595e-07	7.14785e-20	1.90388e-18	1.86097e-27	3.65991e-35	2.31492e-25	2.27228e-32	0.0104724	0.00181682	4.56198e-05	0.00251588	1.3566	0.000454961	1.22306	2.19238e-05	0.000637091	4.44213e-07	5.03325e-08	1.18665e-07	2.82733e-07	4.07427e-07	0.00447969	0.00100841	0.00300419	0.000523118	0.545185	0.000135829	1.0848	0.00146946	0.128205	4.74101e-07	5.44549e-08	1.86538e-07	2.7793e-08	2.26615e-13
73	0.135387	0.864613	10.6019	1	0.0999983	0.0999996	0.0999993	0.0999996	1	3.18986e-08	2.73732e-07	7.63565e-20	2.13826e-18	2.07159e-27	4.24849e-35	2.77916e-25	2.91982e-32	0.0105928	0.00183947	4.61739e-05	0.00257324	1.38364	0.000460611	1.23136	2.2189e-05	0.000641189	4.53194e-07	5.15126e-08	1.23282e-07	2.89103e-07	4.19632e-07	0.00449068	0.0010237	0.00310588	0.000528498	0.549802	0.000138604	1.10086	0.00151931	0.131813	4.92756e-07	5.67386e-08	1.97108e-07	2.89145e-08	2.35965e-13
74	0.135663	0.864337	10.5423	1	0.0999983	0.0999996	0.0999992	0.0999996	1	3.2667e-08	2.88415e-07	8.14728e-20	2.39731e-18	2.30172e-27	4.91884e-35	3.32695e-25	3.7343e-32	0.010715	0.00186208	4.67269e-05	0.00263152	1.41085	0.000466251	1.23947	2.24538e-05	0.000645186	4.62217e-07	5.26993e-08	1.27994e-07	2.95505e-07	4.31955e-07	0.00450175	0.00103915	0.00320976	0.000533922	0.554393	0.000141407	1.1169	0.00157023	0.135465	5.11874e-07	5.90823e-08	2.08104e-07	3.00644e-08	2.45556e-13
75	0.135934	0.864066	10.4827	1	0.0999982	0.0999995	0.0999992	0.0999996	1	3.34398e-08	3.03656e-07	8.68346e-20	2.68318e-18	2.55276e-27	5.68058e-35	3.97174e-25	4.75727e-32	0.0108392	0.00188467	4.72788e-05	0.00269072	1.43823	0.000471882	1.24739	2.2718e-05	0.000649085	4.71282e-07	5.38925e-08	1.32803e-07	3.01941e-07	4.44395e-07	0.00451291	0.00105475	0.00331583	0.000539393	0.558958	0.000144238	1.13292	0.00162223	0.13916	5.3146e-07	6.14869e-08	2.19538e-07	3.1243e-08	2.55392e-13
76	0.136201	0.863799	10.4231	1	0.0999982	0.0999995	0.0999992	0.0999995	1	3.42172e-08	3.19469e-07	9.2449e-20	2.9982e-18	2.82622e-27	6.54444e-35	4.72956e-25	6.04268e-32	0.0109652	0.00190724	4.78298e-05	0.00275085	1.46577	0.000477505	1.25512	2.29817e-05	0.000652887	4.80389e-07	5.50922e-08	1.37707e-07	3.08409e-07	4.56948e-07	0.00452417	0.00107051	0.00342414	0.000544911	0.563499	0.000147097	1.14891	0.00167532	0.142899	5.51519e-07	6.3953e-08	2.3142e-07	3.24508e-08	2.65475e-13
77	0.136464	0.863536	10.3636	1	0.0999981	0.0999995	0.0999992	0.0999995	1	3.49989e-08	3.35866e-07	9.83233e-20	3.34485e-18	3.12365e-27	7.52203e-35	5.6182e-25	7.65075e-32	0.0110932	0.00192979	4.83799e-05	0.00281192	1.49347	0.000483122	1.26268	2.32451e-05	0.000656595	4.89537e-07	5.62982e-08	1.42707e-07	3.14909e-07	4.69614e-07	0.00453553	0.00108644	0.00353472	0.000550477	0.568014	0.000149986	1.16488	0.00172953	0.14668	5.72059e-07	6.64816e-08	2.4376e-07	3.3688e-08	2.75809e-13
78	0.136723	0.863277	10.3041	1	0.0999981	0.0999995	0.0999992	0.0999995	1	3.57851e-08	3.5286e-07	1.04465e-19	3.7258e-18	3.4467e-27	8.62612e-35	6.658e-25	9.65678e-32	0.0112231	0.00195232	4.89294e-05	0.00287394	1.52133	0.000488733	1.27005	2.35082e-05	0.000660211	4.98727e-07	5.75105e-08	1.47803e-07	3.21441e-07	4.8239e-07	0.00454698	0.00110252	0.00364759	0.000556091	0.572506	0.000152905	1.18082	0.00178486	0.150504	5.93085e-07	6.90733e-08	2.56571e-07	3.49552e-08	2.86397e-13
79	0.136978	0.863022	10.2447	1	0.099998	0.0999994	0.0999991	0.0999995	1	3.65755e-08	3.70465e-07	1.10881e-19	4.14388e-18	3.79711e-27	9.87067e-35	7.87214e-25	1.21528e-31	0.011355	0.00197485	4.94784e-05	0.00293692	1.54934	0.00049434	1.27725	2.37711e-05	0.000663736	5.07958e-07	5.87291e-08	1.52994e-07	3.28005e-07	4.95275e-07	0.00455854	0.00111878	0.00376279	0.000561756	0.576973	0.000155854	1.19673	0.00184133	0.15437	6.14603e-07	7.1729e-08	2.69862e-07	3.62525e-08	2.97242e-13
80	0.13723	0.86277	10.1852	1	0.099998	0.0999994	0.0999991	0.0999995	1	3.73703e-08	3.88694e-07	1.17579e-19	4.60212e-18	4.17668e-27	1.12708e-34	9.28657e-25	1.52479e-31	0.0114889	0.00199737	5.0027e-05	0.00300086	1.57749	0.000499944	1.28428	2.40337e-05	0.000667173	5.1723e-07	5.99538e-08	1.58282e-07	3.34601e-07	5.08265e-07	0.0045702	0.00113521	0.00388035	0.000567472	0.581417	0.000158833	1.21262	0.00189896	0.158278	6.3662e-07	7.44495e-08	2.83645e-07	3.75806e-08	3.08348e-13
81	0.137478	0.862522	10.1258	1	0.0999979	0.0999994	0.0999991	0.0999995	1	3.81694e-08	4.07561e-07	1.24567e-19	5.1037e-18	4.58731e-27	1.28429e-34	1.09307e-24	1.90733e-31	0.0116248	0.0020199	5.05753e-05	0.00306578	1.60579	0.000505547	1.29114	2.42963e-05	0.000670524	5.26545e-07	6.11847e-08	1.63666e-07	3.41228e-07	5.21361e-07	0.00458197	0.0011518	0.0040003	0.000573241	0.585839	0.000161843	1.22849	0.00195776	0.162228	6.59143e-07	7.72356e-08	2.9793e-07	3.89396e-08	3.19717e-13
82	0.137722	0.862278	10.0665	1	0.0999979	0.0999994	0.0999991	0.0999995	1	3.89727e-08	4.27079e-07	1.31852e-19	5.65208e-18	5.031e-27	1.4605e-34	1.28383e-24	2.37914e-31	0.0117628	0.00204243	5.11234e-05	0.0031317	1.63422	0.000511149	1.29784	2.45588e-05	0.00067379	5.359e-07	6.24217e-08	1.69147e-07	3.47887e-07	5.3456e-07	0.00459384	0.00116857	0.00412267	0.000579062	0.590237	0.000164885	1.24433	0.00201775	0.166219	6.82178e-07	8.00882e-08	3.1273e-07	4.03302e-08	3.31354e-13
83	0.137963	0.862037	10.0071	1	0.0999978	0.0999994	0.0999991	0.0999995	1	3.97802e-08	4.47262e-07	1.39442e-19	6.25103e-18	5.50989e-27	1.65776e-34	1.50497e-24	2.96136e-31	0.0119028	0.00206497	5.16716e-05	0.00319861	1.6628	0.000516751	1.30437	2.48212e-05	0.000676973	5.45298e-07	6.36648e-08	1.74723e-07	3.54577e-07	5.47861e-07	0.00460582	0.00118552	0.00424751	0.000584938	0.594614	0.000167959	1.26014	0.00207895	0.170251	7.05732e-07	8.30082e-08	3.28055e-07	4.17525e-08	3.43261e-13
84	0.138201	0.861799	9.94784	1	0.0999977	0.0999993	0.099999	0.0999994	1	4.05918e-08	4.68124e-07	1.47344e-19	6.90423e-18	6.02606e-27	1.87804e-34	1.76038e-24	3.6741e-31	0.0120448	0.00208753	5.22198e-05	0.00326653	1.6915	0.000522355	1.31075	2.50838e-05	0.000680076	5.54737e-07	6.4914e-08	1.80395e-07	3.61298e-07	5.61262e-07	0.00461792	0.00120265	0.00437484	0.000590869	0.598969	0.000171066	1.27593	0.00214137	0.174324	7.29812e-07	8.59965e-08	3.43917e-07	4.32072e-08	3.55443e-13
85	0.138436	0.861564	9.88858	1	0.0999977	0.0999993	0.099999	0.0999994	1	4.14077e-08	4.89679e-07	1.55568e-19	7.61594e-18	6.58187e-27	2.12374e-34	2.05513e-24	4.54709e-31	0.012189	0.00211011	5.27683e-05	0.00333547	1.72034	0.000527963	1.31698	2.53465e-05	0.0006831	5.64218e-07	6.61691e-08	1.86164e-07	3.6805e-07	5.74761e-07	0.00463012	0.00121996	0.0045047	0.000596857	0.603302	0.000174206	1.29169	0.00220503	0.178437	7.54424e-07	8.90538e-08	3.60328e-07	4.46946e-08	3.67903e-13
86	0.138669	0.861331	9.82934	1	0.0999976	0.0999993	0.099999	0.0999994	1	4.22277e-08	5.11942e-07	1.6412e-19	8.39039e-18	7.17962e-27	2.39724e-34	2.39432e-24	5.61078e-31	0.0123353	0.00213272	5.33173e-05	0.00340545	1.7493	0.000533575	1.32305	2.56094e-05	0.000686046	5.73741e-07	6.74303e-08	1.92029e-07	3.74833e-07	5.88358e-07	0.00464245	0.00123746	0.00463713	0.000602903	0.607615	0.000177379	1.30742	0.00226996	0.182591	7.79577e-07	9.21812e-08	3.77299e-07	4.62151e-08	3.80644e-13
87	0.138898	0.861102	9.77014	1	0.0999976	0.0999992	0.099999	0.0999994	1	4.30518e-08	5.34926e-07	1.73009e-19	9.23225e-18	7.82182e-27	2.70123e-34	2.78403e-24	6.90402e-31	0.0124838	0.00215535	5.38667e-05	0.00347647	1.77838	0.000539193	1.32897	2.58726e-05	0.000688917	5.83306e-07	6.86974e-08	1.97991e-07	3.81647e-07	6.02051e-07	0.0046549	0.00125515	0.00477217	0.000609007	0.611906	0.000180586	1.32313	0.00233616	0.186784	8.05277e-07	9.53796e-08	3.94842e-07	4.77692e-08	3.93671e-13
88	0.139125	0.860875	9.71097	1	0.0999975	0.0999992	0.0999989	0.0999994	1	4.38801e-08	5.58648e-07	1.82242e-19	1.01465e-17	8.51108e-27	3.03866e-34	3.23123e-24	8.4751e-31	0.0126344	0.00217803	5.44168e-05	0.00354854	1.80759	0.000544817	1.33475	2.6136e-05	0.000691715	5.92914e-07	6.99705e-08	2.04048e-07	3.88492e-07	6.15838e-07	0.00466746	0.00127303	0.00490985	0.000615172	0.616178	0.000183828	1.3388	0.00240365	0.191017	8.31532e-07	9.86499e-08	4.1297e-07	4.93574e-08	4.06987e-13
