Time	[Notch protein]	[cytosolic NicD]	[nuclear NicD]	[Lunatic fringe mRNA]	[Lunatic Fringe protein]	[phosph. beta-catenin]	[nuclear beta-catenin]	[Axin2 protein]	[Gsk3]	[beta-catenin]	[Axin2 mRNA]	[active Ras]	[active ERK]	[active TF X]	[Dusp6 mRNA]	[Dusp6 protein]	[inactive Ras]	[inactive ERK]	[inactive TF X]	[Ras total]	[ERK total]	[X total]	[Dsh protein]	[Axin2/Gsk3 destruction complex]	[Kt]	[Fgf]
87	0.107833	0.481453	0.000928503	0.000292238	1.59546	0.00767072	0.364083	0.0250772	1.97093	0.795043	0.434771	1.98878	0.0226338	0.00179389	1.70715	7.5976	0.0112187	1.97737	1.99821	2	2	2	2	1.02907	3	1
88	0.106261	0.474621	0.000902901	0.000255992	1.50106	0.00759019	0.379832	0.0246249	1.99089	0.829053	0.481721	1.98878	0.0240735	0.00190763	1.59206	7.28279	0.0112187	1.97593	1.99809	2	2	2	2	1.00911	3	1
89	0.104494	0.46904	0.000882379	0.000232593	1.40781	0.00751923	0.395842	0.0242657	2.00891	0.863596	0.534102	1.98878	0.0257938	0.00204367	1.47892	6.95247	0.0112187	1.97421	1.99796	2	2	2	2	0.991086	3	1
90	0.102508	0.464806	0.000866952	0.000216749	1.31584	0.00745903	0.412081	0.0240006	2.02496	0.898594	0.592509	1.98878	0.0278742	0.00220834	1.36793	6.60717	0.0112187	1.97213	1.99779	2	2	2	2	0.975041	3	1
91	0.100277	0.462027	0.000856741	0.000205879	1.22525	0.00741087	0.428512	0.0238318	2.03896	0.933965	0.657589	1.98878	0.0304271	0.0024106	1.25931	6.24749	0.0112187	1.96957	1.99759	2	2	2	2	0.961038	3	1
92	0.0977753	0.460823	0.000851974	0.000198736	1.1362	0.00737613	0.445091	0.0237625	2.05085	0.969613	0.730036	1.98878	0.0336171	0.00266363	1.15329	5.87413	0.0112187	1.96638	1.99734	2	2	2	2	0.949155	3	1
93	0.0949786	0.461323	0.000852998	0.000194757	1.04883	0.00735634	0.461773	0.0237973	2.06052	1.00543	0.810602	1.98878	0.0376939	0.00298746	1.05015	5.4879	0.0112187	1.96231	1.99701	2	2	2	2	0.939484	3	1
94	0.0918666	0.46366	0.000860281	0.000193757	0.963316	0.00735315	0.478506	0.0239417	2.06786	1.04131	0.900106	1.98878	0.0430537	0.00341397	0.95018	5.08972	0.0112187	1.95695	1.99659	2	2	2	2	0.932135	3	1
95	0.0884282	0.467968	0.000874417	0.000195798	0.879867	0.00736835	0.495231	0.0242028	2.07277	1.07712	0.999475	1.98878	0.0503584	0.00399679	0.853724	4.68069	0.0112187	1.94964	1.996	2	2	2	2	0.927232	3	1
96	0.0846664	0.474365	0.00089613	0.000201133	0.798702	0.00740393	0.511886	0.0245899	2.07508	1.1127	1.10986	1.98878	0.0607849	0.00483224	0.761148	4.26212	0.0112187	1.93922	1.99517	2	2	2	2	0.924917	3	1
97	0.0806052	0.482941	0.000926263	0.000210201	0.720074	0.00746213	0.528398	0.0251157	2.07464	1.14792	1.23291	1.98878	0.076578	0.00610777	0.672853	3.83561	0.0112187	1.92342	1.99389	2	2	2	2	0.925358	3	1
98	0.0762971	0.493739	0.000965756	0.000223635	0.644265	0.00754561	0.54469	0.0258003	2.07124	1.18258	1.37175	1.98878	0.102325	0.00822277	0.589271	3.40309	0.0112187	1.89767	1.99178	2	2	2	2	0.928761	3	1
99	0.0718276	0.506732	0.00101561	0.000242296	0.571586	0.00765797	0.560672	0.0266845	2.06458	1.21648	1.53388	1.98878	0.147762	0.0121079	0.510867	2.96704	0.0112187	1.85224	1.98789	2	2	2	2	0.935422	3	1
100	0.0673169	0.521808	0.0010768	0.000267305	0.502377	0.00780531	0.576242	0.0278733	2.05411	1.2494	1.7417	1.98878	0.232401	0.0200649	0.438171	2.53062	0.0112187	1.7676	1.97994	2	2	2	2	0.945891	3	1
