Time	[ERKc]	[pERKc]	[ppERKc]	[ERK_ppMEKc]	[pERK_ppMEKc]	[DUSPc]	[pERK_DUSPc]	[ppERK_DUSPc]	[ERKn]	[pERKn]	[ppERKn]	[pERK_DUSPn]	[ppERK_DUSPn]	[STYXn]	[ERK_STYXn]	[pERK_STYXn]	[ppERK_STYXn]	[duspn]	[DUSPn]	[u_ppMEKc_tot]	[ppMEKc_tot]	[ERKc_obs]	[pERKc_obs]	[ppERKc_obs]	[ERK_ppMEKc_obs]
78	28.5774	35.1184	120.711	6.31739	7.77179	31.0769	6.80269	62.1204	334.62	12.2466	6.44469	7.9871	8.6376	435.507	2428.8	88.9033	46.7851	4.54255	132.525	1	100	28.5774	35.1184	120.711	6.31739
79	28.5893	35.1215	120.705	6.31981	7.7722	31.0777	6.80347	62.1188	334.75	12.1466	6.39051	7.9893	8.63787	435.533	2429.89	88.1822	46.3943	4.543	133.653	1	100	28.5893	35.1215	120.705	6.31981
80	28.6009	35.1245	120.699	6.32216	7.7726	31.0785	6.80422	62.1173	334.876	12.0496	6.33802	7.99143	8.63814	435.557	2430.94	87.4832	46.0157	4.54341	134.764	1	100	28.6009	35.1245	120.699	6.32216
81	28.6121	35.1274	120.693	6.32444	7.77299	31.0792	6.80495	62.1158	334.999	11.9557	6.28717	7.99351	8.63841	435.581	2431.96	86.8056	45.6488	4.54379	135.859	1	100	28.6121	35.1274	120.693	6.32444
82	28.623	35.1302	120.687	6.32664	7.77336	31.08	6.80565	62.1144	335.117	11.8646	6.23786	7.99554	8.63867	435.604	2432.95	86.1484	45.2931	4.54414	136.937	1	100	28.623	35.1302	120.687	6.32664
83	28.6335	35.1329	120.682	6.32878	7.77373	31.0807	6.80634	62.113	335.232	11.7762	6.19005	7.99752	8.63893	435.626	2433.92	85.5108	44.9481	4.54446	137.998	1	100	28.6335	35.1329	120.682	6.32878
84	28.6437	35.1356	120.677	6.33086	7.77408	31.0814	6.807	62.1116	335.344	11.6904	6.14367	7.99944	8.63918	435.647	2434.85	84.892	44.6134	4.54476	139.044	1	100	28.6437	35.1356	120.677	6.33086
85	28.6536	35.1381	120.672	6.33288	7.77442	31.082	6.80764	62.1103	335.452	11.6072	6.09867	8.00131	8.63943	435.668	2435.75	84.2913	44.2886	4.54503	140.074	1	100	28.6536	35.1381	120.672	6.33288
86	28.6632	35.1406	120.667	6.33483	7.77475	31.0827	6.80827	62.1091	335.558	11.5264	6.05499	8.00314	8.63967	435.689	2436.63	83.708	43.9733	4.54529	141.089	1	100	28.6632	35.1406	120.667	6.33483
87	28.6726	35.143	120.662	6.33673	7.77508	31.0833	6.80887	62.1078	335.66	11.4478	6.01257	8.00492	8.63991	435.708	2437.48	83.1413	43.6671	4.54552	142.088	1	100	28.6726	35.143	120.662	6.33673
88	28.6817	35.1454	120.657	6.33858	7.77539	31.0839	6.80946	62.1066	335.759	11.3716	5.97137	8.00667	8.64015	435.728	2438.31	82.5907	43.3697	4.54573	143.072	1	100	28.6817	35.1454	120.657	6.33858
89	28.6905	35.1477	120.652	6.34037	7.77569	31.0845	6.81003	62.1055	335.856	11.2974	5.93134	8.00836	8.64037	435.746	2439.12	82.0556	43.0807	4.54593	144.042	1	100	28.6905	35.1477	120.652	6.34037
90	28.6991	35.1499	120.648	6.34212	7.77599	31.0851	6.81059	62.1043	335.949	11.2253	5.89244	8.01	8.6406	435.764	2439.9	81.5353	42.7999	4.54611	144.996	1	100	28.6991	35.1499	120.648	6.34212
91	28.7074	35.152	120.644	6.34381	7.77627	31.0856	6.81113	62.1032	336.041	11.1553	5.85462	8.01161	8.64082	435.782	2440.66	81.0294	42.5268	4.54628	145.937	1	100	28.7074	35.152	120.644	6.34381
92	28.7155	35.1541	120.64	6.34546	7.77655	31.0862	6.81165	62.1022	336.129	11.0871	5.81785	8.01319	8.64104	435.799	2441.4	80.5372	42.2613	4.54643	146.863	1	100	28.7155	35.1541	120.64	6.34546
93	28.7234	35.1561	120.635	6.34706	7.77682	31.0867	6.81216	62.1011	336.216	11.0208	5.78208	8.01473	8.64125	435.816	2442.12	80.0583	42.003	4.54657	147.775	1	100	28.7234	35.1561	120.635	6.34706
94	28.7311	35.1581	120.631	6.34862	7.77708	31.0872	6.81266	62.1001	336.3	10.9562	5.74729	8.01622	8.64146	435.832	2442.82	79.5923	41.7516	4.5467	148.673	1	100	28.7311	35.1581	120.631	6.34862
95	28.7386	35.16	120.628	6.35014	7.77734	31.0878	6.81314	62.0991	336.382	10.8934	5.71343	8.01769	8.64166	435.848	2443.51	79.1386	41.5071	4.54681	149.558	1	100	28.7386	35.16	120.628	6.35014
96	28.7459	35.1619	120.624	6.35162	7.77758	31.0882	6.81361	62.0981	336.461	10.8323	5.68047	8.01911	8.64186	435.863	2444.17	78.6969	41.269	4.54692	150.429	1	100	28.7459	35.1619	120.624	6.35162
97	28.7529	35.1637	120.62	6.35306	7.77783	31.0887	6.81407	62.0972	336.539	10.7727	5.64838	8.02051	8.64206	435.878	2444.82	78.2667	41.0372	4.54702	151.287	1	100	28.7529	35.1637	120.62	6.35306
98	28.7598	35.1655	120.617	6.35446	7.77806	31.0892	6.81452	62.0963	336.614	10.7147	5.61713	8.02187	8.64225	435.892	2445.45	77.8476	40.8114	4.5471	152.132	1	100	28.7598	35.1655	120.617	6.35446
99	28.7666	35.1672	120.613	6.35582	7.77829	31.0896	6.81495	62.0954	336.688	10.6581	5.58669	8.0232	8.64244	435.906	2446.06	77.4393	40.5915	4.54719	152.964	1	100	28.7666	35.1672	120.613	6.35582
100	28.7731	35.1689	120.61	6.35716	7.77851	31.0901	6.81538	62.0945	336.759	10.6031	5.55704	8.0245	8.64263	435.92	2446.66	77.0413	40.3773	4.54726	153.784	1	100	28.7731	35.1689	120.61	6.35716
