Time	[C1]	[C2]	[C3]	[IC3]	[IC2]	[IM1]	[IM2]	[open states]	[IF]
66	0.000128383	0.00961708	0.291937	0.521954	0.0173849	0.158465	0.000133033	3.70376e-07	0.000379857
67	0.000130324	0.00976292	0.296365	0.519409	0.0172987	0.156524	0.000134027	3.7469e-07	0.000376893
68	0.000132239	0.00990675	0.300731	0.516901	0.0172138	0.154606	0.000135008	3.78944e-07	0.000373967
69	0.000134127	0.0100486	0.305037	0.514431	0.0171301	0.152712	0.000135977	3.83139e-07	0.000371081
70	0.000135988	0.0101885	0.309284	0.511997	0.0170477	0.150841	0.000136933	3.87276e-07	0.000368232
71	0.000137825	0.0103264	0.313472	0.5096	0.0169665	0.148993	0.000137877	3.91356e-07	0.000365422
72	0.000139636	0.0104625	0.317603	0.507239	0.0168865	0.147167	0.000138809	3.95379e-07	0.000362649
73	0.000141422	0.0105967	0.321677	0.504913	0.0168077	0.145365	0.000139729	3.99347e-07	0.000359912
74	0.000143183	0.010729	0.325694	0.502621	0.0167301	0.143584	0.000140636	4.0326e-07	0.000357212
75	0.000144921	0.0108595	0.329657	0.500364	0.0166536	0.141825	0.000141532	4.07119e-07	0.000354547
76	0.000146634	0.0109883	0.333565	0.49814	0.0165783	0.140087	0.000142417	4.10925e-07	0.000351918
77	0.000148324	0.0111152	0.337419	0.495949	0.016504	0.138371	0.00014329	4.14678e-07	0.000349323
78	0.000149991	0.0112404	0.341221	0.493791	0.0164309	0.136676	0.000144151	4.1838e-07	0.000346763
79	0.000151634	0.0113639	0.34497	0.491665	0.0163588	0.135001	0.000145002	4.2203e-07	0.000344236
80	0.000153256	0.0114858	0.348668	0.48957	0.0162878	0.133348	0.000145841	4.25631e-07	0.000341743
81	0.000154855	0.0116059	0.352315	0.487506	0.0162178	0.131714	0.000146669	4.29181e-07	0.000339283
82	0.000156432	0.0117244	0.355912	0.485473	0.0161489	0.1301	0.000147487	4.32683e-07	0.000336855
83	0.000157987	0.0118412	0.35946	0.48347	0.016081	0.128507	0.000148294	4.36137e-07	0.000334459
84	0.000159522	0.0119565	0.36296	0.481496	0.0160141	0.126932	0.00014909	4.39544e-07	0.000332095
85	0.000161035	0.0120702	0.366411	0.479552	0.0159482	0.125378	0.000149876	4.42903e-07	0.000329762
