Time	[G6P]	[ATP]	[ADP]	[Pint]	[F6P]	[FBP]	[G3P]	[BPG]	[PEP]	[NAD]	[NADH]	[PYR]	[AcetCoA]	[Acetoin]	[Mannitol]	[Mannitol1Phosphate]	[CoA]	[Pext]	[Lactate]	[Ethanol]	[Acetate]	[Butanediol]	[Glucose]	[Acetoin_Ext]	[Mannitol_Ext]	[Formate]
39	0.467482	5.90114	19.3709	2.5404	0.167857	33.0707	1.33221	0.0719385	4.80986	4.61659	0.0534146	0.00131932	2.9905e-08	4.94479e-07	0.000543195	1.08374	1	48.1931	9.12897	1.99187e-09	1.02225e-05	5.56328e-07	74.461	8.44895e-05	0.000317042	1.02259e-05
40	0.46461	5.8954	19.3766	2.54701	0.166927	33.2355	1.33566	0.0716059	4.7994	4.6154	0.0546055	0.00129208	2.92264e-08	4.74271e-07	0.000538516	1.07184	1	48.1403	9.34642	1.99222e-09	1.03512e-05	5.56937e-07	74.3454	8.48991e-05	0.000313093	1.03545e-05
41	0.461799	5.88954	19.3825	2.5535	0.166015	33.3988	1.33907	0.071277	4.78914	4.61421	0.0557931	0.00126609	2.85795e-08	4.55392e-07	0.000533895	1.06014	1	48.0879	9.56288	1.99257e-09	1.0477e-05	5.57533e-07	74.2304	8.52921e-05	0.000309215	1.04803e-05
42	0.459047	5.88356	19.3885	2.55989	0.165121	33.5606	1.34244	0.070952	4.77907	4.61302	0.0569773	0.00124128	2.79623e-08	4.37724e-07	0.000529335	1.04864	1	48.036	9.77834	1.99292e-09	1.06001e-05	5.58117e-07	74.1159	8.56697e-05	0.000305408	1.06034e-05
43	0.456351	5.8775	19.3945	2.56616	0.164245	33.721	1.34578	0.0706312	4.76921	4.61184	0.0581581	0.00121758	2.73728e-08	4.21166e-07	0.000524836	1.03736	1	47.9845	9.99283	1.99329e-09	1.07205e-05	5.58689e-07	74.002	8.60329e-05	0.000301671	1.07238e-05
44	0.453709	5.87136	19.4007	2.57234	0.163385	33.8801	1.34907	0.0703147	4.75955	4.61067	0.0593353	0.0011949	2.68093e-08	4.05629e-07	0.0005204	1.02628	1	47.9335	10.2064	1.99366e-09	1.08385e-05	5.59251e-07	73.8886	8.63824e-05	0.000298006	1.08418e-05
45	0.45112	5.86517	19.4068	2.57842	0.162542	34.0377	1.35233	0.0700026	4.75009	4.60949	0.0605089	0.0011732	2.62703e-08	3.9103e-07	0.000516029	1.01541	1	47.8829	10.419	1.99404e-09	1.09542e-05	5.59802e-07	73.7757	8.67193e-05	0.000294413	1.09574e-05
46	0.448581	5.85893	19.4131	2.58442	0.161714	34.194	1.35556	0.0696953	4.74083	4.60832	0.0616786	0.00115242	2.57542e-08	3.77298e-07	0.000511723	1.00475	1	47.8327	10.6306	1.99443e-09	1.10675e-05	5.60343e-07	73.6634	8.70441e-05	0.000290892	1.10707e-05
47	0.446092	5.85266	19.4194	2.59032	0.160902	34.349	1.35875	0.0693927	4.73178	4.60716	0.0628443	0.0011325	2.52599e-08	3.64364e-07	0.000507484	0.994304	1	47.7828	10.8414	1.99482e-09	1.11787e-05	5.60875e-07	73.5515	8.73577e-05	0.000287443	1.11819e-05
48	0.44365	5.84638	19.4256	2.59615	0.160104	34.5028	1.36191	0.0690951	4.72293	4.606	0.0640058	0.00111339	2.4786e-08	3.52173e-07	0.000503314	0.984068	1	47.7334	11.0512	1.99523e-09	1.12878e-05	5.61398e-07	73.4401	8.76606e-05	0.000284066	1.1291e-05
