Time	[α-factor]	[Ste2]	[Ste2active]	[Gαβγ]	[GαGTP]	[Gβγ]	[GαGDP]	[complexC]	[complexD]	[Ste5]	[Ste11]	[complexA]	[Ste7]	[Fus3]	[complexB]	[Ste20]	[complexE]	[complexF]	[complexG]	[complexH]	[complexI]	[complexL]	[Fus3PP]	[complexK]	[Ste12]	[Ste12active]	[Bar1]	[Bar1active]	[Bar1activeEx]	[Far1]	[Far1PP]	[Far1ubiquitin]	[complexM]	[complexN]	[Cdc28]	[Sst2]	[p]
48	5.62587e-23	446.622	2.76868e-12	1663.81	7.13214e-12	2.8072e-05	2.85228	233.228	1.39787e-07	153.807	153.807	111.202	45.0963	521.834	69.9119	998.236	4.36787e-05	8.40403e-06	1.12863e-06	7.08298e-06	1.11191	0.0299219	3.16058	0.622291	29.8683	170.132	0.727387	123.768	75.5044	0.00112373	0.00636867	481.369	1.08807	17.5358	282.464	84.9562	0
49	6.52628e-24	436.031	1.20355e-12	1663.97	3.48331e-12	2.73007e-05	2.69863	233.411	1.36034e-07	153.865	153.865	111.103	44.9389	524.078	70.029	998.379	4.25147e-05	8.18022e-06	1.09857e-06	6.89449e-06	1.02197	0.0273838	2.91044	0.571955	32.0222	167.978	0.729336	122.535	76.7359	0.00112392	0.00636649	481.375	1.07724	17.5403	282.46	77.0146	0
50	7.03319e-25	425.691	5.20932e-13	1664.11	1.70915e-12	2.65266e-05	2.55721	233.588	1.3226e-07	153.922	153.922	111	44.7748	526.401	70.1469	998.509	4.1343e-05	7.95492e-06	1.06832e-06	6.70473e-06	0.93965	0.0250672	2.68168	0.525888	34.2831	165.717	0.731878	121.313	77.9552	0.00112402	0.00636433	481.381	1.06652	17.5446	282.455	69.4169	0
51	-8.28176e-26	415.596	2.23462e-13	1664.24	8.474e-13	2.57518e-05	2.42696	233.759	1.28476e-07	153.976	153.976	110.894	44.6043	528.805	70.2656	998.629	4.01673e-05	7.72882e-06	1.03796e-06	6.51429e-06	0.864298	0.0229522	2.47243	0.483717	36.6503	163.35	0.735036	120.103	79.1622	0.00112406	0.00636218	481.388	1.05591	17.5489	282.451	62.238	0
52	3.35061e-26	405.74	9.6522e-14	1664.36	4.1695e-13	2.49786e-05	2.30691	233.925	1.24694e-07	154.029	154.029	110.784	44.4277	531.29	70.3854	998.739	3.89912e-05	7.50266e-06	1.00759e-06	6.32378e-06	0.795302	0.0210213	2.28097	0.445104	39.1221	160.878	0.738837	118.904	80.3573	0.00112403	0.00636003	481.394	1.0454	17.5531	282.447	55.5324	0
53	-1.34174e-26	396.118	4.14746e-14	1664.47	2.1205e-13	2.42093e-05	2.19619	234.087	1.20926e-07	154.081	154.081	110.671	44.2453	533.855	70.5061	998.839	3.78186e-05	7.27714e-06	9.77302e-07	6.13379e-06	0.73211	0.0192581	2.10574	0.409739	41.696	158.304	0.743306	117.716	81.5403	0.00112395	0.0063579	481.4	1.035	17.5571	282.443	49.3353	0
54	-1.18221e-27	386.725	1.79147e-14	1664.57	1.06879e-13	2.34462e-05	2.09398	234.246	1.17183e-07	154.131	154.131	110.555	44.0574	536.499	70.6279	998.931	3.66531e-05	7.05296e-06	9.47197e-07	5.94493e-06	0.674217	0.017648	1.9453	0.377339	44.3688	155.631	0.748467	116.54	82.7116	0.00112383	0.00635577	481.407	1.0247	17.5611	282.439	43.6631	0
55	-7.19415e-29	377.554	7.73352e-15	1664.67	5.47199e-14	2.26914e-05	1.99957	234.4	1.13476e-07	154.18	154.18	110.436	43.8644	539.219	70.7506	999.015	3.54981e-05	6.83081e-06	9.17364e-07	5.75776e-06	0.621164	0.0161773	1.79835	0.347648	47.1366	152.863	0.754346	115.374	83.8712	0.00112367	0.00635364	481.413	1.01451	17.5649	282.435	38.5161	0
56	2.16872e-30	368.6	3.33018e-15	1664.75	2.82969e-14	2.1947e-05	1.91228	234.551	1.09816e-07	154.227	154.227	110.314	43.6669	542.012	70.8743	999.092	3.43571e-05	6.61133e-06	8.8789e-07	5.57283e-06	0.572531	0.014834	1.66369	0.32043	49.9945	150.006	0.760971	114.22	85.0191	0.00112348	0.00635152	481.419	1.00441	17.5687	282.431	33.8814	0
57	-3.06315e-31	359.859	1.4329e-15	1664.84	1.4807e-14	2.12149e-05	1.8315	234.699	1.06213e-07	154.274	154.274	110.19	43.4653	544.876	70.9987	999.163	3.32333e-05	6.39514e-06	8.58858e-07	5.39066e-06	0.527935	0.0136067	1.54024	0.295472	52.9371	147.063	0.768366	113.076	86.1556	0.00112327	0.00634941	481.426	0.99442	17.5723	282.428	29.7358	0
58	2.34266e-30	351.326	6.14134e-16	1664.91	7.83234e-15	2.0497e-05	1.75668	234.844	1.02675e-07	154.32	154.32	110.064	43.2601	547.804	71.1238	999.228	3.21296e-05	6.1828e-06	8.30343e-07	5.21174e-06	0.487028	0.0124853	1.42701	0.272578	55.9583	144.042	0.776558	111.943	87.2807	0.00112303	0.00634729	481.432	0.984525	17.5759	282.424	26.0492	0
59	-1.31783e-30	342.994	2.6586e-16	1664.98	4.20724e-15	1.97949e-05	1.68731	234.986	9.92126e-08	154.365	154.365	109.937	43.0519	550.792	71.2494	999.287	3.10486e-05	5.97485e-06	8.02416e-07	5.03648e-06	0.44949	0.0114606	1.3231	0.25157	59.0515	140.949	0.785574	110.82	88.3945	0.00112278	0.00634518	481.438	0.974729	17.5793	282.421	22.7868	0
60	-2.32236e-31	334.86	1.19258e-16	1665.04	2.306e-15	1.91101e-05	1.62293	235.126	9.5832e-08	154.409	154.409	109.808	42.8413	553.834	71.3752	999.342	2.9993e-05	5.77173e-06	7.75138e-07	4.8653e-06	0.415033	0.0105239	1.22768	0.232285	62.2095	137.791	0.795442	109.707	89.4971	0.00112251	0.00634307	481.445	0.96503	17.5827	282.417	19.9118	0
61	-3.15008e-31	326.919	5.24529e-17	1665.1	1.2856e-15	1.84438e-05	1.56312	235.262	9.25401e-08	154.452	154.452	109.678	42.6289	556.923	71.5011	999.392	2.89646e-05	5.57387e-06	7.48565e-07	4.69854e-06	0.38339	0.0096677	1.14	0.214576	65.4247	134.575	0.806189	108.605	90.5887	0.00112222	0.00634096	481.451	0.955428	17.5859	282.414	17.3868	0
62	-2.12007e-32	319.167	2.26442e-17	1665.16	7.32384e-16	1.77972e-05	1.50749	235.396	8.93425e-08	154.494	154.494	109.548	42.4152	560.054	71.6268	999.438	2.79654e-05	5.3816e-06	7.22744e-07	4.53648e-06	0.354321	0.00888477	1.05938	0.198307	68.6893	131.311	0.817844	107.513	91.6693	0.00112193	0.00633885	481.458	0.945921	17.5891	282.411	15.1754	0
63	-1.5446e-33	311.598	9.78511e-18	1665.21	4.23802e-16	1.71711e-05	1.45569	235.528	8.6244e-08	154.535	154.535	109.418	42.2008	563.219	71.7521	999.481	2.69968e-05	5.19522e-06	6.97714e-07	4.37938e-06	0.327604	0.00816873	0.985192	0.183355	71.9952	128.005	0.830437	106.431	92.739	0.00112162	0.00633674	481.464	0.936509	17.5922	282.408	13.2428	0
64	-2.25499e-34	304.208	4.24661e-18	1665.26	2.49902e-16	1.65662e-05	1.40741	235.657	8.32482e-08	154.575	154.575	109.288	41.9864	566.411	71.8768	999.52	2.60601e-05	5.01496e-06	6.73506e-07	4.22743e-06	0.303041	0.00751368	0.916881	0.169608	75.3342	124.666	0.843997	105.358	93.7979	0.00112131	0.00633463	481.47	0.927191	17.5952	282.405	11.5567	0
65	6.83099e-35	296.994	1.82459e-18	1665.3	1.50028e-16	1.59831e-05	1.36234	235.783	8.03579e-08	154.615	154.615	109.158	41.7724	569.623	72.0007	999.556	2.51562e-05	4.84101e-06	6.50143e-07	4.08079e-06	0.280446	0.00691428	0.853928	0.156962	78.6981	121.302	0.858557	104.295	94.8462	0.00112099	0.00633252	481.477	0.917965	17.5981	282.402	10.0875	0
