Time	[R]	[L]	[RL]	[Gabg]	[RGabg]	[RGabgL]	[GaGTP]	[Gbg]	[RGS]	[RGSGaGTP]	[GaGDPP]	[Effector]	[GaGTPEffector]	[inertGaGTP]	[RGSinertGaGTP]	[GaGDP]	[P]	[z1]	[z2]	[z3]
75	2.95593	2.72029e-16	0.0998925	2.69015	201.944	0.000107518	1.70424e-05	0.36567	59.6718	0.204456	0.000548269	204.965	0.0353988	1.18645e-05	0.123738	0.00149936	0.0548989	0.0357166	0.0360402	0.0363699
76	2.91669	3.43482e-16	0.0998939	2.65571	201.983	0.000106143	1.68231e-05	0.360872	59.6761	0.201826	0.000541183	204.965	0.0349371	1.17089e-05	0.12204	0.00149965	0.0541884	0.0352464	0.0355613	0.0358821
77	2.87846	3.81293e-16	0.0998952	2.62215	202.022	0.000104803	1.66094e-05	0.3562	59.6803	0.199263	0.00053428	204.966	0.0344873	1.15574e-05	0.120388	0.00149994	0.0534963	0.0347885	0.0350952	0.0354074
78	2.8412	2.83261e-16	0.0998965	2.58944	202.059	0.000103496	1.64011e-05	0.351651	59.6845	0.196765	0.000527554	204.966	0.0340492	1.14098e-05	0.118781	0.00150022	0.0528219	0.0343426	0.0346413	0.0349453
79	2.80487	1.10921e-16	0.0998978	2.55755	202.095	0.000102223	1.61981e-05	0.347219	59.6885	0.19433	0.000520997	204.966	0.0336223	1.12659e-05	0.117217	0.00150049	0.0521646	0.0339082	0.0341991	0.0344952
80	2.76945	-8.02223e-17	0.099899	2.52645	202.131	0.00010098	1.60002e-05	0.342899	59.6923	0.191956	0.000514604	204.967	0.033206	1.11258e-05	0.115695	0.00150074	0.0515237	0.0334848	0.0337683	0.0340568
81	2.73489	-1.94625e-16	0.0999002	2.49611	202.165	9.97686e-05	1.58071e-05	0.338688	59.6961	0.189639	0.000508368	204.967	0.0328002	1.09891e-05	0.114212	0.00150099	0.0508986	0.0330719	0.0333484	0.0336296
82	2.70117	-1.5431e-16	0.0999014	2.46649	202.199	9.85859e-05	1.56186e-05	0.334581	59.6999	0.187379	0.000502284	204.968	0.0324042	1.08557e-05	0.112768	0.00150123	0.0502887	0.0326693	0.0329389	0.0332131
83	2.66826	-1.18382e-16	0.0999026	2.43759	202.232	9.74313e-05	1.54347e-05	0.330575	59.7035	0.185173	0.000496347	204.968	0.0320179	1.07257e-05	0.11136	0.00150146	0.0496935	0.0322765	0.0325395	0.0328069
84	2.63612	-1.18281e-16	0.0999037	2.40936	202.264	9.6304e-05	1.52551e-05	0.326665	59.707	0.183019	0.00049055	204.968	0.0316408	1.05987e-05	0.109987	0.00150169	0.0491124	0.0318932	0.0321499	0.0324107
85	2.60474	-6.28257e-17	0.0999048	2.38179	202.295	9.52028e-05	1.50798e-05	0.322849	59.7104	0.180916	0.000484889	204.969	0.0312726	1.04748e-05	0.108649	0.00150191	0.048545	0.0315191	0.0317696	0.0320242
86	2.57408	2.49228e-17	0.0999059	2.35486	202.326	9.41269e-05	1.49085e-05	0.319123	59.7138	0.178861	0.00047936	204.969	0.0309131	1.03538e-05	0.107343	0.00150211	0.0479908	0.0311538	0.0313983	0.0316468
87	2.54411	1.1034e-16	0.0999069	2.32854	202.356	9.30755e-05	1.47411e-05	0.315485	59.7171	0.176853	0.000473958	204.969	0.0305618	1.02356e-05	0.106069	0.00150232	0.0474493	0.0307969	0.0310358	0.0312785
88	2.51483	1.37345e-16	0.099908	2.30281	202.385	9.20478e-05	1.45774e-05	0.31193	59.7203	0.17489	0.000468678	204.97	0.0302186	1.01201e-05	0.104825	0.00150251	0.0469201	0.0304484	0.0306817	0.0309187
89	2.4862	6.99217e-17	0.099909	2.27765	202.414	9.10429e-05	1.44175e-05	0.308456	59.7234	0.172971	0.000463516	204.97	0.0298832	1.00072e-05	0.103611	0.0015027	0.0464028	0.0301077	0.0303357	0.0305673
90	2.45819	1.95661e-17	0.0999099	2.25304	202.442	9.006e-05	1.4261e-05	0.30506	59.7265	0.171095	0.000458469	204.97	0.0295552	9.89687e-06	0.102425	0.00150288	0.0458969	0.0297747	0.0299976	0.0302239
91	2.4308	9.32076e-18	0.0999109	2.22897	202.469	8.90986e-05	1.4108e-05	0.30174	59.7295	0.169259	0.000453533	204.971	0.0292345	9.78899e-06	0.101266	0.00150306	0.0454022	0.0294491	0.029667	0.0298883
92	2.40401	1.68076e-18	0.0999118	2.20542	202.496	8.81578e-05	1.39583e-05	0.298494	59.7324	0.167463	0.000448704	204.971	0.0289208	9.68347e-06	0.100134	0.00150323	0.0449182	0.0291307	0.0293438	0.0295601
93	2.37778	-8.11261e-19	0.0999128	2.18237	202.522	8.7237e-05	1.38118e-05	0.295318	59.7353	0.165706	0.000443978	204.971	0.0286139	9.58025e-06	0.0990272	0.00150339	0.0444447	0.0288193	0.0290277	0.0292393
94	2.35211	-5.06942e-19	0.0999137	2.15981	202.548	8.63357e-05	1.36684e-05	0.292211	59.7381	0.163986	0.000439353	204.972	0.0283135	9.47925e-06	0.0979452	0.00150355	0.0439811	0.0285145	0.0287184	0.0289254
95	2.32697	3.50469e-19	0.0999145	2.13772	202.573	8.54531e-05	1.3528e-05	0.28917	59.7408	0.162302	0.000434825	204.972	0.0280195	9.38039e-06	0.096887	0.0015037	0.0435274	0.0282163	0.0284158	0.0286183
96	2.30236	6.75422e-19	0.0999154	2.11608	202.598	8.45887e-05	1.33905e-05	0.286193	59.7435	0.160652	0.000430391	204.972	0.0277317	9.28361e-06	0.0958519	0.00150385	0.0430831	0.0279243	0.0281197	0.0283178
97	2.27825	7.56821e-19	0.0999163	2.09489	202.622	8.3742e-05	1.32559e-05	0.283278	59.7461	0.159037	0.000426048	204.973	0.0274498	9.18884e-06	0.0948392	0.00150399	0.0426479	0.0276384	0.0278297	0.0280237
98	2.25463	3.62056e-19	0.0999171	2.07412	202.645	8.29124e-05	1.31239e-05	0.280424	59.7487	0.157454	0.000421794	204.973	0.0271738	9.09603e-06	0.093848	0.00150413	0.0422216	0.0273585	0.0275458	0.0277357
99	2.23148	6.0828e-20	0.0999179	2.05377	202.669	8.20994e-05	1.29947e-05	0.277628	59.7512	0.155903	0.000417626	204.973	0.0269033	9.00511e-06	0.0928777	0.00150426	0.041804	0.0270842	0.0272677	0.0274538
100	2.20879	-1.44557e-19	0.0999187	2.03382	202.691	8.13025e-05	1.28679e-05	0.274889	59.7537	0.154383	0.000413541	204.973	0.0266382	8.91603e-06	0.0919278	0.00150439	0.0413946	0.0268155	0.0269953	0.0271775
