Time	[PolyQ]	[Proteasome]	[NatP]	[MisP]	[MisP_Proteasome]	[AggP1]	[AggP2]	[AggP3]	[AggP4]	[AggP5]	[AggPolyQ1]	[AggPolyQ2]	[AggPolyQ3]	[AggPolyQ4]	[AggPolyQ5]	[SeqAggP]	[AggP_Proteasome]	[mRFPu]	[mRFPu_Proteasome]	[PolyQ_Proteasome]	[ROS]	[p38_P]	[p38]	[Source]	[Sink]	[p38death]	[PIdeath]
60	995.951	989.485	19620.6	23.3652	0.0287678	5.112e-08	1.40951e-15	2.78384e-23	4.2912e-31	5.44576e-39	0.745017	0.000557453	2.78022e-07	1.03987e-10	3.11059e-14	1.09483e-16	0.000111204	299.34	7.72154	2.76442	9.98824	0.282086	99.7179	1	1	7.77399e-07	5.57429e-11
61	995.884	989.333	19622.6	23.7542	0.0296412	5.37773e-08	1.53306e-15	3.13034e-23	4.98754e-31	6.53866e-39	0.757365	0.000576117	2.92108e-07	1.11072e-10	3.37775e-14	1.20878e-16	0.000114923	299.329	7.83074	2.80672	9.98815	0.286497	99.7135	1	1	8.02986e-07	5.85693e-11
62	995.817	989.181	19624.6	24.1431	0.030525	5.6525e-08	1.66512e-15	3.51321e-23	5.78458e-31	7.84413e-39	0.769712	0.000595086	3.0666e-07	1.18512e-10	3.66293e-14	1.33244e-16	0.000118703	299.319	7.93937	2.84891	9.98805	0.2909	99.7091	1	1	8.28969e-07	6.14895e-11
63	995.75	989.03	19626.6	24.532	0.0314189	5.93646e-08	1.80613e-15	3.9356e-23	6.69556e-31	9.40339e-39	0.782056	0.00061436	3.21686e-07	1.26319e-10	3.96702e-14	1.46647e-16	0.000122543	299.309	8.04743	2.89098	9.98797	0.295293	99.7047	1	1	8.55347e-07	6.4505e-11
64	995.683	988.88	19628.6	24.9208	0.0323228	6.22977e-08	1.95652e-15	4.40086e-23	7.73421e-31	1.1256e-38	0.794397	0.000633939	3.37194e-07	1.34505e-10	4.29096e-14	1.61154e-16	0.000126444	299.299	8.15492	2.93294	9.98788	0.299677	99.7003	1	1	8.82121e-07	6.76172e-11
65	995.616	988.73	19630.6	25.3097	0.0332368	6.53257e-08	2.11676e-15	4.91253e-23	8.91551e-31	1.34461e-38	0.806737	0.000653822	3.5319e-07	1.43082e-10	4.63569e-14	1.76837e-16	0.000130405	299.289	8.26185	2.97478	9.9878	0.304052	99.6959	1	1	9.09289e-07	7.08277e-11
66	995.549	988.581	19632.7	25.6986	0.0341605	6.84502e-08	2.28733e-15	5.4744e-23	1.02558e-30	1.60225e-38	0.819075	0.00067401	3.69683e-07	1.52061e-10	5.00219e-14	1.93771e-16	0.000134427	299.279	8.36822	3.01651	9.98772	0.308418	99.6916	1	1	9.3685e-07	7.4138e-11
67	995.482	988.433	19634.7	26.0874	0.035094	7.16727e-08	2.46872e-15	6.0905e-23	1.17729e-30	1.90393e-38	0.83141	0.000694503	3.8668e-07	1.61456e-10	5.39147e-14	2.12034e-16	0.000138509	299.27	8.47403	3.05812	9.98764	0.312775	99.6872	1	1	9.64804e-07	7.75495e-11
68	995.415	988.285	19636.7	26.4762	0.0360372	7.49946e-08	2.66143e-15	6.7651e-23	1.34862e-30	2.25562e-38	0.843743	0.0007153	4.04188e-07	1.71278e-10	5.80459e-14	2.31708e-16	0.000142652	299.26	8.57929	3.09961	9.98757	0.317123	99.6829	1	1	9.93149e-07	8.10639e-11
69	995.348	988.138	19638.7	26.865	0.0369898	7.84175e-08	2.86598e-15	7.50274e-23	1.54167e-30	2.66388e-38	0.856075	0.000736401	4.22214e-07	1.81542e-10	6.24261e-14	2.5288e-16	0.000146855	299.25	8.68399	3.14099	9.9875	0.321463	99.6785	1	1	1.02189e-06	8.46826e-11
70	995.281	987.991	19640.7	27.2538	0.037952	8.19429e-08	3.08292e-15	8.30822e-23	1.7587e-30	3.1359e-38	0.868404	0.000757806	4.40768e-07	1.92258e-10	6.70663e-14	2.75639e-16	0.000151118	299.24	8.78815	3.18226	9.98743	0.325793	99.6742	1	1	1.05101e-06	8.84071e-11
71	995.214	987.846	19642.7	27.6426	0.0389234	8.55723e-08	3.31279e-15	9.18664e-23	2.00217e-30	3.67956e-38	0.880731	0.000779516	4.59855e-07	2.03441e-10	7.19781e-14	3.00079e-16	0.000155442	299.23	8.89176	3.22341	9.98737	0.330114	99.6699	1	1	1.08053e-06	9.2239e-11
72	995.147	987.701	19644.7	28.0314	0.0399041	8.93072e-08	3.55616e-15	1.01434e-22	2.27473e-30	4.30344e-38	0.893055	0.00080153	4.79483e-07	2.15104e-10	7.7173e-14	3.26297e-16	0.000159826	299.22	8.99482	3.26446	9.98731	0.334427	99.6656	1	1	1.11043e-06	9.61797e-11
73	995.08	987.556	19646.7	28.4202	0.040894	9.31491e-08	3.81363e-15	1.11841e-22	2.57923e-30	5.01692e-38	0.905378	0.000823847	4.9966e-07	2.2726e-10	8.26631e-14	3.54396e-16	0.00016427	299.211	9.09735	3.30538	9.98725	0.338731	99.6613	1	1	1.14072e-06	1.00231e-10
74	995.013	987.412	19648.7	28.8089	0.0418929	9.70995e-08	4.08579e-15	1.23149e-22	2.91874e-30	5.83016e-38	0.917699	0.000846469	5.20393e-07	2.39923e-10	8.84608e-14	3.84481e-16	0.000168775	299.201	9.19934	3.3462	9.9872	0.343025	99.657	1	1	1.1714e-06	1.04394e-10
75	994.947	987.269	19650.7	29.1976	0.0429007	1.0116e-07	4.37326e-15	1.3542e-22	3.29655e-30	6.7542e-38	0.930017	0.000869394	5.41689e-07	2.53107e-10	9.45788e-14	4.16664e-16	0.00017334	299.191	9.30079	3.3869	9.98715	0.347311	99.6527	1	1	1.20247e-06	1.0867e-10
76	994.88	987.127	19652.8	29.5864	0.0439174	1.05332e-07	4.67668e-15	1.48723e-22	3.71619e-30	7.801e-38	0.942334	0.000892623	5.63557e-07	2.66826e-10	1.0103e-13	4.51059e-16	0.000177966	299.182	9.40171	3.42749	9.9871	0.351589	99.6484	1	1	1.23392e-06	1.13061e-10
77	994.813	986.985	19654.8	29.9751	0.0449429	1.09617e-07	4.99671e-15	1.63126e-22	4.18145e-30	8.98349e-38	0.954648	0.000916155	5.86003e-07	2.81093e-10	1.07828e-13	4.87787e-16	0.000182651	299.172	9.50211	3.46797	9.98705	0.355857	99.6441	1	1	1.26575e-06	1.17569e-10
78	994.746	986.844	19656.8	30.3638	0.045977	1.14017e-07	5.33401e-15	1.78705e-22	4.697e-30	1.03219e-37	0.96696	0.000939991	6.09035e-07	2.95924e-10	1.14987e-13	5.26973e-16	0.000187397	299.162	9.60197	3.50834	9.98701	0.360117	99.6399	1	1	1.29797e-06	1.22194e-10
