Time	[L]	[R]	[LR]	[Gabg]	[RGabg]	[LRGabg]	[RRGSm]	[LRRGSm]	[RRGSmGabg]	[LRRGSmGabg]	[GaGTP]	[Gbg]	[Effector]	[GaGTPEffector]	[RGSc]	[RGSm]	[RGSmGaGTP]	[GaGTPEffectorOFF]	[RGSmGaGTPEffectorOFF]	[GaGDPP]	[LRRGSmGaGTP]	[RRGSmGaGTP]	[LRRGSmGaGTPEffectorOFF]	[GaGDP]	[P]	[z1]	[z2]	[z3]
30	1.19648e-08	8.04679	0.0997254	6.65009	175.281	0.000265385	0.000711976	8.84758e-06	21.5711	8.82692e-08	6.33589e-05	1.49715	303.971	0.2021	0.0884529	37.0472	0.465424	0.000109108	0.827095	0.00141174	2.31324e-08	5.98053e-08	2.81363e-07	0.000942943	0.141636	0.208822	0.215958	0.223543
31	4.38132e-09	7.78745	0.0997334	6.45638	176.137	0.000257673	0.000668988	8.5902e-06	20.9754	8.31865e-08	6.05948e-05	1.43148	304.024	0.192977	0.085881	37.7021	0.452875	0.000102372	0.783142	0.00136718	2.14551e-08	5.30278e-08	2.48148e-07	0.00095507	0.137152	0.199155	0.205703	0.212651
32	1.603e-09	7.54358	0.099741	6.273	176.954	0.00025037	0.000629867	8.3493e-06	20.4014	7.85508e-08	5.8042e-05	1.37096	304.072	0.184567	0.0834737	38.3305	0.440921	9.63056e-05	0.743028	0.00132525	1.99532e-08	4.72477e-08	2.20077e-07	0.00096665	0.132935	0.190259	0.196282	0.202663
33	5.85998e-10	7.31387	0.0997481	6.09915	177.736	0.000243447	0.000594168	8.12344e-06	19.8493	7.43059e-08	5.56792e-05	1.31507	304.117	0.176799	0.0812166	38.9331	0.429523	9.08245e-05	0.706341	0.00128575	1.86041e-08	4.22863e-08	1.96238e-07	0.000977694	0.128961	0.182054	0.187607	0.193479
34	2.13835e-10	7.09716	0.099755	5.93414	178.484	0.000236875	0.000561509	7.91133e-06	19.3185	7.04075e-08	5.3488e-05	1.26335	304.158	0.169609	0.0790968	39.5104	0.418646	8.58573e-05	0.672717	0.00124847	1.73883e-08	3.80026e-08	1.75894e-07	0.000988213	0.125211	0.174471	0.179601	0.185018
35	7.78291e-11	6.89242	0.0997614	5.77734	179.198	0.000230628	0.000531559	7.71182e-06	18.8089	6.68185e-08	5.14518e-05	1.21538	304.195	0.16294	0.0771029	40.0633	0.408258	8.13429e-05	0.641836	0.00121323	1.62895e-08	3.42843e-08	1.58447e-07	0.000998225	0.121668	0.167448	0.172197	0.177205
36	2.8034e-11	6.6987	0.0997676	5.62818	179.881	0.000224686	0.000504028	7.52386e-06	18.32	6.35071e-08	4.9556e-05	1.1708	304.23	0.156742	0.0752244	40.5926	0.398328	7.72285e-05	0.613414	0.00117988	1.52936e-08	3.10409e-08	1.4341e-07	0.00100775	0.118314	0.16093	0.165335	0.169974
37	1.00148e-11	6.51516	0.0997734	5.48613	180.533	0.000219026	0.000478664	7.34654e-06	17.8511	6.04456e-08	4.77877e-05	1.12929	304.262	0.150971	0.0734521	41.099	0.388829	7.34685e-05	0.5872	0.00114826	1.43884e-08	2.81989e-08	1.30387e-07	0.0010168	0.115136	0.154869	0.158964	0.16327
38	3.62012e-12	6.34105	0.099779	5.35073	181.157	0.000213631	0.000455248	7.179e-06	17.4017	5.76095e-08	4.61354e-05	1.09056	304.291	0.145587	0.0717776	41.5834	0.379737	7.00233e-05	0.562972	0.00111826	1.35634e-08	2.56981e-08	1.19054e-07	0.0010254	0.11212	0.149222	0.153036	0.15704
39	1.29861e-12	6.17567	0.0997843	5.22154	181.753	0.000208482	0.000433586	7.02049e-06	16.9711	5.49774e-08	4.45889e-05	1.05435	304.319	0.140557	0.0701933	42.0467	0.371027	6.68589e-05	0.540536	0.00108976	1.28097e-08	2.34888e-08	1.09144e-07	0.00103357	0.109255	0.143952	0.14751	0.151242
