Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
56	0.154275	1.98472	38.0573	0.687588	8.98068	2.96707	0.0253068	3.32625	0.678047	39.8665	0.344205	1.28142	1.12767	0.116936	0.147844	0.114199	0.139918
57	0.153057	1.96878	37.8315	0.683423	8.89372	2.94076	0.0250976	3.29236	0.672407	40.296	0.34126	1.26858	1.11832	0.115749	0.146635	0.11309	0.139237
58	0.151857	1.95311	37.605	0.679253	8.80899	2.91505	0.0248922	3.25927	0.666872	40.7216	0.338376	1.25607	1.10914	0.114588	0.145446	0.11201	0.13855
59	0.150676	1.93769	37.3779	0.67508	8.72638	2.8899	0.0246904	3.22695	0.661436	41.1432	0.335549	1.24387	1.10013	0.113453	0.144278	0.110957	0.137857
60	0.149512	1.9225	37.1505	0.670904	8.64578	2.86527	0.0244921	3.19538	0.656095	41.561	0.332775	1.23197	1.09127	0.112343	0.14313	0.109929	0.137158
61	0.148365	1.90755	36.9228	0.666729	8.56707	2.84115	0.0242971	3.16451	0.650845	41.975	0.330053	1.22035	1.08256	0.111257	0.141999	0.108926	0.136455
62	0.147233	1.89282	36.695	0.662556	8.49016	2.8175	0.0241052	3.13433	0.645681	42.3854	0.327379	1.20901	1.07399	0.110194	0.140887	0.107946	0.135748
63	0.146118	1.8783	36.4672	0.658387	8.41496	2.7943	0.0239163	3.1048	0.640598	42.7922	0.324751	1.19791	1.06556	0.109153	0.139791	0.106987	0.135037
64	0.145016	1.86398	36.2395	0.654223	8.34137	2.77152	0.0237303	3.0759	0.635595	43.1955	0.322168	1.18707	1.05725	0.108133	0.138711	0.106049	0.134323
65	0.143929	1.84986	36.0119	0.650066	8.26933	2.74915	0.023547	3.04761	0.630666	43.5953	0.319625	1.17646	1.04907	0.107134	0.137647	0.105131	0.133606
66	0.142856	1.83592	35.7846	0.645918	8.19874	2.72716	0.0233663	3.01989	0.625809	43.9917	0.317123	1.16607	1.04101	0.106155	0.136598	0.104232	0.132886
67	0.141796	1.82216	35.5576	0.641779	8.12954	2.70553	0.0231881	2.99273	0.621021	44.3848	0.314659	1.15589	1.03306	0.105195	0.135562	0.10335	0.132165
68	0.140748	1.80857	35.3311	0.63765	8.06166	2.68425	0.0230124	2.96611	0.616299	44.7745	0.312231	1.14591	1.02522	0.104253	0.134541	0.102485	0.131441
69	0.139713	1.79515	35.105	0.633533	7.99504	2.66331	0.022839	2.93999	0.61164	45.1611	0.309839	1.13613	1.01748	0.103329	0.133532	0.101636	0.130715
70	0.138689	1.78189	34.8795	0.629429	7.92962	2.64267	0.0226678	2.91437	0.607042	45.5445	0.307479	1.12653	1.00984	0.102422	0.132537	0.100803	0.129989
71	0.137677	1.76878	34.6546	0.625338	7.86534	2.62234	0.0224988	2.88923	0.602502	45.9248	0.305151	1.11711	1.0023	0.101531	0.131553	0.0999841	0.129261
72	0.136676	1.75582	34.4304	0.621262	7.80214	2.6023	0.0223318	2.86454	0.598019	46.302	0.302854	1.10786	0.994856	0.100657	0.130581	0.0991792	0.128533
73	0.135685	1.74301	34.2069	0.617201	7.73999	2.58254	0.0221668	2.84029	0.59359	46.6761	0.300587	1.09877	0.987498	0.0997974	0.129621	0.0983876	0.127804
74	0.134705	1.73034	33.9842	0.613156	7.67882	2.56304	0.0220038	2.81646	0.589214	47.0473	0.298348	1.08983	0.980227	0.0989527	0.128671	0.0976088	0.127074
75	0.133736	1.7178	33.7623	0.609127	7.61861	2.5438	0.0218426	2.79303	0.584888	47.4156	0.296136	1.08104	0.973039	0.0981222	0.127732	0.096842	0.126345
76	0.132776	1.7054	33.5412	0.605116	7.55931	2.5248	0.0216832	2.76999	0.580611	47.781	0.293951	1.0724	0.965931	0.0973054	0.126804	0.096087	0.125616
