Time	[ADP]	[NAD]	[ATP]	[NADH]	[pyruvate]	[lactate]	[CoA]	[halfglucose]	[AcCoA]	[AcP]	[Ac]	[AcO]	[EtOH]	[AcLac]	[AcetoinIn]	[AcetoinOut]	[Butanediol]	[O2]	[PO4]
73	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
74	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
75	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
76	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
77	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
78	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
79	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
80	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
81	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
82	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
