Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
30	5	0.351103	0.111395	0.111487	4.94618	0.0899615	2.62403	0.962907	1.13306	1.42517	4.25467	0.387292	0.43879	0.9	0	1	3.61271	1.98324	3.47659	0.000971382	0	0.016675	0.000540599	0.0667669	13.7865	0.01	0.127057	0.205457	0.309768	0.205154	5	0.523411	0.01	1.61944	0	3.94746	10.1015	0.119562	0	0.367556	0	0.0538205	19.4148	0.00139951	0.0124443	0.00595871	1.00591	4.94713	1167.73	0.491587	0.0525418
31	5	0.35114	0.111509	0.111602	4.94617	0.0898581	2.62397	0.962412	1.13358	1.42507	4.25544	0.387295	0.438992	0.9	0	1	3.6127	1.98348	3.47658	0.000971046	0	0.0166751	0.000540603	0.0667352	13.8274	0.01	0.127056	0.205825	0.309594	0.205522	5	0.523418	0.01	1.61969	0	3.94746	10.1	0.119559	0	0.367556	0	0.0538305	19.418	0.00139952	0.0124442	0.00595876	1.00599	4.94773	1167.93	0.491454	0.0525433
32	5	0.351171	0.11161	0.111703	4.94616	0.0897672	2.6239	0.961977	1.13403	1.42498	4.25604	0.387299	0.439169	0.9	0	1	3.6127	1.98368	3.47658	0.000970749	0	0.0166751	0.000540606	0.0667073	13.8636	0.01	0.127054	0.206151	0.30944	0.205847	5	0.523423	0.01	1.61988	0	3.94746	10.0986	0.119556	0	0.367556	0	0.0538397	19.421	0.00139952	0.0124441	0.00595879	1.00605	4.94826	1168.09	0.491344	0.0525449
33	5	0.351195	0.1117	0.111793	4.94615	0.0896874	2.62384	0.961594	1.13443	1.4249	4.25653	0.387302	0.439324	0.9	0	1	3.6127	1.98385	3.47657	0.000970489	0	0.0166752	0.000540609	0.0666827	13.8955	0.01	0.127051	0.206438	0.309305	0.206134	5	0.523428	0.01	1.62004	0	3.94745	10.0974	0.119553	0	0.367556	0	0.0538483	19.4237	0.00139953	0.0124441	0.00595882	1.0061	4.94872	1168.21	0.491251	0.0525467
34	5	0.351214	0.111779	0.111872	4.94614	0.0896172	2.62378	0.961257	1.13477	1.42484	4.25691	0.387304	0.439459	0.9	0	1	3.6127	1.98399	3.47657	0.000970259	0	0.0166752	0.000540612	0.0666612	13.9238	0.01	0.127047	0.206691	0.309186	0.206388	5	0.523433	0.01	1.62015	0	3.94745	10.0963	0.11955	0	0.367556	0	0.0538562	19.4261	0.00139953	0.012444	0.00595885	1.00615	4.94913	1168.31	0.491173	0.0525485
35	5	0.35123	0.111848	0.111941	4.94614	0.0895554	2.62372	0.96096	1.13508	1.42479	4.25721	0.387306	0.439577	0.9	0	1	3.61269	1.9841	3.47656	0.000970058	0	0.0166752	0.000540614	0.0666422	13.9487	0.01	0.127043	0.206914	0.309082	0.206611	5	0.523436	0.01	1.62025	0	3.94745	10.0952	0.119547	0	0.367556	0	0.0538635	19.4284	0.00139953	0.012444	0.00595887	1.00618	4.94948	1168.39	0.491108	0.0525502
36	5	0.351242	0.11191	0.112003	4.94613	0.0895011	2.62366	0.960699	1.13534	1.42474	4.25745	0.387308	0.43968	0.9	0	1	3.61269	1.9842	3.47656	0.00096988	0	0.0166752	0.000540616	0.0666255	13.9708	0.01	0.127038	0.207111	0.30899	0.206808	5	0.52344	0.01	1.62032	0	3.94745	10.0943	0.119544	0	0.367556	0	0.0538701	19.4304	0.00139953	0.0124439	0.00595889	1.00621	4.9498	1168.45	0.491053	0.0525519
37	5	0.351252	0.111964	0.112057	4.94612	0.0894533	2.62361	0.960469	1.13557	1.42471	4.25764	0.38731	0.439771	0.9	0	1	3.61269	1.98429	3.47656	0.000969724	0	0.0166753	0.000540618	0.0666108	13.9902	0.01	0.127034	0.207286	0.308909	0.206982	5	0.523443	0.01	1.62037	0	3.94745	10.0935	0.119542	0	0.367556	0	0.053876	19.4322	0.00139954	0.0124439	0.00595891	1.00623	4.95008	1168.5	0.491007	0.0525536
38	5	0.351261	0.112012	0.112105	4.94612	0.0894112	2.62356	0.960267	1.13578	1.42468	4.25779	0.387311	0.43985	0.9	0	1	3.61269	1.98436	3.47655	0.000969586	0	0.0166753	0.000540619	0.0665978	14.0074	0.01	0.127029	0.207439	0.308838	0.207136	5	0.523445	0.01	1.62042	0	3.94744	10.0927	0.11954	0	0.367556	0	0.0538815	19.4339	0.00139954	0.0124439	0.00595893	1.00625	4.95032	1168.54	0.490968	0.0525551
39	5	0.351267	0.112055	0.112147	4.94611	0.0893741	2.62352	0.960089	1.13596	1.42465	4.25791	0.387313	0.43992	0.9	0	1	3.61269	1.98442	3.47655	0.000969464	0	0.0166753	0.000540621	0.0665864	14.0226	0.01	0.127025	0.207575	0.308775	0.207271	5	0.523447	0.01	1.62045	0	3.94744	10.092	0.119538	0	0.367556	0	0.0538863	19.4354	0.00139954	0.0124438	0.00595894	1.00627	4.95054	1168.57	0.490935	0.0525565
