Time	[IkBalpha]	[NFkB]	[IkBalpha_NFkB]	[IkBbeta]	[IkBbeta_NFkB]	[IkBeps]	[IkBeps_NFkB]	[IKK_IkBalpha]	[IKK_IkBalpha_NFkB]	[IKK]	[IKK_IkBbeta]	[IKK_IkBbeta_NFkB]	[IKK_IkBeps]	[IKK_IkBeps_NFkB]	[NFkB_nuc]	[IkBalpha_nuc]	[IkBalpha_nuc_NFkB_nuc]	[IkBbeta_nuc]	[IkBbeta_nuc_NFkB_nuc]	[IkBeps_nuc]	[IkBalpha_transcript]	[IkBbeta_transcript]	[IkBeps_transcript]	[IkBeps_nuc_NFkB_nuc]	Values[fr_after_trigger]
71	0.437568	0.000168531	0.0995695	0	0	0	0	-1.88223e-24	-8.29549e-25	-9.86962e-25	0	0	0	0	0.000157752	0.199931	0.00110421	0	0	0	0.0332243	0	0	0	0.5
72	0.437997	0.00016842	0.0995744	0	0	0	0	-1.87973e-24	-8.27445e-25	-9.84468e-25	0	0	0	0	0.000154113	0.204472	0.00110306	0	0	0	0.0327625	0	0	0	0.5
73	0.438358	0.000168328	0.0995789	0	0	0	0	-1.87709e-24	-8.25414e-25	-9.82064e-25	0	0	0	0	0.000150684	0.208967	0.00110206	0	0	0	0.0323084	0	0	0	0.5
74	0.438654	0.000168253	0.0995831	0	0	0	0	-1.87431e-24	-8.23453e-25	-9.79744e-25	0	0	0	0	0.000147449	0.213415	0.0011012	0	0	0	0.0318619	0	0	0	0.5
75	0.438888	0.000168194	0.0995869	0	0	0	0	-1.87139e-24	-8.21559e-25	-9.77504e-25	0	0	0	0	0.000144395	0.217814	0.00110047	0	0	0	0.0314229	0	0	0	0.5
76	0.439062	0.000168151	0.0995905	0	0	0	0	-1.86836e-24	-8.19729e-25	-9.75341e-25	0	0	0	0	0.000141507	0.222166	0.00109987	0	0	0	0.0309911	0	0	0	0.5
77	0.43918	0.000168123	0.0995937	0	0	0	0	-1.86521e-24	-8.17958e-25	-9.73249e-25	0	0	0	0	0.000138774	0.226468	0.00109938	0	0	0	0.0305666	0	0	0	0.5
78	0.439243	0.000168109	0.0995967	0	0	0	0	-1.86194e-24	-8.16245e-25	-9.71227e-25	0	0	0	0	0.000136186	0.230721	0.00109901	0	0	0	0.0301491	0	0	0	0.5
79	0.439255	0.000168109	0.0995994	0	0	0	0	-1.85857e-24	-8.14586e-25	-9.69269e-25	0	0	0	0	0.000133731	0.234924	0.00109874	0	0	0	0.0297386	0	0	0	0.5
80	0.439218	0.000168122	0.0996019	0	0	0	0	-1.8551e-24	-8.12979e-25	-9.67374e-25	0	0	0	0	0.000131402	0.239077	0.00109857	0	0	0	0.0293349	0	0	0	0.5
