Time	[L]	[PCNA]	[PCNAon]	[Rad18:Rad18]	[Rad18]	[Rad6]	[Rad6U]	[U]	[Rad18:Rad18:PCNAon]	[Rad18:Rad18:PCNAon:Rad6U]	[Rad18:Rad18:PCNAonU]	[PCNAonU]	[Rad5]	[Rad5:PCNAonU]	[Ubc13U:Mms2]	[Ubc13U:Mms2:Rad5:PCNAonU]	[Rad5:PCNAonU:U]	[Ubc13:Mms2]	[PCNAonU:U]	[Ubc13U:Mms2:Rad5:PCNAonU:U]	[Rad5:PCNAonU:U:U]	[PCNAonU:U:U]	[PCNAoff]
67	993.507	7472.51	0.00686858	0.375594	193.817	170.023	18.5724	8479.08	0.257868	5.40447	0.0534376	1.52035	1519.75	0.000766719	192.759	0.132445	0.000439364	8.45277e-12	5.20656e-08	0.108988	0.00694285	0.000361881	1.76328e-05
68	993.396	7472.4	0.00680739	0.375151	193.703	169.717	18.8185	8478.71	0.255268	5.46414	0.0540412	1.56238	1519.74	0.000787984	192.747	0.137386	0.000455807	8.78093e-12	5.4973e-08	0.115157	0.00746711	0.000396	1.95727e-05
69	993.284	7472.28	0.00674781	0.374713	193.59	169.413	19.064	8478.34	0.252738	5.52313	0.054638	1.6047	1519.73	0.000809395	192.736	0.142399	0.000472491	9.1146e-12	5.79797e-08	0.121543	0.00802006	0.000432636	2.16908e-05
70	993.173	7472.17	0.00668979	0.37428	193.478	169.11	19.3089	8477.97	0.250274	5.58146	0.0552279	1.64728	1519.71	0.000830945	192.724	0.147482	0.00048941	9.45371e-12	6.10867e-08	0.128149	0.00860265	0.00047192	2.39999e-05
71	993.062	7472.06	0.00663325	0.373852	193.367	168.808	19.5532	8477.61	0.247873	5.63912	0.0558112	1.69012	1519.7	0.000852632	192.712	0.152633	0.000506559	9.79819e-12	6.4295e-08	0.134976	0.00921584	0.000513989	2.65136e-05
72	992.95	7471.95	0.00657811	0.373428	193.257	168.507	19.797	8477.24	0.245534	5.69613	0.0563879	1.73322	1519.69	0.000874451	192.7	0.157851	0.000523934	1.0148e-11	6.76054e-08	0.142028	0.00986058	0.000558986	2.92462e-05
73	992.839	7471.84	0.00652433	0.37301	193.149	168.207	20.0401	8476.88	0.243253	5.75251	0.0569581	1.77656	1519.68	0.000896397	192.688	0.163134	0.000541531	1.0503e-11	7.10187e-08	0.149307	0.0105378	0.000607054	3.22127e-05
74	992.728	7471.73	0.00647186	0.372596	193.041	167.909	20.2827	8476.51	0.241027	5.80825	0.0575219	1.82015	1519.66	0.000918467	192.675	0.168482	0.000559344	1.08632e-11	7.45358e-08	0.156814	0.0112486	0.000658344	3.54288e-05
75	992.617	7471.62	0.00642063	0.372186	192.935	167.612	20.5248	8476.15	0.238856	5.86337	0.0580793	1.86395	1519.65	0.000940657	192.662	0.173892	0.00057737	1.12284e-11	7.81572e-08	0.164552	0.0119938	0.000713009	3.89111e-05
76	992.505	7471.51	0.0063706	0.371782	192.83	167.316	20.7662	8475.78	0.236736	5.91787	0.0586306	1.90798	1519.63	0.000962963	192.648	0.179364	0.000595603	1.15987e-11	8.18838e-08	0.172522	0.0127745	0.000771206	4.26768e-05
77	992.394	7471.39	0.00632173	0.371382	192.726	167.021	21.0071	8475.42	0.234666	5.97176	0.0591756	1.95223	1519.62	0.000985381	192.634	0.184895	0.000614039	1.19739e-11	8.57161e-08	0.180727	0.0135916	0.000833096	4.67439e-05
78	992.283	7471.28	0.00627395	0.370986	192.623	166.728	21.2474	8475.05	0.232644	6.02506	0.0597146	1.99668	1519.6	0.00100791	192.62	0.190486	0.000632674	1.2354e-11	8.96548e-08	0.189168	0.0144462	0.000898847	5.11314e-05
79	992.172	7471.17	0.00622724	0.370594	192.521	166.435	21.4871	8474.69	0.230667	6.07777	0.0602476	2.04132	1519.59	0.00103054	192.606	0.196133	0.000651503	1.2739e-11	9.37006e-08	0.197847	0.0153392	0.000968627	5.5859e-05
80	992.061	7471.06	0.00618156	0.370208	192.421	166.144	21.7262	8474.33	0.228735	6.12989	0.0607747	2.08616	1519.57	0.00105327	192.591	0.201836	0.000670523	1.31286e-11	9.78538e-08	0.206765	0.0162716	0.00104261	6.09473e-05
81	991.949	7470.95	0.00613686	0.369825	192.321	165.854	21.9648	8473.96	0.226845	6.18144	0.061296	2.13118	1519.56	0.0010761	192.576	0.207593	0.000689727	1.35229e-11	1.02115e-07	0.215925	0.0172444	0.00112098	6.64178e-05
82	991.838	7470.84	0.00609311	0.369447	192.223	165.565	22.2028	8473.6	0.224997	6.23241	0.0618115	2.17638	1519.54	0.00109902	192.561	0.213404	0.000709113	1.39219e-11	1.06485e-07	0.225327	0.0182587	0.00120391	7.22928e-05
83	991.727	7470.73	0.00605027	0.369072	192.125	165.277	22.4402	8473.24	0.223188	6.28283	0.0623213	2.22174	1519.52	0.00112203	192.546	0.219267	0.000728676	1.43253e-11	1.10963e-07	0.234974	0.0193155	0.00129159	7.85956e-05
84	991.616	7470.62	0.00600832	0.368702	192.029	164.99	22.6771	8472.88	0.221417	6.33269	0.0628255	2.26727	1519.51	0.00114513	192.53	0.22518	0.000748412	1.47333e-11	1.15551e-07	0.244865	0.0204156	0.00138421	8.53504e-05
85	991.505	7470.5	0.00596721	0.368336	191.933	164.705	22.9134	8472.52	0.219683	6.38201	0.0633242	2.31295	1519.49	0.00116831	192.514	0.231142	0.000768316	1.51456e-11	1.20249e-07	0.255004	0.0215603	0.00148197	9.25824e-05
86	991.394	7470.39	0.00592693	0.367975	191.839	164.42	23.1491	8472.15	0.217985	6.43078	0.0638173	2.35878	1519.47	0.00119157	192.497	0.237152	0.000788385	1.55622e-11	1.25057e-07	0.26539	0.0227504	0.00158506	0.000100318
87	991.283	7470.28	0.00588744	0.367617	191.745	164.137	23.3842	8471.79	0.216321	6.47902	0.0643051	2.40475	1519.45	0.00121491	192.481	0.243209	0.000808614	1.59831e-11	1.29975e-07	0.276025	0.023987	0.00169369	0.000108584
88	991.172	7470.17	0.00584872	0.367263	191.653	163.854	23.6188	8471.43	0.214691	6.52673	0.0647875	2.45086	1519.44	0.00123833	192.464	0.249311	0.000828999	1.64082e-11	1.35003e-07	0.28691	0.0252711	0.00180806	0.000117409
89	991.061	7470.06	0.00581074	0.366913	191.562	163.573	23.8528	8471.07	0.213093	6.57392	0.0652646	2.4971	1519.42	0.00126181	192.446	0.255457	0.000849536	1.68374e-11	1.40142e-07	0.298046	0.0266038	0.00192839	0.000126822
90	990.95	7469.95	0.00577347	0.366567	191.471	163.293	24.0863	8470.71	0.211525	6.62059	0.0657366	2.54346	1519.4	0.00128537	192.429	0.261646	0.000870222	1.72707e-11	1.45393e-07	0.309434	0.0279859	0.00205489	0.000136853
91	990.838	7469.84	0.0057369	0.366225	191.382	163.014	24.3192	8470.35	0.209988	6.66675	0.0662033	2.58994	1519.38	0.00130898	192.411	0.267877	0.000891052	1.77079e-11	1.50754e-07	0.321075	0.0294186	0.00218777	0.000147534
92	990.727	7469.73	0.005701	0.365886	191.293	162.736	24.5515	8469.99	0.208481	6.71241	0.066665	2.63653	1519.36	0.00133266	192.393	0.274149	0.000912022	1.81491e-11	1.56227e-07	0.33297	0.0309028	0.00232727	0.000158898
