Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]	[Mr]	[Rc]	[Rn]
73	8.97135	3.55293	0.144009	1.97714	227.242	4.57585	0.757065	4.01377	0.0336205	0.0198173	3.76888	4.32075	0.917492	0.0972182	0.506838	1.44321	2.68308	1.4752	1.00036
74	8.39373	3.29654	0.140546	1.71768	231.747	4.63311	0.757299	4.05568	0.0335921	0.0198203	3.93108	4.62679	1.05555	0.0909179	0.605194	1.59046	2.68377	1.55319	1.13958
75	7.73217	2.98673	0.135792	1.4415	236.231	4.62053	0.757534	4.02242	0.032994	0.0194727	4.03809	4.93471	1.21435	0.0830007	0.725642	1.66593	2.63651	1.57967	1.25339
76	7.02825	2.64393	0.129677	1.17353	240.526	4.50385	0.757765	3.87689	0.0315851	0.0186294	4.05521	5.23785	1.38104	0.0737784	0.86785	1.63641	2.51847	1.52051	1.31056
77	6.33799	2.29506	0.122294	0.938906	244.394	4.24033	0.757985	3.57318	0.0290531	0.0171054	3.92929	5.52607	1.52148	0.0640675	1.02464	1.47772	2.30227	1.33306	1.2664
78	5.74979	1.97292	0.114102	0.756663	247.521	3.79712	0.758187	3.07722	0.0251393	0.0147547	3.59531	5.78245	1.57384	0.055137	1.17739	1.18773	1.97065	0.990887	1.07114
79	5.42182	1.7201	0.106325	0.639618	249.572	3.18692	0.75836	2.40768	0.0199038	0.0116316	3.00782	5.97735	1.46086	0.0484971	1.28986	0.802557	1.5446	0.558901	0.712777
80	5.53167	1.59197	0.101386	0.604422	250.307	2.50295	0.758495	1.67897	0.0140534	0.0081704	2.20222	6.05737	1.14015	0.045943	1.29838	0.418316	1.11019	0.250494	0.312872
81	5.93864	1.61406	0.101338	0.678898	249.734	1.92386	0.758584	1.11081	0.00914277	0.0052634	1.36622	5.93171	0.695573	0.0493975	1.10577	0.173817	0.810149	0.134285	0.0889883
82	6.3888	1.74796	0.105197	0.872185	248.204	1.62265	0.758624	0.895625	0.00682192	0.0038409	0.803895	5.50905	0.349746	0.0585971	0.658452	0.0805306	0.738478	0.10979	0.0368539
83	6.82874	1.9494	0.110939	1.13786	246.283	1.60599	0.758623	0.979404	0.00701094	0.00388058	0.628089	4.85953	0.204032	0.0698048	0.201719	0.0513036	0.839861	0.126873	0.0342014
84	7.25512	2.18635	0.11714	1.42235	244.461	1.75919	0.758591	1.20017	0.00847683	0.00468423	0.682327	4.19648	0.166258	0.0799712	0.0748049	0.0479824	1.01492	0.165082	0.0434716
85	7.66738	2.43703	0.123039	1.69346	243.017	1.9894	0.758543	1.46786	0.0104322	0.0057911	0.836743	3.65045	0.178811	0.0882263	0.0714181	0.0608686	1.20932	0.216584	0.0586765
86	8.06451	2.68634	0.128304	1.93373	242.071	2.24793	0.758493	1.74558	0.0125439	0.00700487	1.03966	3.25486	0.209195	0.0945759	0.0836715	0.0857551	1.40085	0.278456	0.0789662
87	8.44448	2.92513	0.132853	2.13883	241.662	2.51265	0.758448	2.01905	0.0146697	0.00824089	1.26979	3.00232	0.246067	0.0993965	0.100449	0.120823	1.58173	0.349696	0.104721
88	8.80378	3.14791	0.136715	2.30714	241.789	2.77359	0.758417	2.28272	0.0167412	0.00945772	1.51669	2.87282	0.286604	0.103008	0.119968	0.16699	1.74973	0.430026	0.13691
89	9.13674	3.35056	0.139952	2.4377	242.434	3.02606	0.758404	2.53427	0.0187197	0.0106309	1.77377	2.84426	0.330166	0.105633	0.141937	0.226387	1.9045	0.519307	0.176892
90	9.43462	3.5292	0.142617	2.53002	243.57	3.26765	0.75841	2.77265	0.0205795	0.0117435	2.03615	2.8964	0.376869	0.107422	0.166531	0.301867	2.04633	0.617276	0.226322
91	9.68472	3.67945	0.144745	2.58376	245.165	3.49694	0.758437	2.99719	0.0223027	0.012783	2.29987	3.01212	0.427245	0.108472	0.194192	0.396692	2.17561	0.72341	0.287044
92	9.86983	3.79581	0.146345	2.59828	247.186	3.71287	0.758484	3.20725	0.0238751	0.013739	2.56158	3.17763	0.482191	0.10883	0.225613	0.514024	2.29258	0.836835	0.360915
93	9.96875	3.87129	0.147397	2.57219	249.598	3.91425	0.758551	3.40185	0.0252846	0.0146024	2.8183	3.38204	0.543032	0.108492	0.261796	0.656017	2.39719	0.956204	0.449526
94	9.95881	3.89753	0.147848	2.50318	252.361	4.09942	0.758635	3.57935	0.0265184	0.0153637	3.06714	3.61678	0.611649	0.107401	0.304156	0.822489	2.48886	1.07947	0.55378
95	9.82051	3.86571	0.147613	2.38856	255.434	4.2657	0.758735	3.73695	0.0275592	0.016011	3.3049	3.87503	0.690619	0.105434	0.354657	1.00926	2.56623	1.20351	0.673316
96	9.54322	3.76839	0.146577	2.22671	258.77	4.40871	0.758849	3.86995	0.0283811	0.0165273	3.52741	4.15119	0.783268	0.102416	0.415931	1.20642	2.62665	1.3234	0.805738
97	9.12942	3.60205	0.144603	2.01953	262.311	4.52117	0.758974	3.97046	0.0289407	0.0168854	3.72846	4.44041	0.893383	0.0981277	0.491289	1.397	2.66545	1.4313	0.945544
98	8.59551	3.36934	0.141548	1.77516	265.983	4.59106	0.759108	4.02544	0.029165	0.0170403	3.8978	4.73812	1.02413	0.0923662	0.584403	1.55651	2.67467	1.5147	1.08258
99	7.96993	3.08052	0.137278	1.50953	269.683	4.59893	0.759246	4.01376	0.0289324	0.0169187	4.01794	5.0394	1.17525	0.0850492	0.698349	1.65423	2.64129	1.55382	1.19974
100	7.2914	2.75357	0.131712	1.24525	273.263	4.51518	0.759386	3.90336	0.0280527	0.0164066	4.05935	5.3381	1.33744	0.0763818	0.83366	1.65745	2.54557	1.51896	1.26997
