Time	[CD14]	[IRAK4]	[LBP]	[LPS]	[LPS:LBP:CD14:TLR4:TIRAP:MyD88:IRAK4]	[MyD88]	[TIRAP]	[TLR4]	[IRAK1]	[TRAF6]	[TAK1:TAB1:TAB2]	[TAK1:TAB1:TAB2:TRAF6]	[IKK]	[RIP1]	[TRAM]	[TRIF]	[IRF3]	[source]	[sink]	[TNFa]	[TNFR1]	[TRADD]	[TRAF2]	[TNFa:TNFR1:TRAF2:TRADD:RIP1]	[IkBa]	[IkBa:NFkB]	[NFkB]	[IkBb]	[IkBb:NFkB]	[IkBe]	[IkBe:NFkB]	[NFkB(nuc)]	[IkBa(nuc)]	[IkBa:NFkB(nuc)]	[IkBb(nuc)]	[IkBb:NFkB(nuc)]	[IkBe(nuc)]	[IkBe:NFkB(nuc)]	[IkBa_mRNA]	[IkBb_mRNA]	[IkBe_mRNA]	[LPS:LBP:CD14:TLR4:RIP1:TRAM:TRIF:TBK/IKKe]	[TBK1/IKKe]
45	1	1	1	1	0.00448989	1	1	1	0.9999	1	1	3.91194e-06	0.0966679	1	1	1	0.995564	1	0	0.00877473	1	1	1	0.00795871	0.00031315	9.30225e-06	0.00182003	6.94057e-07	3.52658e-08	4.95145e-07	2.51352e-08	0.0981702	7.44335e-07	3.11143e-07	9.74316e-10	5.3755e-10	6.95108e-10	3.83515e-10	0.00477915	7.95975e-06	5.67915e-06	0.00448989	1
46	1	1	1	1	0.00458944	1	1	1	0.999896	1	1	4.165e-06	0.0966107	1	1	1	0.995413	1	0	0.00882441	1	1	1	0.00803878	0.00033254	9.57805e-06	0.00167064	7.2609e-07	3.58636e-08	5.17995e-07	2.55599e-08	0.0983193	8.03183e-07	3.44456e-07	1.03173e-09	5.83619e-10	7.36069e-10	4.16383e-10	0.00493859	8.13549e-06	5.80454e-06	0.00458944	1
47	1	1	1	1	0.00468897	1	1	1	0.999891	1	1	4.42818e-06	0.0965553	1	1	1	0.995261	1	0	0.00887223	1	1	1	0.00811587	0.000352579	9.84671e-06	0.00153412	7.58855e-07	3.64363e-08	5.41367e-07	2.59666e-08	0.0984555	8.6493e-07	3.80296e-07	1.09109e-09	6.32363e-10	7.78409e-10	4.51158e-10	0.00509845	8.31119e-06	5.9299e-06	0.00468897	1
48	1	1	1	1	0.0047885	1	1	1	0.999887	1	1	4.70162e-06	0.0965017	1	1	1	0.995108	1	0	0.00891826	1	1	1	0.00819009	0.000373268	1.01082e-05	0.00140936	7.92351e-07	3.69847e-08	5.6526e-07	2.63559e-08	0.09858	9.29624e-07	4.18773e-07	1.15239e-09	6.83861e-10	8.22139e-10	4.87898e-10	0.00525869	8.48684e-06	6.05522e-06	0.0047885	1
49	1	1	1	1	0.00488801	1	1	1	0.999882	1	1	4.98547e-06	0.09645	1	1	1	0.994954	1	0	0.00896257	1	1	1	0.00826154	0.000394609	1.03624e-05	0.00129537	8.26578e-07	3.75096e-08	5.89675e-07	2.67284e-08	0.0986937	9.97311e-07	4.59999e-07	1.21565e-09	7.38196e-10	8.67267e-10	5.26661e-10	0.00541927	8.66244e-06	6.1805e-06	0.00488801	1
50	1	1	1	1	0.00498752	1	1	1	0.999877	1	1	5.27989e-06	0.0963999	1	1	1	0.994799	1	0	0.00900523	1	1	1	0.00833033	0.000416601	1.06094e-05	0.00119119	8.61534e-07	3.80117e-08	6.14609e-07	2.70845e-08	0.0987975	1.06804e-06	5.04083e-07	1.28088e-09	7.9545e-10	9.13803e-10	5.67507e-10	0.00558016	8.83799e-06	6.30576e-06	0.00498752	1
51	1	1	1	1	0.00508702	1	1	1	0.999872	1	1	5.58502e-06	0.0963516	1	1	1	0.994642	1	0	0.00904629	1	1	1	0.00839655	0.000439247	1.08492e-05	0.001096	8.97218e-07	3.84919e-08	6.40062e-07	2.7425e-08	0.0988924	1.14184e-06	5.51139e-07	1.3481e-09	8.55703e-10	9.61756e-10	6.10493e-10	0.00574133	9.01349e-06	6.43097e-06	0.00508702	1
52	1	1	1	1	0.0051865	1	1	1	0.999867	1	1	5.90101e-06	0.0963049	1	1	1	0.994485	1	0	0.00908581	1	1	1	0.00846031	0.000462547	1.10821e-05	0.00100902	9.33629e-07	3.89509e-08	6.66034e-07	2.77503e-08	0.0989791	1.21877e-06	6.01278e-07	1.41732e-09	9.19039e-10	1.01113e-09	6.55677e-10	0.00590275	9.18894e-06	6.55616e-06	0.0051865	1
53	1	1	1	1	0.00528598	1	1	1	0.999862	1	1	6.228e-06	0.0962598	1	1	1	0.994327	1	0	0.00912386	1	1	1	0.00852168	0.0004865	1.1308e-05	0.000929538	9.70765e-07	3.93897e-08	6.92522e-07	2.80611e-08	0.0990583	1.29886e-06	6.54613e-07	1.48854e-09	9.85539e-10	1.06194e-09	7.03119e-10	0.00606439	9.36434e-06	6.6813e-06	0.00528598	1
54	1	1	1	1	0.00538545	1	1	1	0.999857	1	1	6.56612e-06	0.0962163	1	1	1	0.994169	1	0	0.00916049	1	1	1	0.00858077	0.000511109	1.15272e-05	0.000856909	1.00863e-06	3.9809e-08	7.19528e-07	2.83579e-08	0.0991307	1.38216e-06	7.11257e-07	1.56179e-09	1.05528e-09	1.11419e-09	7.52875e-10	0.00622624	9.5397e-06	6.80641e-06	0.00538545	1
55	1	1	1	1	0.0054849	1	1	1	0.999852	1	1	6.91552e-06	0.0961743	1	1	1	0.994009	1	0	0.00919575	1	1	1	0.00863765	0.000536373	1.17399e-05	0.000790543	1.04721e-06	4.02096e-08	7.47048e-07	2.86415e-08	0.0991968	1.46869e-06	7.71323e-07	1.63706e-09	1.12836e-09	1.16788e-09	8.05006e-10	0.00638826	9.715e-06	6.93149e-06	0.0054849	1
