Time	[CDC28_Clb2_Sic1_Complex]	[Clb2]	[Sic1]	[Phosphorylated Cdc28_Clb2_Sic1 Complex]	[Phosphorylated Clb2]	[SBF]	[Intermediary Enzyme]	[Cdc20 activated]	[Cdc20]	[Cdh1]	[Swe1]	[Swe1 modified]	[Phosphorylated Swe1]	[Phosphorylated Swe1M]	[Mih1a]	[Mcm]	[BE]	[Cln]	[mass]
53	0.00663648	7.7984e-05	0.420311	0.000346294	1.19072e-06	0.551613	1.87837e-06	7.38953e-09	0.0628065	0.983439	0.0271685	0.0127568	4.46895e-06	2.57433e-06	2.2793e-05	4.40552e-05	0.186367	0.315198	1.04568
54	0.00666034	8.73764e-05	0.382554	0.000365714	1.46202e-06	0.592969	2.10303e-06	8.27069e-09	0.0615878	0.979604	0.0285298	0.0125413	5.16414e-06	2.84405e-06	2.55125e-05	4.92588e-05	0.199798	0.339684	1.05092
55	0.00668912	9.81528e-05	0.347618	0.000387202	1.80365e-06	0.635712	2.3611e-06	9.28282e-09	0.0604851	0.974147	0.0299842	0.0123295	5.98359e-06	3.15038e-06	2.86374e-05	5.52455e-05	0.214362	0.365846	1.05618
56	0.00672728	0.000110459	0.315647	0.000411385	2.23483e-06	0.679251	2.65615e-06	1.04399e-08	0.0594873	0.965967	0.0315338	0.0121211	6.94557e-06	3.49631e-06	3.22115e-05	6.21022e-05	0.230109	0.39363	1.06148
57	0.00678354	0.000124462	0.286692	0.000439421	2.78234e-06	0.722724	2.99213e-06	1.17575e-08	0.0585845	0.952936	0.033179	0.0119162	8.0704e-06	3.8851e-06	3.62826e-05	6.9922e-05	0.247076	0.422918	1.0668
58	0.00687548	0.000140398	0.260716	0.000473655	3.48811e-06	0.76491	3.37436e-06	1.32562e-08	0.0577675	0.930911	0.0349175	0.0117146	9.38344e-06	4.32168e-06	4.09141e-05	7.88221e-05	0.26528	0.453505	1.07215
59	0.00703802	0.000158709	0.237596	0.000518987	4.42831e-06	0.804164	3.81221e-06	1.49729e-08	0.0570284	0.892497	0.0367435	0.0115164	1.09234e-05	4.81608e-06	4.6216e-05	8.89936e-05	0.284713	0.485069	1.07752
60	0.0073353	0.000180302	0.217127	0.000585422	5.75642e-06	0.838502	4.32472e-06	1.6982e-08	0.0563595	0.827046	0.0386466	0.0113214	1.27609e-05	5.39029e-06	5.24101e-05	0.000100811	0.305329	0.517143	1.08292
61	0.00787339	0.000206973	0.199022	0.000692391	7.79315e-06	0.866056	4.95003e-06	1.94329e-08	0.0557543	0.723589	0.0406114	0.0111295	1.50313e-05	6.08934e-06	5.99419e-05	0.000115025	0.327036	0.549117	1.08835
62	0.00882141	0.000242173	0.182895	0.000877472	1.12246e-05	0.885992	5.76166e-06	2.26133e-08	0.0552067	0.574961	0.0426191	0.0109406	1.79949e-05	7.00003e-06	6.96712e-05	0.000133095	0.349687	0.580301	1.09381
63	0.0104694	0.000292839	0.16817	0.00121847	1.76177e-05	0.899197	6.90534e-06	2.70937e-08	0.0547112	0.380663	0.0446506	0.0107545	2.21744e-05	8.29419e-06	8.32981e-05	0.00015789	0.373087	0.610076	1.09929
64	0.0133471	0.00037384	0.153904	0.0018894	3.08838e-05	0.907736	8.69052e-06	3.40848e-08	0.0542629	0.155211	0.0466903	0.0105706	2.86971e-05	1.03357e-05	0.00010442	0.000195411	0.397007	0.638031	1.1048
65	0.0178483	0.000505909	0.139137	0.00318225	5.93332e-05	0.913589	1.16459e-05	4.56626e-08	0.0538572	0.0291	0.0487273	0.0103884	3.9472e-05	1.37066e-05	0.000139354	0.000256786	0.421215	0.663995	1.11034
66	0.0222854	0.000667387	0.125349	0.00502733	0.00010709	0.91804	1.55125e-05	6.08258e-08	0.0534901	0.0244462	0.0507576	0.0102081	5.35362e-05	1.79446e-05	0.000185927	0.000342691	0.445494	0.68797	1.1159
67	0.0261142	0.000848206	0.112942	0.00731217	0.000177512	0.921754	1.98805e-05	7.79563e-08	0.053158	0.021687	0.0527798	0.0100303	6.97588e-05	2.25956e-05	0.000238916	0.000444025	0.469651	0.710048	1.1215
68	0.0293815	0.0010498	0.101685	0.00999527	0.000276079	0.925024	2.47591e-05	9.70872e-08	0.0528574	0.0196099	0.0547924	0.00985466	8.82895e-05	2.76646e-05	0.000298154	0.000558541	0.493524	0.730356	1.12712
69	0.0321309	0.00127451	0.091386	0.0130339	0.000409414	0.927972	3.02012e-05	1.18427e-07	0.0525855	0.017983	0.0567944	0.00968127	0.000109385	3.31867e-05	0.000364252	0.000686734	0.516977	0.749026	1.13277
70	0.034403	0.00152576	0.0818942	0.0163837	0.00058572	0.930659	3.6287e-05	1.42289e-07	0.0523394	0.0166674	0.0587846	0.00950994	0.000133406	3.92224e-05	0.000438166	0.000830216	0.539901	0.766187	1.13844
71	0.0362351	0.00180841	0.0730965	0.0199983	0.000815392	0.933119	4.31303e-05	1.6912e-07	0.0521167	0.0155745	0.0607622	0.00934052	0.000160853	4.58622e-05	0.00052126	0.000991485	0.562209	0.781959	1.14415
72	0.0376615	0.00212904	0.0649105	0.0238293	0.00111186	0.935376	5.08871e-05	1.99532e-07	0.0519153	0.014644	0.0627259	0.00917282	0.000192404	5.32326e-05	0.000615408	0.00117404	0.583831	0.796454	1.14989
73	0.0388326	0.0025033	0.0572808	0.0277052	0.00148585	0.937446	5.98089e-05	2.34502e-07	0.0517329	0.0138295	0.0514895	0.0221705	0.000193284	0.000118001	0.000723535	0.00138306	0.604719	0.809776	1.15565
74	0.0419664	0.00308465	0.050156	0.0293786	0.00182199	0.939268	7.2849e-05	2.85567e-07	0.051568	0.0130162	0.0205001	0.0548749	0.000136067	0.00027304	0.000878429	0.0016659	0.624833	0.822016	1.16144
75	0.0463301	0.00390758	0.0434951	0.0295435	0.00213855	0.940793	9.20028e-05	3.60628e-07	0.0514187	0.012195	0.00932814	0.0677901	9.30374e-05	0.00037232	0.00110727	0.00208302	0.644148	0.83325	1.16726
76	0.0509453	0.00498972	0.0373046	0.0291233	0.0024861	0.942044	0.000117587	4.60922e-07	0.0512835	0.0113765	0.00530747	0.0735057	7.0883e-05	0.000485485	0.00141466	0.00265436	0.662649	0.843547	1.17312
77	0.0553924	0.00638556	0.0316188	0.0284634	0.00289731	0.94302	0.000150864	5.91409e-07	0.0511612	0.0105563	0.00386293	0.076582	6.60791e-05	0.000629276	0.00181543	0.00340831	0.680326	0.85297	1.179
78	0.0594549	0.00817422	0.0264894	0.0276889	0.00339818	0.943694	0.000193853	7.60023e-07	0.0510506	0.00972934	0.00334432	0.0786617	7.28025e-05	0.000814918	0.00233394	0.00439155	0.697178	0.861574	1.18491
79	0.0629961	0.0104477	0.0219744	0.0268379	0.0040097	0.944027	0.000249092	9.76772e-07	0.0509506	0.00889747	0.0031561	0.0803294	8.75707e-05	0.00105408	0.00300145	0.00566781	0.713207	0.869408	1.19085
80	0.0659237	0.0132912	0.018119	0.0259197	0.00474451	0.943971	0.000319257	1.25224e-06	0.0508605	0.00807294	0.00308306	0.0817868	0.000108846	0.00135849	0.0038517	0.00731209	0.728421	0.876509	1.19681
81	0.0681927	0.0167573	0.0149327	0.0249412	0.0056019	0.943489	0.00040657	1.59526e-06	0.05078	0.00727735	0.00304742	0.0830991	0.000135928	0.00173759	0.00491402	0.00939994	0.742828	0.882909	1.20281
82	0.0698152	0.0208455	0.0123752	0.0239182	0.00656574	0.942558	0.000512212	2.01065e-06	0.0507097	0.00653497	0.00302133	0.0842859	0.0001682	0.00219607	0.00620614	0.0119947	0.756441	0.888633	1.20884
83	0.0708568	0.0255029	0.0103633	0.022875	0.00760849	0.941182	0.000636114	2.49833e-06	0.0506518	0.00586452	0.0029953	0.085354	0.000204835	0.00273301	0.00773111	0.0151395	0.769271	0.893701	1.2149
84	0.0714148	0.0306429	0.00879483	0.0218382	0.00869908	0.939379	0.000777226	3.05439e-06	0.0506113	0.0052745	0.00296659	0.0863084	0.00024483	0.00334325	0.00947989	0.0188578	0.781332	0.898136	1.22099
