Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
71	7.03919e-31	9.83003e-18	4.75769e-40	0.000467981	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149009	4.36786e-13	9.79155e-09	1.37092e-35	1.05985e-34	1.12106e-10	2.54952e-34	9.27077e-33	6.8699e-32
72	7.6157e-31	9.83003e-18	5.14734e-40	0.000467981	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149009	4.36786e-13	9.79155e-09	1.4832e-35	1.14665e-34	1.12106e-10	2.75833e-34	1.003e-32	7.43254e-32
73	8.19221e-31	9.83003e-18	5.537e-40	0.000467981	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149009	4.36786e-13	9.79155e-09	1.59547e-35	1.23345e-34	1.12106e-10	2.96714e-34	1.07893e-32	7.99519e-32
74	8.76873e-31	9.83004e-18	5.92665e-40	0.000467981	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149009	4.36786e-13	9.79155e-09	1.70775e-35	1.32025e-34	1.12106e-10	3.17594e-34	1.15486e-32	8.55783e-32
75	9.34524e-31	9.83004e-18	6.31631e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36786e-13	9.79155e-09	1.82003e-35	1.40706e-34	1.12106e-10	3.38475e-34	1.23079e-32	9.12048e-32
76	9.92175e-31	9.83004e-18	6.70596e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36786e-13	9.79155e-09	1.93231e-35	1.49386e-34	1.12106e-10	3.59356e-34	1.30672e-32	9.68313e-32
77	1.04983e-30	9.83005e-18	7.09562e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36786e-13	9.79155e-09	2.04459e-35	1.58066e-34	1.12106e-10	3.80236e-34	1.38264e-32	1.02458e-31
78	1.10748e-30	9.83005e-18	7.48527e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36786e-13	9.79155e-09	2.15687e-35	1.66746e-34	1.12106e-10	4.01117e-34	1.45857e-32	1.08084e-31
79	1.16513e-30	9.83005e-18	7.87493e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36787e-13	9.79155e-09	2.26914e-35	1.75426e-34	1.12106e-10	4.21998e-34	1.5345e-32	1.13711e-31
80	1.22278e-30	9.83006e-18	8.26459e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36787e-13	9.79155e-09	2.38142e-35	1.84106e-34	1.12106e-10	4.42878e-34	1.61043e-32	1.19337e-31
81	1.28043e-30	9.83006e-18	8.65424e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36787e-13	9.79155e-09	2.4937e-35	1.92787e-34	1.12106e-10	4.63759e-34	1.68636e-32	1.24964e-31
82	1.33808e-30	9.83006e-18	9.0439e-40	0.00046798	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.00014901	4.36787e-13	9.79155e-09	2.60598e-35	2.01467e-34	1.12106e-10	4.8464e-34	1.76228e-32	1.3059e-31
83	1.39573e-30	9.83007e-18	9.43355e-40	0.000467979	9.90096e-07	9.58886e-11	1.60089e-14	0.00440001	0.000149011	4.36787e-13	9.79155e-09	2.71826e-35	2.10147e-34	1.12106e-10	5.0552e-34	1.83821e-32	1.36216e-31
84	1.45338e-30	9.83007e-18	9.82321e-40	0.000467979	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149011	4.36787e-13	9.79155e-09	2.83054e-35	2.18827e-34	1.12106e-10	5.26401e-34	1.91414e-32	1.41843e-31
85	1.51103e-30	9.83007e-18	1.02129e-39	0.000467979	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149011	4.36787e-13	9.79155e-09	2.94281e-35	2.27507e-34	1.12107e-10	5.47282e-34	1.99007e-32	1.47469e-31
86	1.56869e-30	9.83008e-18	1.06025e-39	0.000467979	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149011	4.36787e-13	9.79155e-09	3.05509e-35	2.36187e-34	1.12107e-10	5.68162e-34	2.06599e-32	1.53096e-31
87	1.62634e-30	9.83008e-18	1.09922e-39	0.000467979	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149011	4.36788e-13	9.79155e-09	3.16737e-35	2.44868e-34	1.12107e-10	5.89043e-34	2.14192e-32	1.58722e-31
88	1.68399e-30	9.83008e-18	1.13818e-39	0.000467979	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149011	4.36788e-13	9.79155e-09	3.27965e-35	2.53548e-34	1.12107e-10	6.09924e-34	2.21785e-32	1.64349e-31
89	1.74164e-30	9.83008e-18	1.17715e-39	0.000467979	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149011	4.36788e-13	9.79155e-09	3.39193e-35	2.62228e-34	1.12107e-10	6.30804e-34	2.29378e-32	1.69975e-31
90	1.79929e-30	9.83009e-18	1.21611e-39	0.000467979	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149011	4.36788e-13	9.79155e-09	3.50421e-35	2.70908e-34	1.12107e-10	6.51685e-34	2.36971e-32	1.75602e-31
91	1.85694e-30	9.83009e-18	1.25508e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36788e-13	9.79155e-09	3.61648e-35	2.79588e-34	1.12107e-10	6.72566e-34	2.44563e-32	1.81228e-31
92	1.91459e-30	9.83009e-18	1.29405e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36788e-13	9.79155e-09	3.72876e-35	2.88269e-34	1.12107e-10	6.93446e-34	2.52156e-32	1.86855e-31
93	1.97224e-30	9.8301e-18	1.33301e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36788e-13	9.79155e-09	3.84104e-35	2.96949e-34	1.12107e-10	7.14327e-34	2.59749e-32	1.92481e-31
94	2.02989e-30	9.8301e-18	1.37198e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36788e-13	9.79155e-09	3.95332e-35	3.05629e-34	1.12107e-10	7.35207e-34	2.67342e-32	1.98107e-31
95	2.08755e-30	9.8301e-18	1.41094e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36788e-13	9.79155e-09	4.0656e-35	3.14309e-34	1.12107e-10	7.56088e-34	2.74934e-32	2.03734e-31
96	2.1452e-30	9.83011e-18	1.44991e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36789e-13	9.79155e-09	4.17788e-35	3.22989e-34	1.12107e-10	7.76969e-34	2.82527e-32	2.0936e-31
97	2.20285e-30	9.83011e-18	1.48887e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36789e-13	9.79155e-09	4.29015e-35	3.31669e-34	1.12107e-10	7.97849e-34	2.9012e-32	2.14987e-31
98	2.2605e-30	9.83011e-18	1.52784e-39	0.000467978	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149012	4.36789e-13	9.79155e-09	4.40243e-35	3.4035e-34	1.12107e-10	8.1873e-34	2.97713e-32	2.20613e-31
99	2.31815e-30	9.83012e-18	1.5668e-39	0.000467977	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149013	4.36789e-13	9.79155e-09	4.51471e-35	3.4903e-34	1.12107e-10	8.39611e-34	3.05306e-32	2.2624e-31
100	2.3758e-30	9.83012e-18	1.60577e-39	0.000467977	9.90096e-07	9.58886e-11	1.6009e-14	0.00440001	0.000149013	4.36789e-13	9.79155e-09	4.62699e-35	3.5771e-34	1.12107e-10	8.60491e-34	3.12898e-32	2.31866e-31
