Time	[TGF_beta_ex]	[T1R_surf]	[T1R_endo]	[T2R_surf]	[T2R_endo]	[LRC_surf]	[LRC_endo]	[Smad2c]	[Smad2n]	[Smad4c]	[Smad4n]	[PSmad2c]	[PSmad2_PSmad2_c]	[PSmad2_Smad4_c]	[PSmad2n]	[PSmad2_PSmad2_n]	[PSmad2_Smad4_n]	[TGF_beta_endo]	[TGF_beta_ns]	[AA]	[empty_degraded]
64	0.046537	0.474473	5.08526	0.0111299	0.409296	0.0226958	0.216751	43.6594	22.1572	36.7527	46.3068	0.41966	0.0186456	1.62534	3.22188	2.1157	33.0637	0.0283769	0.0011573	0	0
65	0.046516	0.473538	5.07045	0.0110879	0.40354	0.0226261	0.214303	43.7377	22.186	36.812	46.3225	0.416643	0.0183791	1.61626	3.20815	2.09812	32.9326	0.0280324	0.00115678	0	0
66	0.0464953	0.4726	5.05576	0.0110474	0.397928	0.0225615	0.211945	43.8177	22.2155	36.8724	46.3388	0.413639	0.0181155	1.60723	3.19407	2.08009	32.7981	0.0277001	0.00115626	0	0
67	0.0464747	0.47166	5.04118	0.0110083	0.39246	0.0225017	0.209672	43.8992	22.2456	36.9338	46.3556	0.41065	0.0178549	1.59827	3.17966	2.06169	32.6606	0.0273795	0.00115575	0	0
68	0.0464543	0.470719	5.0267	0.0109707	0.387132	0.0224465	0.207484	43.9818	22.2763	36.9961	46.3728	0.407681	0.0175978	1.58938	3.16497	2.04296	32.5205	0.0270705	0.00115524	0	0
69	0.0464341	0.469775	5.01234	0.0109344	0.381943	0.0223956	0.205378	44.0655	22.3074	37.0592	46.3904	0.404733	0.0173442	1.58056	3.15003	2.02396	32.3782	0.0267727	0.00115473	0	0
70	0.046414	0.468829	4.99808	0.0108996	0.376889	0.0223489	0.203352	44.15	22.3388	37.1228	46.4084	0.401811	0.0170945	1.57182	3.13488	2.00475	32.2338	0.0264859	0.00115423	0	0
71	0.0463941	0.467882	4.98394	0.0108661	0.371968	0.0223061	0.201403	44.2352	22.3706	37.187	46.4268	0.398916	0.0168488	1.56318	3.11956	1.98536	32.0878	0.0262096	0.00115374	0	0
72	0.0463744	0.466933	4.96989	0.010834	0.367179	0.0222671	0.199529	44.321	22.4026	37.2516	46.4454	0.396052	0.0166073	1.55462	3.10408	1.96585	31.9404	0.0259437	0.00115324	0	0
73	0.0463548	0.465983	4.95596	0.0108033	0.362519	0.0222316	0.197727	44.4071	22.4349	37.3164	46.4642	0.39322	0.0163701	1.54616	3.08848	1.94626	31.7919	0.0256877	0.00115275	0	0
74	0.0463354	0.465031	4.94212	0.0107738	0.357984	0.0221995	0.195996	44.4935	22.4673	37.3815	46.4832	0.390422	0.0161374	1.53781	3.07279	1.92662	31.6425	0.0254416	0.00115227	0	0
75	0.0463161	0.464078	4.92839	0.0107457	0.353574	0.0221707	0.194334	44.58	22.4997	37.4466	46.5024	0.387661	0.0159092	1.52955	3.05703	1.90698	31.4924	0.0252048	0.00115179	0	0
76	0.046297	0.463124	4.91476	0.0107188	0.349286	0.0221448	0.192738	44.6666	22.5322	37.5118	46.5217	0.384937	0.0156856	1.52141	3.04124	1.88736	31.342	0.0249773	0.00115131	0	0
77	0.046278	0.462169	4.90123	0.0106932	0.345117	0.0221219	0.191207	44.753	22.5647	37.5769	46.5411	0.382252	0.0154667	1.51339	3.02542	1.8678	31.1913	0.0247587	0.00115084	0	0
