Time	[NO]	[sGCfast]	[NO_sGCfast]	[NO_sGCfast_6coord]	[NO_sGCfast_5coord]	[sGCslow]	[NO_sGCslow]	[NO_sGCslow_6coord]	[NO_sGCslow_6coord_NO_int]	[NO_sGCslow_5coord]	[NO_sGC_5coord_tot]	[sGC_inact_tot]
69	0.5	-5.83441e-28	-2.3301e-29	0.00110891	0.110891	-1.5694e-27	-7.61751e-29	0.0316529	0.00316526	0.253182	0.364073	0.0359271
70	0.5	-5.39909e-26	-1.22516e-26	0.00110891	0.110891	-1.4586e-25	-3.31567e-26	0.0316523	0.0031652	0.253183	0.364074	0.0359264
71	0.5	-7.82745e-27	-1.86405e-27	0.00110891	0.110891	-2.11519e-26	-5.03414e-27	0.0316517	0.00316515	0.253183	0.364074	0.0359257
72	0.5	-2.04462e-26	-4.80093e-27	0.00110891	0.110891	-5.52468e-26	-1.29734e-26	0.0316512	0.0031651	0.253184	0.364075	0.0359252
73	0.5	-4.52381e-27	-1.12509e-27	0.00110891	0.110891	-1.22275e-26	-3.03301e-27	0.0316508	0.00316506	0.253184	0.364075	0.0359248
74	0.5	1.2545e-26	2.67498e-27	0.00110891	0.110891	3.38805e-26	7.25998e-27	0.0316504	0.00316503	0.253185	0.364076	0.0359244
75	0.5	3.74187e-26	8.4149e-27	0.00110891	0.110891	1.01085e-25	2.27825e-26	0.0316501	0.003165	0.253185	0.364076	0.035924
76	0.5	8.08909e-26	1.85724e-26	0.00110891	0.110891	2.18546e-25	5.02366e-26	0.0316499	0.00316498	0.253185	0.364076	0.0359238
77	0.5	3.27126e-25	7.50748e-26	0.00110891	0.110891	8.83806e-25	2.03074e-25	0.0316496	0.00316496	0.253185	0.364076	0.0359235
78	0.5	3.97363e-25	9.118e-26	0.00110891	0.110891	1.07356e-24	2.4664e-25	0.0316495	0.00316494	0.253186	0.364077	0.0359233
79	0.5	2.23398e-26	5.13757e-27	0.00110891	0.110891	6.03567e-26	1.38957e-26	0.0316493	0.00316492	0.253186	0.364077	0.0359231
80	0.5	1.17518e-25	2.68743e-26	0.00110891	0.110891	3.17495e-25	7.27053e-26	0.0316492	0.00316491	0.253186	0.364077	0.035923
81	0.5	1.59701e-25	3.65008e-26	0.00110891	0.110891	4.31459e-25	9.87511e-26	0.0316491	0.0031649	0.253186	0.364077	0.0359229
82	0.5	2.07087e-27	4.85355e-28	0.00110891	0.110891	5.59555e-27	1.31167e-27	0.031649	0.00316489	0.253186	0.364077	0.0359228
83	0.5	3.73982e-27	8.53762e-28	0.00110891	0.110891	1.01037e-26	2.30993e-27	0.0316489	0.00316488	0.253186	0.364077	0.0359227
84	0.5	4.91188e-27	1.11394e-27	0.00110891	0.110891	1.32697e-26	3.01475e-27	0.0316488	0.00316488	0.253186	0.364077	0.0359226
85	0.5	1.39648e-27	3.16701e-28	0.00110891	0.110891	3.77266e-27	8.57113e-28	0.0316487	0.00316487	0.253186	0.364077	0.0359225
86	0.5	5.31035e-28	1.24708e-28	0.00110891	0.110891	1.43489e-27	3.36993e-28	0.0316487	0.00316487	0.253186	0.364078	0.0359225
87	0.5	1.06984e-27	2.51229e-28	0.00110891	0.110891	2.89076e-27	6.78886e-28	0.0316486	0.00316486	0.253186	0.364078	0.0359224
88	0.5	6.18959e-28	1.45344e-28	0.00110891	0.110891	1.67246e-27	3.92757e-28	0.0316486	0.00316486	0.253187	0.364078	0.0359224
89	0.5	3.30751e-29	7.73583e-30	0.00110891	0.110891	8.93691e-29	2.09079e-29	0.0316486	0.00316485	0.253187	0.364078	0.0359223
90	0.5	2.00815e-29	4.64323e-30	0.00110891	0.110891	5.4257e-29	1.25557e-29	0.0316485	0.00316485	0.253187	0.364078	0.0359223
91	0.5	-9.99295e-30	-2.39984e-30	0.00110891	0.110891	-2.70049e-29	-6.47881e-30	0.0316485	0.00316485	0.253187	0.364078	0.0359223
92	0.5	-1.05904e-28	-2.48679e-29	0.00110891	0.110891	-2.86159e-28	-6.71997e-29	0.0316485	0.00316485	0.253187	0.364078	0.0359222
93	0.5	-3.21919e-28	-7.55734e-29	0.00110891	0.110891	-8.69842e-28	-2.04222e-28	0.0316485	0.00316485	0.253187	0.364078	0.0359222
94	0.5	-3.99519e-28	-9.37455e-29	0.00110891	0.110891	-1.07952e-27	-2.53333e-28	0.0316484	0.00316484	0.253187	0.364078	0.0359222
95	0.5	-7.38888e-29	-1.71924e-29	0.00110891	0.110891	-1.99642e-28	-4.64767e-29	0.0316484	0.00316484	0.253187	0.364078	0.0359222
96	0.5	2.39588e-28	5.65075e-29	0.00110891	0.110891	6.47396e-28	1.5267e-28	0.0316484	0.00316484	0.253187	0.364078	0.0359222
97	0.5	-3.39504e-28	-7.94582e-29	0.00110891	0.110891	-9.17345e-28	-2.14748e-28	0.0316484	0.00316484	0.253187	0.364078	0.0359222
98	0.5	-1.5533e-27	-3.64562e-28	0.00110891	0.110891	-4.19711e-27	-9.85166e-28	0.0316484	0.00316484	0.253187	0.364078	0.0359222
99	0.5	-3.70118e-27	-8.69171e-28	0.00110891	0.110891	-1.00008e-26	-2.34873e-27	0.0316484	0.00316484	0.253187	0.364078	0.0359222
100	0.5	-5.72345e-27	-1.3443e-27	0.00110891	0.110891	-1.54651e-26	-3.63262e-27	0.0316484	0.00316484	0.253187	0.364078	0.0359221
