Time	[AA]	[5-HPETE]	[5-HETE]	[LTA4]	[LTB4]	[w-LTB4]	[PLA2]	[15-LOX]	[12-LOX]	[COX-2]	[PGES]	[15-HPETE]	[TXAS]	[5-LOX]	[LTA4H]	[CYP4F3]	[PHGPx]	[exo-AA]	[15-HETE]	[12-HPETE]	[12-HETE]	[PGH2]	[PGE2]	[TXA2]	[TXB2]
77	0.226434	4.30531e-07	11.864	0.0156589	0.00262215	90.0915	1.5	8.7493	9.53992e-33	0.2	0.5	17.7974	-7.5892e-26	3.42617e-06	0.00207295	0.07	0.8	0	1312.57	-1.92754e-34	0.263521	1.59639	52.8261	0.00373505	4.70136
78	0.225057	3.53593e-07	11.8521	0.0144126	0.00237867	90.0919	1.5	8.8115	-1.11091e-32	0.2	0.5	17.9358	5.00126e-26	2.85845e-06	0.00207144	0.07	0.8	0	1325.6	-2.24165e-34	0.263521	1.59549	53.1526	0.00337962	4.69702
79	0.223712	2.90145e-07	11.8403	0.0132655	0.00215976	90.0923	1.5	8.87307	-1.4142e-33	0.2	0.5	18.073	-2.86976e-27	2.38198e-06	0.00207005	0.07	0.8	0	1338.52	8.88073e-36	0.263521	1.59458	53.4758	0.003058	4.69265
80	0.222399	2.37868e-07	11.8284	0.0122098	0.00196269	90.0926	1.5	8.93404	1.40188e-34	0.2	0.5	18.2091	-3.21176e-27	1.98259e-06	0.00206878	0.07	0.8	0	1351.32	-1.22359e-35	0.263521	1.59366	53.7958	0.002767	4.68825
81	0.221116	1.94832e-07	11.8166	0.0112383	0.00178504	90.0929	1.5	8.99439	1.18218e-32	0.2	0.5	18.3441	-1.38255e-26	1.6482e-06	0.00206761	0.07	0.8	0	1364	2.27139e-35	0.263521	1.59273	54.1129	0.00250368	4.68382
82	0.219864	1.59435e-07	11.8048	0.010344	0.00162471	90.0932	1.5	9.05415	-1.12686e-32	0.2	0.5	18.478	-5.32527e-27	1.36858e-06	0.00206653	0.07	0.8	0	1376.58	6.174e-36	0.263521	1.59179	54.4269	0.00226543	4.67938
83	0.218639	1.30348e-07	11.793	0.00952105	0.00147983	90.0935	1.5	9.11331	-1.17902e-31	0.2	0.5	18.6109	-5.51755e-26	1.13505e-06	0.00206553	0.07	0.8	0	1389.04	-1.91328e-34	0.263521	1.59084	54.7381	0.00204984	4.67492
84	0.217443	1.06467e-07	11.7812	0.00876358	0.00134877	90.0937	1.5	9.17189	-3.48311e-31	0.2	0.5	18.7426	-8.82177e-26	9.40242e-07	0.00206462	0.07	0.8	0	1401.39	1.02395e-33	0.263521	1.58989	55.0464	0.00185477	4.67044
85	0.216274	8.68794e-08	11.7694	0.00806641	0.00123008	90.0939	1.5	9.22988	-2.5438e-33	0.2	0.5	18.8733	-1.15561e-27	7.77943e-07	0.00206378	0.07	0.8	0	1413.64	-2.98825e-35	0.263521	1.58893	55.352	0.00167827	4.66595
86	0.21513	7.08284e-08	11.7577	0.00742474	0.0011225	90.0941	1.5	9.28729	-2.0612e-34	0.2	0.5	19.0029	-7.06829e-28	6.42894e-07	0.002063	0.07	0.8	0	1425.77	-8.46232e-37	0.263521	1.58796	55.6549	0.00151856	4.66145
87	0.214013	5.76877e-08	11.7459	0.00683414	0.00102488	90.0943	1.5	9.34413	-4.68812e-36	0.2	0.5	19.1315	2.45305e-28	5.30657e-07	0.00206229	0.07	0.8	0	1437.8	-7.21269e-37	0.263521	1.58698	55.9552	0.00137405	4.65693
88	0.212919	4.69401e-08	11.7342	0.00629054	0.000936221	90.0945	1.5	9.40041	-1.05722e-34	0.2	0.5	19.259	-1.8314e-28	4.37496e-07	0.00206164	0.07	0.8	0	1449.71	-1.66938e-37	0.263521	1.586	56.2529	0.00124329	4.65241
89	0.21185	3.81583e-08	11.7225	0.00579021	0.000855638	90.0946	1.5	9.45613	2.65468e-33	0.2	0.5	19.3855	1.22476e-27	3.60263e-07	0.00206104	0.07	0.8	0	1461.53	1.07916e-36	0.263521	1.585	56.5481	0.00112498	4.64788
90	0.210803	3.09896e-08	11.7107	0.00532969	0.000782333	90.0948	1.5	9.51129	-4.58796e-32	0.2	0.5	19.5109	-9.55076e-28	2.96315e-07	0.00206048	0.07	0.8	0	1473.23	-2.8709e-35	0.263521	1.58401	56.8409	0.00101792	4.64334
91	0.209779	2.51435e-08	11.699	0.0049058	0.000715599	90.0949	1.5	9.5659	-3.22548e-32	0.2	0.5	19.6353	-6.40893e-27	2.43432e-07	0.00205997	0.07	0.8	0	1484.84	-6.11858e-34	0.263521	1.583	57.1313	0.000921053	4.63879
92	0.208777	2.03806e-08	11.6873	0.00451565	0.000654805	90.095	1.5	9.61997	-8.85873e-35	0.2	0.5	19.7587	1.67866e-28	1.99752e-07	0.0020595	0.07	0.8	0	1496.34	8.98264e-36	0.263521	1.58199	57.4193	0.000833403	4.63424
93	0.207795	1.65041e-08	11.6757	0.00415653	0.000599385	90.0951	1.5	9.67351	4.6965e-35	0.2	0.5	19.881	4.78259e-28	1.63719e-07	0.00205907	0.07	0.8	0	1507.73	8.65138e-36	0.263521	1.58098	57.705	0.000754095	4.62969
94	0.206835	1.3352e-08	11.664	0.00382598	0.000548834	90.0952	1.5	9.72651	1.1975e-36	0.2	0.5	20.0024	-2.07619e-29	1.3403e-07	0.00205867	0.07	0.8	0	1519.03	-9.18927e-37	0.263521	1.57996	57.9885	0.000682333	4.62514
95	0.205894	1.07915e-08	11.6523	0.00352173	0.000502696	90.0953	1.5	9.77898	-7.21307e-36	0.2	0.5	20.1228	-8.95641e-29	1.09599e-07	0.0020583	0.07	0.8	0	1530.22	2.12007e-37	0.263521	1.57893	58.2699	0.0006174	4.62058
