Time	[PFKL]	[FBPase]	[F6P]	[PEP]	[Isocitrate]	[2-oxoglutarate]	[Malate]	[Citrate]	[sa4_degraded]	[ALDO]	[pPFKL]	[sa8_degraded]	[sa7_degraded]	[sa5_degraded]	[sa6_degraded]	[sa9_degraded]	[sa13_degraded]	[sa3_degraded]	[sa10_degraded]	[F6P_proxy]
91	1	1	14.3992	153.544	3.38009	46.0708	133.233	47.2147	81.0146	1	1.54518	-64.3539	-20.8823	-45.45	-1.58522	-0.252422	-0.776239	-0.321757	-29.4671	14.3992
92	1	1	14.4696	153.243	3.41176	46.4404	133.736	47.5214	81.6713	1	1.55191	-64.8567	-21.2518	-45.1483	-1.61689	-0.249367	-0.78297	-0.392144	-29.7738	14.4696
93	1	1	14.54	152.941	3.44344	46.8099	134.238	47.8281	82.3175	1	1.55864	-65.3595	-21.6214	-44.8466	-1.64857	-0.246311	-0.7897	-0.462531	-30.0804	14.54
94	1	1	14.6103	152.639	3.47511	47.1794	134.741	48.1347	82.953	1	1.56537	-65.8622	-21.9909	-44.545	-1.68024	-0.243256	-0.796431	-0.532918	-30.3871	14.6103
95	1	1	14.6807	152.338	3.50679	47.549	135.244	48.4414	83.5778	1	1.5721	-66.365	-22.3604	-44.2433	-1.71191	-0.2402	-0.803161	-0.603305	-30.6938	14.6807
96	1	1	14.7511	152.036	3.53846	47.9185	135.747	48.7481	84.1917	1	1.57883	-66.8678	-22.73	-43.9417	-1.74359	-0.237144	-0.809892	-0.673692	-31.0005	14.7511
97	1	1	14.8215	151.735	3.57013	48.288	136.249	49.0548	84.7947	1	1.58556	-67.3705	-23.0995	-43.64	-1.77526	-0.234089	-0.816623	-0.744079	-31.3072	14.8215
98	1	1	14.8919	151.433	3.60181	48.6576	136.752	49.3615	85.3865	1	1.59229	-67.8733	-23.469	-43.3383	-1.80694	-0.231033	-0.823353	-0.814467	-31.6139	14.8919
99	1	1	14.9623	151.131	3.63348	49.0271	137.255	49.6682	85.9671	1	1.59902	-68.3761	-23.8386	-43.0367	-1.83861	-0.227977	-0.830084	-0.884854	-31.9206	14.9623
100	1	1	15.0327	150.83	3.66516	49.3966	137.758	49.9749	86.5364	1	1.60575	-68.8788	-24.2081	-42.735	-1.87029	-0.224922	-0.836814	-0.955241	-32.2273	15.0327
