Time	[A_b]	[O_b]	[P_b]	[L_b]	[S_b]	[NAPE_b]	[NOPE_b]	[NPPE_b]	[NLPE_b]	[NSPE_b]	[FAAH_b]	[FAAHinh_b]	[A_r]	[O_r]	[P_r]	[L_r]	[S_r]	[NAPE_r]	[NOPE_r]	[NPPE_r]	[NLPE_r]	[NSPE_r]	[FAAH_r]	[FAAHinh_r]	[A_m]	[O_m]	[P_m]	[L_m]	[S_m]	[FAAH_m]	[FAAHinh_m]	[A_p]	[O_p]	[P_p]	[L_p]	[S_p]	[PFM_gut]	[PFM_p]	[PFM_r]
40	73.5743	1284.32	250.111	275.756	398.78	0.000263704	0.0059921	0.00117764	0.000513284	0.000865155	0.00209177	15.3639	5.29279	92.0561	17.8818	19.8741	28.738	5.81719e-06	0.000132183	2.59783e-05	1.13228e-05	1.90849e-05	0.000255557	2.16561	32.2706	791.155	152.918	0	246.285	0.00145468	10.6845	8.53688	32.8773	21.0375	22.3305	3.12711	-7.34093e+06	695302	1.39617e+06
41	73.5514	1284.06	250.081	275.657	398.643	0.000263653	0.00599095	0.00117742	0.000513186	0.000864989	0.00215013	15.3638	5.29264	92.0545	17.8816	19.8735	28.7371	5.81715e-06	0.000132182	2.59781e-05	1.13228e-05	1.90848e-05	0.000262687	2.16561	32.2648	791.022	152.902	0	246.214	0.00149526	10.6845	8.53665	32.8767	21.0373	22.3298	3.12701	-7.34093e+06	676414	1.35848e+06
42	73.5279	1283.8	250.049	275.555	398.502	0.000263601	0.00598977	0.00117719	0.000513084	0.000864818	0.00221015	15.3638	5.29249	92.0529	17.8814	19.8728	28.7362	5.81711e-06	0.000132181	2.5978e-05	1.13227e-05	1.90847e-05	0.000270022	2.1656	32.2588	790.885	152.885	0	246.141	0.00153701	10.6845	8.53642	32.8761	21.037	22.329	3.1269	-7.34093e+06	658026	1.32179e+06
43	73.5037	1283.53	250.017	275.45	398.355	0.000263547	0.00598855	0.00117695	0.00051298	0.000864642	0.0022719	15.3637	5.29234	92.0512	17.8812	19.8721	28.7352	5.81708e-06	0.000132181	2.59778e-05	1.13226e-05	1.90846e-05	0.000277567	2.16559	32.2526	790.744	152.869	0	246.065	0.00157995	10.6844	8.53617	32.8755	21.0368	22.3282	3.1268	-7.34093e+06	640124	1.28606e+06
44	73.4788	1283.25	249.984	275.342	398.203	0.000263492	0.00598729	0.0011767	0.000512872	0.000864461	0.00233542	15.3637	5.29218	92.0495	17.881	19.8714	28.7342	5.81704e-06	0.00013218	2.59776e-05	1.13225e-05	1.90844e-05	0.000285328	2.16558	32.2463	790.599	152.851	0	245.987	0.00162413	10.6844	8.53592	32.8749	21.0366	22.3275	3.12669	-7.34093e+06	622697	1.25129e+06
45	73.4532	1282.96	249.949	275.23	398.046	0.000263435	0.005986	0.00117645	0.000512762	0.000864274	0.00240077	15.3636	5.29202	92.0477	17.8808	19.8707	28.7332	5.817e-06	0.000132179	2.59775e-05	1.13225e-05	1.90843e-05	0.000293313	2.16557	32.2398	790.45	152.833	0	245.906	0.00166957	10.6843	8.53566	32.8743	21.0363	22.3267	3.12658	-7.34093e+06	605730	1.21743e+06
46	73.4269	1282.67	249.914	275.114	397.884	0.000263377	0.00598467	0.00117618	0.000512648	0.000864082	0.002468	15.3635	5.29186	92.0459	17.8806	19.87	28.7321	5.81696e-06	0.000132178	2.59773e-05	1.13224e-05	1.90842e-05	0.000301528	2.16557	32.2331	790.296	152.815	0	245.822	0.00171632	10.6843	8.5354	32.8736	21.0361	22.3258	3.12647	-7.34093e+06	589213	1.18446e+06
47	73.3999	1282.37	249.878	274.996	397.717	0.000263317	0.00598331	0.00117592	0.000512531	0.000863885	0.00253717	15.3635	5.29169	92.044	17.8804	19.8692	28.7311	5.81691e-06	0.000132177	2.59771e-05	1.13223e-05	1.9084e-05	0.00030998	2.16556	32.2262	790.139	152.796	0	245.736	0.00176443	10.6842	8.53512	32.873	21.0358	22.325	3.12635	-7.34093e+06	573132	1.15237e+06
48	73.3721	1282.06	249.841	274.873	397.545	0.000263255	0.0059819	0.00117564	0.000512411	0.000863682	0.00260834	15.3634	5.29151	92.042	17.8801	19.8684	28.73	5.81687e-06	0.000132176	2.59769e-05	1.13222e-05	1.90839e-05	0.000318677	2.16555	32.2191	789.977	152.777	0	245.648	0.00181392	10.6842	8.53484	32.8723	21.0355	22.3241	3.12623	-7.34093e+06	557477	1.12113e+06
49	73.3435	1281.74	249.803	274.748	397.368	0.000263191	0.00598046	0.00117536	0.000512287	0.000863474	0.00268157	15.3633	5.29133	92.0401	17.8799	19.8676	28.7288	5.81683e-06	0.000132175	2.59767e-05	1.13221e-05	1.90837e-05	0.000327625	2.16554	32.2118	789.81	152.757	0	245.557	0.00186485	10.6841	8.53455	32.8716	21.0352	22.3232	3.1261	-7.34093e+06	542236	1.09071e+06
50	73.3141	1281.41	249.763	274.618	397.186	0.000263126	0.00597897	0.00117506	0.00051216	0.000863259	0.00275692	15.3632	5.29115	92.038	17.8797	19.8668	28.7276	5.81678e-06	0.000132174	2.59765e-05	1.1322e-05	1.90836e-05	0.000336833	2.16553	32.2043	789.638	152.736	0	245.463	0.00191725	10.6841	8.53426	32.8708	21.035	22.3222	3.12598	-7.34093e+06	527398	1.0611e+06
51	73.2839	1281.07	249.723	274.485	396.999	0.000263059	0.00597744	0.00117476	0.000512029	0.000863038	0.00283447	15.3632	5.29096	92.0359	17.8794	19.8659	28.7264	5.81673e-06	0.000132173	2.59763e-05	1.13219e-05	1.90834e-05	0.000346308	2.16552	32.1966	789.462	152.715	0	245.366	0.00197118	10.684	8.53395	32.8701	21.0347	22.3213	3.12585	-7.34093e+06	512953	1.03227e+06
52	73.2529	1280.72	249.681	274.348	396.806	0.000262989	0.00597587	0.00117445	0.000511894	0.000862811	0.00291427	15.3631	5.29076	92.0337	17.8792	19.8651	28.7252	5.81668e-06	0.000132172	2.59761e-05	1.13218e-05	1.90833e-05	0.00035606	2.16551	32.1887	789.281	152.694	0	245.267	0.00202667	10.684	8.53364	32.8693	21.0344	22.3203	3.12571	-7.34093e+06	498890	1.0042e+06
53	73.2209	1280.36	249.638	274.207	396.608	0.000262918	0.00597425	0.00117414	0.000511755	0.000862577	0.00299639	15.363	5.29056	92.0315	17.8789	19.8641	28.7239	5.81663e-06	0.00013217	2.59758e-05	1.13217e-05	1.90831e-05	0.000366096	2.1655	32.1806	789.094	152.671	0	245.164	0.00208379	10.6839	8.53331	32.8685	21.0341	22.3193	3.12557	-7.34093e+06	485198	976880
54	73.1881	1279.99	249.594	274.063	396.404	0.000262845	0.00597259	0.00117381	0.000511613	0.000862337	0.00308092	15.3629	5.29035	92.0292	17.8786	19.8632	28.7226	5.81658e-06	0.000132169	2.59756e-05	1.13216e-05	1.90829e-05	0.000376425	2.16549	32.1722	788.902	152.648	0	245.059	0.00214257	10.6839	8.53298	32.8677	21.0337	22.3182	3.12543	-7.34093e+06	471869	950279
55	73.1543	1279.61	249.549	273.914	396.194	0.00026277	0.00597087	0.00117347	0.000511466	0.00086209	0.00316792	15.3628	5.29013	92.0268	17.8783	19.8623	28.7212	5.81653e-06	0.000132168	2.59754e-05	1.13215e-05	1.90828e-05	0.000387057	2.16548	32.1636	788.705	152.625	0	244.951	0.00220307	10.6838	8.53264	32.8668	21.0334	22.3172	3.12528	-7.34093e+06	458893	924381
56	73.1195	1279.22	249.502	273.761	395.978	0.000262692	0.00596911	0.00117313	0.000511315	0.000861836	0.00325748	15.3627	5.28991	92.0244	17.878	19.8613	28.7198	5.81647e-06	0.000132167	2.59751e-05	1.13214e-05	1.90826e-05	0.000398001	2.16547	32.1547	788.502	152.6	0	244.84	0.00226535	10.6837	8.53228	32.866	21.0331	22.3161	3.12513	-7.34093e+06	446260	899169
57	73.0838	1278.82	249.454	273.603	395.756	0.000262612	0.0059673	0.00117277	0.00051116	0.000861574	0.00334966	15.3627	5.28969	92.0219	17.8777	19.8603	28.7184	5.81642e-06	0.000132166	2.59749e-05	1.13213e-05	1.90824e-05	0.000409266	2.16546	32.1456	788.293	152.575	0	244.725	0.00232946	10.6837	8.53192	32.8651	21.0327	22.3149	3.12497	-7.34093e+06	433961	874623
58	73.0471	1278.41	249.404	273.441	395.528	0.00026253	0.00596544	0.0011724	0.000511	0.000861305	0.00344456	15.3626	5.28945	92.0193	17.8774	19.8592	28.7169	5.81636e-06	0.000132164	2.59746e-05	1.13212e-05	1.90822e-05	0.000420864	2.16545	32.1363	788.078	152.549	0	244.607	0.00239546	10.6836	8.53155	32.8641	21.0324	22.3137	3.12481	-7.34093e+06	421987	850727
