Time	[Cdc20]	[Cdh1]	[cyclin A:Cdk2]	[cyclin B:Cdk2]	[cyclin D:Cdk2]	[cyclin E:Cdk2]	[delayed-response genes]	[E2F]	[E2F:Rb]	[early-response genes]	[general machinery for protein synthesis]	[hypophosphorylated Rb]	[inactive Cdc20]	[mass]	[P27]	[P27:cyclin A:Cdk2]	[P27:cyclin D:Cdk2]	[P27:cyclin E:Cdk2]	[phosphorylated E2F]	[phosphorylated E2F:Rb]	[phosphorylated intermediary enzyme]	[PPX]	[retinoblastoma protein (Rb)]
77	1.32614e-07	0.99586	0.168483	0.00509681	0.391582	1.11028	0.900533	4.62252	0.075087	0.0121809	0.9214	9.91964	0.0104387	1.14713	0.0132988	0.0263264	0.0586846	0.171889	0.297557	0.00483344	1.96624e-05	1	0.000446463
78	1.11014e-07	0.981309	0.396307	0.00516972	0.400081	1.0178	0.900533	3.98051	0.0561595	0.0121809	0.96767	9.93005	0.00631822	1.20473	0.0120825	0.0521257	0.0501854	0.131667	0.949923	0.0134021	1.99423e-05	1	0.000392325
79	1.14583e-07	0.887642	0.583946	0.00565585	0.392455	0.698121	0.900533	3.3849	0.0606001	0.0121809	1.01626	9.91158	0.00558456	1.26523	0.0132299	0.0907465	0.0578111	0.105757	1.52715	0.0273407	2.17935e-05	1	0.000479458
80	7.11236e-07	0.0319974	0.751085	0.0279926	0.38757	0.437619	0.900533	2.96148	0.0637652	0.0121809	1.0673	9.89405	0.0105514	1.32877	0.0140947	0.128554	0.0626962	0.0720565	1.93313	0.0416232	0.000106241	1	0.000561308
81	2.17778e-05	0.00318817	0.963881	0.47944	0.409789	0.206417	0.900533	2.34216	0.038702	0.0121809	1.12089	9.91827	0.209019	1.39549	0.0129374	0.0988785	0.0404777	0.0202092	2.57656	0.0425754	0.00223425	1	0.000458946
82	7.21698e-05	0.00148591	1.13323	1.0971	0.424647	0.0687996	0.900533	1.68093	0.0189352	0.0121809	1.17718	9.94396	0.717876	1.46557	0.0117271	0.0701378	0.0256189	0.00397013	3.26337	0.036761	0.00719974	1	0.00034554
83	0.000184056	0.000989623	1.25928	1.69091	0.432631	0.0396093	0.900533	1.32181	0.0103025	0.0121809	1.23629	9.96107	1.30051	1.53917	0.0105461	0.0523296	0.0176357	0.0015302	3.63952	0.0283674	0.0179114	1	0.000264103
84	0.00055738	0.00075776	1.35615	2.25616	0.436989	0.0281923	0.900533	1.1129	0.00651615	0.0121809	1.29838	9.97068	1.87811	1.61646	0.00971039	0.0418525	0.0132776	0.000810876	3.85799	0.0225889	0.0505959	1	0.000216352
85	0.00275179	0.000646512	1.41153	2.79068	0.439513	0.0224381	0.900533	0.976674	0.0046311	0.0121809	1.36358	9.97622	2.43164	1.69763	0.00918971	0.034996	0.0107534	0.000520536	3.99973	0.0189655	0.179748	1	0.000188578
86	0.0571653	0.00119828	1.12286	3.24853	0.439112	0.024429	0.900533	0.915154	0.00472121	0.0121809	1.43205	9.97413	2.94394	1.78288	0.0103612	0.0288706	0.0111539	0.000595722	4.05918	0.020941	0.529213	1	0.000213109
87	0.645626	0.998444	0.00438155	0.330589	0.273985	0.142966	0.900533	1.30202	0.202004	0.0121809	0.751983	9.32455	2.66853	0.936206	0.0494004	0.00270538	0.176282	0.0939491	3.02643	0.46954	0.673983	1	0.00390433
88	1.93755e-07	0.999722	0.000131713	0.00507858	0.0109137	0.00718088	0.900533	0.172764	3.51043	0.0121809	0.789745	4.79672	0.605876	0.983219	1.04152	0.00617382	0.439353	0.353461	0.0617661	1.25504	1.95928e-05	1	0.437813
89	1.88592e-07	0.999718	0.000394288	0.00507861	0.0121825	0.00978168	0.900533	0.26854	4.21944	0.0121809	0.829403	4.96043	0.139134	1.03259	0.935412	0.0169071	0.438084	0.427944	0.0306365	0.481376	1.95929e-05	1	0.338748
