Time	[S-adenosyl-L-methionine]	[S-adenosylmethioninamine]	[Putrescine]	[Spermine]	[Spermidine]	[N1-Acetylspermine]	[N1-Acetylspermidine]	[Methionine]	[L-Ornithine]	[Acetyl-CoA]	[CoA]	Values[Vmaxodc]	Values[Vmaxssat]	Values[Vmaxsamdc]	Values[Antz]
68	1.74377	0.0062075	1511.05	1.71005	11.3468	3.34841e-05	0.00591125	50	300	39.5	160	42.9286	0.053019	6.8096	0.200453
69	1.75922	0.00619423	1525.6	1.75109	11.4888	3.44783e-05	0.00601817	50	300	39.5	160	42.8539	0.0531976	6.74473	0.198784
70	1.7749	0.00618126	1539.91	1.79238	11.63	3.54916e-05	0.00612644	50	300	39.5	160	42.779	0.0533841	6.68026	0.197178
71	1.7908	0.0061686	1553.98	1.8339	11.7704	3.65243e-05	0.00623606	50	300	39.5	160	42.7038	0.0535782	6.6162	0.19563
72	1.80691	0.00615621	1567.81	1.87565	11.9101	3.75764e-05	0.00634704	50	300	39.5	160	42.6283	0.0537796	6.55256	0.194142
73	1.82323	0.0061441	1581.42	1.91763	12.049	3.86481e-05	0.00645936	50	300	39.5	160	42.5525	0.053988	6.48937	0.192711
74	1.83976	0.00613225	1594.79	1.95983	12.1871	3.97396e-05	0.00657303	50	300	39.5	160	42.4764	0.054203	6.42662	0.191335
75	1.85651	0.00612064	1607.94	2.00224	12.3245	4.0851e-05	0.00668805	50	300	39.5	160	42.4	0.0544244	6.36435	0.190014
76	1.87346	0.00610927	1620.86	2.04487	12.4612	4.19825e-05	0.00680442	50	300	39.5	160	42.3232	0.054652	6.30254	0.188747
77	1.89061	0.00609813	1633.57	2.0877	12.5971	4.31341e-05	0.00692214	50	300	39.5	160	42.246	0.0548856	6.24123	0.187531
78	1.90797	0.00608721	1646.05	2.13073	12.7324	4.4306e-05	0.0070412	50	300	39.5	160	42.1685	0.0551248	6.18041	0.186367
79	1.92553	0.00607649	1658.32	2.17396	12.8669	4.54984e-05	0.0071616	50	300	39.5	160	42.0905	0.0553694	6.12009	0.185252
80	1.94329	0.00606598	1670.38	2.21738	13.0008	4.67113e-05	0.00728334	50	300	39.5	160	42.0122	0.0556193	6.06029	0.184186
81	1.96126	0.00605566	1682.23	2.26099	13.134	4.79448e-05	0.00740642	50	300	39.5	160	41.9333	0.0558743	6.001	0.183168
82	1.97942	0.00604553	1693.88	2.30478	13.2665	4.91992e-05	0.00753084	50	300	39.5	160	41.854	0.0561341	5.94224	0.182196
83	1.99778	0.00603558	1705.31	2.34876	13.3983	5.04745e-05	0.00765659	50	300	39.5	160	41.7742	0.0563985	5.884	0.181269
84	2.01633	0.0060258	1716.55	2.3929	13.5295	5.17709e-05	0.00778368	50	300	39.5	160	41.6939	0.0566675	5.8263	0.180386
85	2.03508	0.00601618	1727.59	2.43722	13.6601	5.30883e-05	0.00791209	50	300	39.5	160	41.613	0.0569408	5.76914	0.179547
86	2.05402	0.00600673	1738.43	2.48171	13.79	5.4427e-05	0.00804184	50	300	39.5	160	41.5316	0.0572183	5.71252	0.17875
87	2.07315	0.00599743	1749.08	2.52636	13.9193	5.57871e-05	0.0081729	50	300	39.5	160	41.4496	0.0574999	5.65643	0.177995
88	2.09248	0.00598828	1759.53	2.57117	14.048	5.71686e-05	0.00830529	50	300	39.5	160	41.367	0.0577853	5.6009	0.177279
89	2.112	0.00597928	1769.79	2.61613	14.176	5.85717e-05	0.00843899	50	300	39.5	160	41.2838	0.0580744	5.54591	0.176603
90	2.13171	0.00597042	1779.87	2.66125	14.3035	5.99964e-05	0.00857401	50	300	39.5	160	41.2	0.0583672	5.49147	0.175966
91	2.1516	0.0059617	1789.76	2.70652	14.4304	6.14429e-05	0.00871035	50	300	39.5	160	41.1155	0.0586635	5.43758	0.175366
92	2.17168	0.0059531	1799.47	2.75193	14.5566	6.29111e-05	0.00884799	50	300	39.5	160	41.0303	0.0589631	5.38424	0.174803
93	2.19196	0.00594464	1808.99	2.79748	14.6823	6.44013e-05	0.00898693	50	300	39.5	160	40.9444	0.059266	5.33145	0.174276
94	2.21241	0.0059363	1818.34	2.84317	14.8074	6.59135e-05	0.00912718	50	300	39.5	160	40.8579	0.059572	5.27921	0.173783
95	2.23306	0.00592808	1827.51	2.88899	14.932	6.74478e-05	0.00926873	50	300	39.5	160	40.7706	0.0598811	5.22752	0.173325
96	2.25388	0.00591998	1836.5	2.93495	15.0559	6.90042e-05	0.00941157	50	300	39.5	160	40.6825	0.0601931	5.17637	0.1729
97	2.27489	0.005912	1845.32	2.98103	15.1794	7.05829e-05	0.0095557	50	300	39.5	160	40.5937	0.0605079	5.12578	0.172508
98	2.29609	0.00590412	1853.97	3.02724	15.3022	7.21839e-05	0.00970112	50	300	39.5	160	40.5042	0.0608255	5.07572	0.172147
99	2.31746	0.00589635	1862.45	3.07357	15.4245	7.38073e-05	0.00984783	50	300	39.5	160	40.4138	0.0611457	5.02621	0.171818
100	2.33902	0.00588869	1870.76	3.12002	15.5463	7.54532e-05	0.00999581	50	300	39.5	160	40.3226	0.0614685	4.97725	0.171519
