Time	[AC_active_cyto_mem]	[G_GDP_cyto]	[G_protein_cyto]	[G_a_s_cyto]	[GRK_bg_cyto]	[iso_BAR_p_cyto_mem]	[PDE4_cyto]	[ATP_cyto]	[AC_PKA_cyto_mem]	[R2C2_cyto]	[PP_PDE_cyto]	[BAR_cyto_mem]	[BAR_G_cyto_mem]	[iso_extra]	[iso_BAR_cyto_mem]	[MAPK_active_cyto]	[MEK_cyto]	[MEK_active_cyto]	[B_Raf_active_cyto]	[bg_cyto]	[B_Raf_cyto]	[PKA_cyto]	[AC_cyto_mem]	[AMP_cyto]	[GRK_cyto]	[PP2A_cyto]	[MAPK_cyto]	[PTP_cyto]	[PTP_PKA_cyto]	[c_R2C2_cyto]	[c2_R2C2_cyto]	[c3_R2C2_cyto]	[iso_BAR_G_cyto_mem]	[PDE_high_km_cyto]	[cAMP_cyto]	[PTP_PP_cyto]	[PDE4_P_cyto]
43	93.3574	0.180669	2129.06	0.555914	0.0636029	0.000322848	240.624	3.0062e+06	0	118.726	120.4	0.0115874	0.588813	5851.88	0.33026	0.0106101	108.305	0.0554237	0.175321	19.3445	120.225	0.00938782	206.643	3.01373e+06	0.538397	60.2	216.709	120.394	0.00629384	1.66216	0.001138	0.00121841	93.069	301	64.1302	60.2	0.175615
44	95.4079	0.18288	2128.63	0.57351	0.0649973	0.000335767	240.604	3.00604e+06	0	118.651	120.4	0.0115888	0.588812	5851.88	0.330327	0.0123106	108.296	0.0639051	0.197537	19.773	120.202	0.0103485	204.592	3.0139e+06	0.537003	60.2	216.708	120.393	0.00705315	1.73603	0.001191	0.00128418	93.0689	301	65.5582	60.2	0.196209
45	97.4511	0.185062	2128.2	0.591395	0.0663805	0.000348919	240.581	3.00587e+06	0	118.575	120.4	0.0115903	0.588812	5851.88	0.330393	0.0142236	108.287	0.0733958	0.221848	20.2003	120.178	0.0113787	202.549	3.01406e+06	0.535619	60.2	216.706	120.392	0.00787911	1.81142	0.00124507	0.00135169	93.0689	301	66.9844	60.2	0.21854
46	99.4867	0.187222	2127.77	0.609577	0.0677528	0.000362301	240.557	3.00569e+06	0	118.496	120.4	0.0115917	0.588811	5851.88	0.330459	0.0163683	108.276	0.0839826	0.248387	20.6264	120.152	0.0124812	200.513	3.01424e+06	0.534247	60.2	216.704	120.391	0.00877547	1.88832	0.00130021	0.00142096	93.0688	301	68.4086	60.2	0.2427
47	101.515	0.189368	2127.35	0.628061	0.0691141	0.000375914	240.531	3.00552e+06	0	118.417	120.4	0.0115932	0.58881	5851.88	0.330525	0.0187651	108.264	0.0957567	0.27729	21.0513	120.123	0.0136594	198.485	3.01441e+06	0.532886	60.2	216.701	120.39	0.00974608	1.96672	0.00135642	0.00149197	93.0687	301	69.8306	60.2	0.268782
48	103.535	0.191506	2126.92	0.646852	0.0704646	0.000389754	240.503	3.00534e+06	0	118.335	120.4	0.0115946	0.58881	5851.88	0.330591	0.0214354	108.251	0.108814	0.308699	21.4749	120.091	0.0149163	196.465	3.01459e+06	0.531535	60.2	216.699	120.389	0.0107949	2.04661	0.00141368	0.00156475	93.0686	301	71.2502	60.2	0.296882
49	105.547	0.193643	2126.5	0.665957	0.0718043	0.000403821	240.473	3.00516e+06	0	118.253	120.4	0.0115961	0.588809	5851.88	0.330656	0.0244017	108.237	0.123256	0.342757	21.8973	120.057	0.0162551	194.453	3.01477e+06	0.530196	60.2	216.696	120.388	0.0119259	2.12798	0.00147199	0.00163931	93.0685	301	72.6671	60.2	0.327097
50	107.552	0.195783	2126.08	0.685383	0.0731334	0.000418112	240.44	3.00497e+06	0	118.168	120.4	0.0115975	0.588809	5851.88	0.330722	0.0276879	108.221	0.139188	0.379615	22.3184	120.02	0.017679	192.448	3.01495e+06	0.528867	60.2	216.692	120.387	0.0131432	2.21082	0.00153134	0.00171563	93.0685	301	74.0812	60.2	0.359527
51	109.548	0.197932	2125.66	0.705134	0.0744518	0.000432625	240.406	3.00478e+06	0	118.082	120.4	0.0115989	0.588808	5851.88	0.330787	0.0313188	108.203	0.156721	0.419426	22.7382	119.981	0.0191914	190.452	3.01514e+06	0.527548	60.2	216.689	120.386	0.014451	2.29512	0.00159172	0.00179374	93.0684	301	75.4922	60.2	0.394272
52	111.536	0.200094	2125.24	0.725218	0.0757597	0.00044736	240.369	3.00459e+06	0	117.995	120.4	0.0116004	0.588807	5851.88	0.330852	0.0353205	108.184	0.175969	0.462347	23.1567	119.938	0.0207956	188.464	3.01533e+06	0.52624	60.2	216.685	120.384	0.0158536	2.38087	0.00165314	0.00187364	93.0683	301	76.8998	60.2	0.431437
53	113.515	0.202271	2124.82	0.74564	0.0770571	0.000462314	240.329	3.00439e+06	0	117.906	120.4	0.0116018	0.588807	5851.88	0.330917	0.0397204	108.163	0.197054	0.508539	23.5739	119.891	0.022495	186.485	3.01553e+06	0.524943	60.2	216.68	120.383	0.0173555	2.46805	0.00171557	0.00195534	93.0682	301	78.3039	60.2	0.471124
54	115.486	0.204469	2124.4	0.766408	0.078344	0.000477486	240.287	3.00419e+06	0	117.815	120.4	0.0116032	0.588806	5851.88	0.330982	0.044547	108.14	0.220102	0.558168	23.9898	119.842	0.0242929	184.514	3.01573e+06	0.523656	60.2	216.675	120.381	0.0189609	2.55666	0.00177901	0.00203884	93.0681	301	79.7041	60.2	0.513441
55	117.448	0.206688	2123.98	0.787529	0.0796206	0.000492874	240.242	3.00399e+06	0	117.723	120.4	0.0116046	0.588806	5851.88	0.331046	0.0498299	108.115	0.245242	0.611402	24.4042	119.789	0.0261927	182.552	3.01593e+06	0.522379	60.2	216.67	120.379	0.0206746	2.64669	0.00184346	0.00212414	93.0681	301	81.1002	60.2	0.558494
56	119.401	0.208932	2123.57	0.809008	0.0808868	0.000508476	240.194	3.00378e+06	0	117.63	120.4	0.011606	0.588805	5851.88	0.331111	0.0556003	108.087	0.272611	0.668415	24.8173	119.732	0.0281981	180.599	3.01613e+06	0.521113	60.2	216.664	120.377	0.0225011	2.73811	0.0019089	0.00221125	93.068	301	82.4918	60.2	0.606394
57	121.346	0.211203	2123.16	0.830852	0.0821428	0.000524291	240.143	3.00357e+06	0	117.534	120.4	0.0116074	0.588804	5851.88	0.331175	0.0618903	108.058	0.30235	0.729382	25.229	119.671	0.0303123	178.654	3.01634e+06	0.519857	60.2	216.658	120.376	0.024445	2.83093	0.00197532	0.00230019	93.0679	301	83.8788	60.2	0.65725
58	123.281	0.213503	2122.75	0.853069	0.0833885	0.000540317	240.089	3.00336e+06	0	117.438	120.4	0.0116088	0.588804	5851.88	0.331239	0.0687335	108.025	0.334605	0.794484	25.6393	119.606	0.032539	176.719	3.01655e+06	0.518611	60.2	216.651	120.373	0.0265113	2.92511	0.00204272	0.00239094	93.0678	301	85.2609	60.2	0.711175
59	125.206	0.215834	2122.34	0.875665	0.0846241	0.000556552	240.032	3.00314e+06	0	117.34	120.4	0.0116102	0.588803	5851.88	0.331302	0.0761646	107.99	0.369526	0.863903	26.0481	119.536	0.0348818	174.794	3.01677e+06	0.517376	60.2	216.644	120.371	0.0287046	3.02066	0.00211109	0.00248352	93.0677	301	86.6377	60.2	0.768282
60	127.122	0.218197	2121.93	0.898648	0.0858495	0.000572996	239.971	3.00293e+06	0	117.24	120.4	0.0116116	0.588803	5851.88	0.331366	0.0842198	107.953	0.407271	0.937827	26.4554	119.462	0.0373441	172.878	3.01698e+06	0.516151	60.2	216.636	120.369	0.0310299	3.11756	0.00218041	0.00257794	93.0676	301	88.0089	60.2	0.828684
61	129.029	0.220594	2121.52	0.922024	0.0870648	0.000589645	239.908	3.0027e+06	0	117.139	120.4	0.011613	0.588802	5851.88	0.331429	0.0929363	107.912	0.448	1.01644	26.8613	119.384	0.0399296	170.971	3.0172e+06	0.514935	60.2	216.627	120.367	0.0334922	3.21578	0.00225068	0.00267418	93.0676	301	89.3742	60.2	0.892497
62	130.925	0.223025	2121.11	0.945801	0.08827	0.000606499	239.84	3.00248e+06	0	117.037	120.4	0.0116144	0.588801	5851.88	0.331492	0.102353	107.868	0.491881	1.09995	27.2656	119.3	0.0426418	169.075	3.01743e+06	0.51373	60.2	216.618	120.364	0.0360965	3.31533	0.00232189	0.00277227	93.0675	301	90.7334	60.2	0.959837
