Time	[Fringe]	[fucose]	[Delta]	[NI_sub_c_sub_t]	[N_sub_tm]	[TACE]	[a7_degraded]	[Neuralized]	[Numb]	[Mastermind]	[Su(H)]	[CoR]	[Complex_br_(Su(H)/CoR)]	[CoA]	[NI_sub_c_sub_s{nucleus}]	[Complex_br_(Mastermind/Su(H)/_br_CoA/NI_sub_c_sub_s)]	[NI_sub_c_sub_s{nucleus}]	[Sel 10]	[Ub]	[a46_degraded]	[Notch]	[Complex_br_(Delta/N_sub_ext)]	[Notch]	[Neurotic]	[Serrate]	[Complex_br_(Serrate/Notch)]	[Complex_br_(Serrate/N_sub_ext)]	[NI_sub_c_sub_s{cytosol}]	[a25_degraded]	[LNXp80]	[Complex_br_(Notch/Delta)]	[E(spl)-C genes]	[s76]	[s77]	[dapt]	[gama secretase]
37	5	1.17398	1.94428	4.63731	0.71929	0.5	1.93279	0.5	0.434395	1.98413	1.73428	0.250147	0.0465925	1.98413	1.7985	3.08424	1.7985	0.6	0.117424	0.190676	1.17398	0.0424297	1.17398	5	2.90999	1.77584	0.314174	0.0223436	0.205605	0.33	1.0805	0.134891	4.95098	4.95098	0	0.0490243
38	5	1.17495	1.93282	4.61994	0.73809	0.5	1.94902	0.5	0.434382	2.00942	1.68986	0.180435	0.0360092	2.00942	1.83918	3.14819	1.83918	0.6	0.1142	0.192377	1.17495	0.0424008	1.17495	5	2.90718	1.7772	0.315627	0.0225361	0.205618	0.33	1.07576	0.125942	4.95098	4.95098	0	0.0490243
39	5	1.17588	1.92171	4.60261	0.756842	0.5	1.96477	0.5	0.434372	2.02805	1.65624	0.128187	0.0270533	2.02805	1.87367	3.19871	1.87367	0.6	0.111468	0.193823	1.17588	0.0423762	1.17588	5	2.90443	1.77849	0.317074	0.0226957	0.205628	0.33	1.07114	0.118001	4.95098	4.95098	0	0.0490243
40	5	1.17679	1.91093	4.58533	0.775545	0.5	1.98007	0.5	0.434364	2.04106	1.63102	0.0899576	0.0198407	2.04106	1.90295	3.23778	1.90295	0.6	0.109171	0.195043	1.17679	0.0423558	1.17679	5	2.90175	1.77973	0.318517	0.0228263	0.205636	0.33	1.06664	0.11136	4.95098	4.95098	0	0.0490243
41	5	1.17767	1.90047	4.5681	0.794199	0.5	1.99494	0.5	0.434358	2.04957	1.6121	0.0625248	0.0142678	2.04957	1.92808	3.26756	1.92808	0.6	0.107245	0.196066	1.17767	0.0423393	1.17767	5	2.89913	1.78091	0.319955	0.0229325	0.205642	0.33	1.06225	0.106081	4.95098	4.95098	0	0.0490243
42	5	1.17852	1.8903	4.55091	0.812804	0.5	2.00939	0.5	0.434353	2.05463	1.59777	0.0431352	0.0101027	2.05463	1.95004	3.29008	1.95004	0.6	0.10563	0.196923	1.17852	0.0423268	1.17852	5	2.89657	1.78204	0.32139	0.0230195	0.205647	0.33	1.05797	0.102056	4.95098	4.95098	0	0.0490243
43	5	1.17934	1.88043	4.53378	0.831361	0.5	2.02345	0.5	0.434348	2.05713	1.58672	0.0295881	0.00706892	2.05713	1.96966	3.30712	1.96966	0.6	0.104266	0.197646	1.17934	0.0423179	1.17934	5	2.89406	1.78311	0.322821	0.0230918	0.205652	0.33	1.0538	0.0990919	4.95098	4.95098	0	0.0490243
44	5	1.18014	1.87083	4.51669	0.849869	0.5	2.03713	0.5	0.434345	2.05777	1.57798	0.0202052	0.00490168	2.05777	1.98759	3.32015	1.98759	0.6	0.103102	0.19826	1.18014	0.0423127	1.18014	5	2.89161	1.78414	0.324248	0.0231532	0.205655	0.33	1.04973	0.0969692	4.95098	4.95098	0	0.0490243
45	5	1.18092	1.8615	4.49965	0.868329	0.5	2.05043	0.5	0.434342	2.05711	1.57086	0.013749	0.00337571	2.05711	2.00432	3.33028	2.00432	0.6	0.102094	0.198789	1.18092	0.0423109	1.18092	5	2.88921	1.78511	0.325673	0.0232068	0.205658	0.33	1.04576	0.0954857	4.95098	4.95098	0	0.0490243
46	5	1.18167	1.85242	4.48267	0.88674	0.5	2.06339	0.5	0.43434	2.05553	1.56486	0.00932891	0.00231269	2.05553	2.02022	3.33836	2.02022	0.6	0.101207	0.199252	1.18167	0.0423125	1.18167	5	2.88687	1.78604	0.327095	0.0232549	0.20566	0.33	1.04188	0.0944724	4.95098	4.95098	0	0.0490243
47	5	1.1824	1.84359	4.46573	0.905103	0.5	2.076	0.5	0.434338	2.05332	1.55963	0.0063146	0.00157799	2.05332	2.03553	3.34499	2.03553	0.6	0.100412	0.199664	1.1824	0.0423174	1.1824	5	2.88456	1.78692	0.328515	0.0232991	0.205662	0.33	1.03809	0.0937969	4.95098	4.95098	0	0.0490243
48	5	1.18311	1.835	4.44884	0.923418	0.5	2.08829	0.5	0.434337	2.05069	1.55495	0.00426538	0.00107321	2.05069	2.05045	3.35061	2.05045	0.6	0.0996863	0.200038	1.18311	0.0423255	1.18311	5	2.88231	1.78776	0.329933	0.0233406	0.205663	0.33	1.03439	0.09336	4.95098	4.95098	0	0.0490243
49	5	1.18379	1.82663	4.432	0.941684	0.5	2.10026	0.5	0.434336	2.04777	1.55065	0.00287584	0.000727965	2.04777	2.06509	3.35553	2.06509	0.6	0.099014	0.200382	1.18379	0.0423367	1.18379	5	2.8801	1.78855	0.331349	0.0233802	0.205664	0.33	1.03077	0.0930897	4.95098	4.95098	0	0.0490243
50	5	1.18446	1.81848	4.41521	0.959902	0.5	2.11193	0.5	0.434335	2.04468	1.54661	0.00193571	0.000492671	2.04468	2.07954	3.35996	2.07954	0.6	0.0983818	0.200705	1.18446	0.0423509	1.18446	5	2.87793	1.78931	0.332764	0.0234185	0.205665	0.33	1.02724	0.0929346	4.95098	4.95098	0	0.0490243
51	5	1.1851	1.81054	4.39847	0.978072	0.5	2.12331	0.5	0.434334	2.04146	1.54277	0.00130085	0.000332769	2.04146	2.09386	3.36404	2.09386	0.6	0.0977804	0.20101	1.1851	0.042368	1.1851	5	2.8758	1.79002	0.334177	0.023456	0.205666	0.33	1.02378	0.0928585	4.95098	4.95098	0	0.0490243
52	5	1.18573	1.80281	4.38178	0.996193	0.5	2.1344	0.5	0.434334	2.03818	1.53906	0.000872902	0.000224365	2.03818	2.10809	3.36788	2.10809	0.6	0.0972027	0.201303	1.18573	0.0423879	1.18573	5	2.87372	1.79069	0.335589	0.0234928	0.205666	0.33	1.0204	0.0928363	4.95098	4.95098	0	0.0490243
53	5	1.18633	1.79528	4.36514	1.01427	0.5	2.14522	0.5	0.434333	2.03487	1.53545	0.000584892	0.000151024	2.03487	2.12225	3.37155	2.12225	0.6	0.0966436	0.201585	1.18633	0.0424106	1.18633	5	2.87167	1.79133	0.337	0.0235292	0.205667	0.33	1.01709	0.0928506	4.95098	4.95098	0	0.0490243
54	5	1.18692	1.78793	4.34856	1.03229	0.5	2.15578	0.5	0.434333	2.03153	1.53192	0.000391365	0.000101501	2.03153	2.13636	3.37508	2.13636	0.6	0.0960994	0.20186	1.18692	0.042436	1.18692	5	2.86966	1.79193	0.338411	0.0235653	0.205667	0.33	1.01386	0.0928896	4.95098	4.95098	0	0.0490243
55	5	1.18749	1.78077	4.33202	1.05027	0.5	2.16608	0.5	0.434333	2.0282	1.52846	0.000261514	6.81153e-05	2.0282	2.15043	3.37853	2.15043	0.6	0.0955674	0.202128	1.18749	0.0424641	1.18749	5	2.86769	1.79249	0.33982	0.0236012	0.205667	0.33	1.01069	0.0929451	4.95098	4.95098	0	0.0490243
56	5	1.18805	1.77378	4.31553	1.06819	0.5	2.17613	0.5	0.434332	2.02487	1.52505	0.000174512	4.56454e-05	2.02487	2.16448	3.38189	2.16448	0.6	0.0950457	0.20239	1.18805	0.0424947	1.18805	5	2.86575	1.79303	0.34123	0.0236369	0.205668	0.33	1.00759	0.0930114	4.95098	4.95098	0	0.0490243
57	5	1.18858	1.76697	4.29909	1.08607	0.5	2.18595	0.5	0.434332	2.02157	1.52168	0.000116301	3.05451e-05	2.02157	2.1785	3.3852	2.1785	0.6	0.094533	0.202648	1.18858	0.0425278	1.18858	5	2.86384	1.79352	0.342639	0.0236725	0.205668	0.33	1.00456	0.0930848	4.95098	4.95098	0	0.0490243
58	5	1.1891	1.76032	4.28271	1.10391	0.5	2.19553	0.5	0.434332	2.01827	1.51835	7.74062e-05	2.04125e-05	2.01827	2.1925	3.38846	2.1925	0.6	0.0940281	0.202902	1.1891	0.0425634	1.1891	5	2.86196	1.79399	0.344048	0.023708	0.205668	0.33	1.00159	0.0931628	4.95098	4.95098	0	0.0490243
59	5	1.18961	1.75383	4.26637	1.12169	0.5	2.20489	0.5	0.434332	2.01501	1.51506	5.14531e-05	1.36227e-05	2.01501	2.20648	3.39168	2.20648	0.6	0.0935305	0.203152	1.18961	0.0426013	1.18961	5	2.86012	1.79442	0.345457	0.0237433	0.205668	0.33	0.998674	0.0932437	4.95098	4.95098	0	0.0490243
60	5	1.1901	1.7475	4.25008	1.13942	0.5	2.21403	0.5	0.434332	2.01176	1.5118	3.41582e-05	9.0794e-06	2.01176	2.22045	3.39487	2.22045	0.6	0.0930394	0.203399	1.1901	0.0426416	1.1901	5	2.85831	1.79482	0.346867	0.0237786	0.205668	0.33	0.995823	0.0933262	4.95098	4.95098	0	0.0490243
61	5	1.19057	1.74132	4.23385	1.15711	0.5	2.22297	0.5	0.434332	2.00855	1.50857	2.26482e-05	6.04341e-06	2.00855	2.2344	3.39801	2.2344	0.6	0.0925547	0.203642	1.19057	0.0426842	1.19057	5	2.85653	1.7952	0.348276	0.0238138	0.205668	0.33	0.993029	0.0934095	4.95098	4.95098	0	0.0490243
62	5	1.19103	1.73528	4.21767	1.17475	0.5	2.2317	0.5	0.434332	2.00536	1.50537	1.49979e-05	4.01741e-06	2.00536	2.24833	3.40113	2.24833	0.6	0.0920759	0.203882	1.19103	0.042729	1.19103	5	2.85477	1.79554	0.349687	0.023849	0.205668	0.33	0.990291	0.0934932	4.95098	4.95098	0	0.0490243
63	5	1.19148	1.72939	4.20153	1.19234	0.5	2.24023	0.5	0.434332	2.00219	1.5022	9.91958e-06	2.6672e-06	2.00219	2.26225	3.40422	2.26225	0.6	0.0916028	0.20412	1.19148	0.0427761	1.19148	5	2.85305	1.79586	0.351097	0.0238841	0.205668	0.33	0.987607	0.0935769	4.95098	4.95098	0	0.0490243
64	5	1.19191	1.72363	4.18545	1.20988	0.5	2.24857	0.5	0.434332	1.99905	1.49906	6.55278e-06	1.76854e-06	1.99905	2.27615	3.40728	2.27615	0.6	0.0911353	0.204355	1.19191	0.0428252	1.19191	5	2.85135	1.79614	0.352509	0.0239191	0.205668	0.33	0.984975	0.0936603	4.95098	4.95098	0	0.0490243
65	5	1.19233	1.718	4.16942	1.22738	0.5	2.25672	0.5	0.434331	1.99594	1.49594	4.32347e-06	1.1712e-06	1.99594	2.29003	3.41031	2.29003	0.6	0.0906732	0.204587	1.19233	0.0428765	1.19233	5	2.84967	1.7964	0.353921	0.023954	0.205669	0.33	0.982395	0.0937433	4.95098	4.95098	0	0.0490243
66	5	1.19273	1.71251	4.15344	1.24482	0.5	2.2647	0.5	0.434331	1.99285	1.49286	2.84917e-06	7.74656e-07	1.99285	2.3039	3.41332	2.3039	0.6	0.0902164	0.204816	1.19273	0.0429299	1.19273	5	2.84803	1.79664	0.355334	0.0239889	0.205669	0.33	0.979865	0.0938259	4.95098	4.95098	0	0.0490243
67	5	1.19313	1.70714	4.13751	1.26222	0.5	2.27249	0.5	0.434331	1.98979	1.48979	1.87538e-06	5.11744e-07	1.98979	2.31775	3.4163	2.31775	0.6	0.0897647	0.205042	1.19313	0.0429853	1.19313	5	2.8464	1.79685	0.356748	0.0240237	0.205669	0.33	0.977383	0.0939078	4.95098	4.95098	0	0.0490243
68	5	1.19351	1.70189	4.12164	1.27957	0.5	2.28012	0.5	0.434331	1.98676	1.48676	1.23296e-06	3.37651e-07	1.98676	2.33159	3.41925	2.33159	0.6	0.0893182	0.205267	1.19351	0.0430426	1.19351	5	2.8448	1.79703	0.358164	0.0240584	0.205669	0.33	0.974948	0.0939892	4.95098	4.95098	0	0.0490243
69	5	1.19388	1.69676	4.10581	1.29687	0.5	2.28758	0.5	0.434331	1.98375	1.48375	8.09665e-07	2.22516e-07	1.98375	2.34541	3.42218	2.34541	0.6	0.0888766	0.205488	1.19388	0.043102	1.19388	5	2.84323	1.79719	0.35958	0.024093	0.205669	0.33	0.972559	0.0940699	4.95098	4.95098	0	0.0490243
