Time	[Ste5]	[Ste11]	[Ste5Ste11]	[Gbg]	[Ste5Ste11Gbg]	[Fus3]	[Ste5Ste11GbgFus3]	[Ste5Ste11GbgFus3P]	[Fus3PP]	[Ste5Ste11GbgP]	[Ste11Ubi]	[p]	[Kss1]	[Ste5Ste11GbgKss1]	[Ste5Ste11GbgKss1P]	[Kss1PP]	[Ste11P]	[Ste12Kss1]	[Ste12]	[Ste12P]	[s]	[PREP]	[Ste12TeSte5Kss1]	[Ste12TeSte5]	[Ste12TeSte5P]	[FREP]
43	32.0687	1.03376	0.334421	51.5133	3.75989e-13	194.266	1.4783e-10	1.35551	21.3787	0.00667681	1.10438	0	17.4406	1.38551e-11	0.124464	56.0393	9.04006	31.7229	0.182252	4.06482	0	4.13122	2.84972	0.160315	8.9642	8.94499
44	32.0063	1.02753	0.331604	51.5786	2.41758e-13	195.095	8.91248e-11	1.29837	20.6064	0.00636864	1.06132	0	17.1453	8.2344e-12	0.116703	56.2702	9.04911	31.7857	0.185756	3.99852	0	4.06485	2.79643	0.16002	8.98417	8.96446
45	31.9468	1.02168	0.328958	51.6408	1.37289e-13	195.902	5.3791e-11	1.24372	19.8544	0.00607591	1.0195	0	16.8527	4.90877e-12	0.109432	56.4973	9.0576	31.8483	0.18935	3.9324	0	3.99858	2.74403	0.159742	9.00451	8.98438
46	31.8899	1.01618	0.326471	51.7001	5.60434e-14	196.685	3.22846e-11	1.19145	19.123	0.00579776	0.978947	0	16.5635	3.08821e-12	0.102621	56.7205	9.06559	31.9104	0.19303	3.86653	0	3.9325	2.69256	0.159482	9.02513	9.00468
47	31.8356	1.01101	0.324131	51.7568	1.04377e-13	197.446	1.94135e-11	1.14145	18.4127	0.00553339	0.939671	0	16.2778	1.80685e-12	0.0962426	56.9394	9.0731	31.9722	0.196795	3.80097	0	3.86666	2.64205	0.159238	9.04598	9.02527
48	31.7837	1.00615	0.321928	51.8108	2.16209e-14	198.183	1.18614e-11	1.09361	17.7234	0.00528204	0.901681	0	15.996	9.73557e-13	0.09027	57.154	9.08016	32.0336	0.200642	3.73576	0	3.80113	2.59254	0.15901	9.06698	9.04608
49	31.7342	1.00157	0.319853	51.8625	-6.05582e-15	198.897	7.149e-12	1.04782	17.0552	0.005043	0.864974	0	15.7185	6.07253e-13	0.084678	57.3638	9.08682	32.0945	0.204569	3.67094	0	3.73594	2.54403	0.158797	9.08806	9.06704
50	31.6868	0.997255	0.317898	51.9117	-1.49015e-15	199.588	4.2958e-12	1.004	16.408	0.00481559	0.829542	0	15.4454	3.70635e-13	0.0794428	57.5688	9.09309	32.1549	0.208574	3.60654	0	3.67114	2.49656	0.158598	9.10919	9.0881
51	31.6416	0.993189	0.316053	51.9588	-2.02028e-15	200.256	2.66583e-12	0.962055	15.7816	0.00459918	0.795372	0	15.1769	1.43945e-13	0.0745421	57.7689	9.099	32.2148	0.212654	3.54258	0	3.60675	2.45013	0.158414	9.13029	9.1092
52	31.5984	0.989355	0.314312	52.0038	3.18835e-15	200.902	1.68676e-12	0.921895	15.1757	0.00439319	0.762445	0	14.9134	-5.56628e-16	0.0699547	57.9637	9.10457	32.2741	0.216806	3.4791	0	3.54281	2.40476	0.158242	9.15133	9.13027
