Time	[JAK2]	[EpoR]	[SHP1]	[SOS]	[Raf]	[MEK2]	[MEK1]	[ERK1]	[ERK2]	[pJAK2]	[pEpoR]	[mSHP1]	[actSHP1]	[mSOS]	[pRaf]	[ppMEK2]	[ppMEK1]	[ppERK1]	[ppERK2]	[pSOS]	[pMEK2]	[pMEK1]	[pERK1]	[pERK2]	[Delay01_mSHP1]	[Delay02_mSHP1]	[Delay03_mSHP1]	[Delay04_mSHP1]	[Delay05_mSHP1]	[Delay06_mSHP1]	[Delay07_mSHP1]	[Delay08_mSHP1]	[Epo]
78	1.53327	0.8161	1.90541	2.19153	3.77174	10.9067	23.9352	6.71036	20.1536	0.46673	0.1839	0.359242	5.45376	0.00010749	0.000157879	0.0193636	0.0290677	0.0198958	0.0522362	0.318465	0.0739151	0.0357334	0.269748	0.794189	0.368591	0.377676	0.385607	0.391466	0.394408	0.393751	0.389051	0.380144	50
79	1.53456	0.817058	1.89885	2.19169	3.77174	10.9068	23.9352	6.71075	20.1547	0.465441	0.182942	0.35573	5.47378	0.000107208	0.000157399	0.0193365	0.0290276	0.0198435	0.0520987	0.318298	0.07389	0.0357476	0.26941	0.793192	0.364822	0.373953	0.382282	0.388911	0.392973	0.393728	0.390639	0.383433	50
80	1.53589	0.818047	1.89398	2.19204	3.77174	10.9068	23.9353	6.71119	20.156	0.464106	0.181953	0.352427	5.49451	0.000106954	0.000156947	0.0193048	0.0289831	0.0197839	0.051942	0.317953	0.0738558	0.0357575	0.269021	0.792046	0.361176	0.370235	0.378823	0.386072	0.39111	0.393152	0.391586	0.386036	50
81	1.53726	0.819052	1.8907	2.19255	3.77174	10.9069	23.9353	6.71169	20.1575	0.462745	0.180948	0.349354	5.51563	0.000106728	0.000156528	0.0192693	0.0289351	0.0197182	0.0517694	0.317447	0.0738134	0.0357632	0.268591	0.790775	0.357686	0.366568	0.375285	0.383009	0.388878	0.392077	0.391932	0.387975	50
82	1.53862	0.820059	1.88892	2.19319	3.77174	10.907	23.9354	6.71223	20.159	0.461377	0.179941	0.346522	5.5369	0.000106531	0.000156143	0.0192307	0.0288844	0.0196477	0.0515842	0.316802	0.0737639	0.0357648	0.268126	0.789405	0.354378	0.362992	0.371719	0.379781	0.386336	0.390557	0.39172	0.389279	50
83	1.53998	0.821056	1.88852	2.19396	3.77174	10.9071	23.9354	6.71279	20.1607	0.460019	0.178944	0.343942	5.55804	0.000106362	0.000155796	0.0191898	0.0288316	0.0195736	0.0513895	0.316034	0.0737081	0.0357624	0.267635	0.787957	0.351275	0.359542	0.368171	0.376441	0.383542	0.388648	0.390998	0.389982	50
84	1.54131	0.822032	1.88939	2.19483	3.77174	10.9072	23.9355	6.71338	20.1624	0.458685	0.177968	0.34162	5.57883	0.000106222	0.000155487	0.0191472	0.0287776	0.0194971	0.0511884	0.315165	0.0736472	0.0357563	0.267126	0.786455	0.348394	0.356248	0.364684	0.373042	0.380554	0.386406	0.389817	0.390123	50
85	1.54261	0.822977	1.8914	2.19578	3.77174	10.9073	23.9355	6.71398	20.1641	0.45739	0.177023	0.339557	5.59906	0.000106111	0.000155219	0.0191035	0.028723	0.0194192	0.0509837	0.314211	0.0735822	0.0357465	0.266605	0.784919	0.345746	0.353134	0.361292	0.369629	0.377424	0.383886	0.388229	0.389747	50
86	1.54386	0.823884	1.89444	2.1968	3.77175	10.9074	23.9356	6.71458	20.1659	0.456144	0.176116	0.337751	5.61854	0.000106026	0.000154989	0.0190594	0.0286683	0.0193409	0.0507781	0.313191	0.0735141	0.0357335	0.26608	0.78337	0.34334	0.350219	0.358029	0.366246	0.374203	0.381145	0.386288	0.388899	50
87	1.54504	0.824745	1.89838	2.19787	3.77175	10.9075	23.9357	6.71518	20.1676	0.454959	0.175255	0.336198	5.63712	0.000105967	0.0001548	0.0190155	0.0286144	0.0192632	0.050574	0.312122	0.0734438	0.0357175	0.265556	0.781826	0.341181	0.347519	0.354921	0.36293	0.370939	0.378233	0.384046	0.38763	50
88	1.54616	0.825554	1.90312	2.19897	3.77175	10.9077	23.9357	6.71577	20.1693	0.453842	0.174446	0.334893	5.65465	0.000105933	0.000154648	0.0189722	0.0285615	0.019187	0.0503736	0.311021	0.0733723	0.0356988	0.26504	0.780304	0.33927	0.345045	0.35199	0.359715	0.367675	0.375203	0.381557	0.385989	50
89	1.5472	0.826307	1.90851	2.20009	3.77175	10.9078	23.9358	6.71635	20.171	0.452799	0.173693	0.333825	5.67102	0.000105921	0.000154534	0.0189301	0.0285102	0.0191128	0.0501789	0.309902	0.0733005	0.0356778	0.264536	0.77882	0.337605	0.342804	0.349254	0.356629	0.364449	0.372099	0.378872	0.384027	50
90	1.54816	0.827001	1.91447	2.20121	3.77175	10.9079	23.9359	6.71691	20.1726	0.451836	0.172999	0.332986	5.68614	0.000105931	0.000154456	0.0188894	0.028461	0.0190415	0.0499914	0.30878	0.0732293	0.0356549	0.26405	0.777386	0.336181	0.340799	0.346726	0.353698	0.361298	0.368968	0.376041	0.381795	50
91	1.54904	0.827633	1.92086	2.20233	3.77175	10.908	23.936	6.71744	20.1742	0.450957	0.172367	0.332363	5.69995	0.00010596	0.000154411	0.0188507	0.0284142	0.0189735	0.0498128	0.307667	0.0731592	0.0356303	0.263585	0.776016	0.334993	0.339032	0.344416	0.35094	0.358251	0.365847	0.37311	0.379343	50
92	1.54984	0.828202	1.92759	2.20342	3.77175	10.9081	23.936	6.71795	20.1756	0.450164	0.171798	0.331944	5.71239	0.000106006	0.000154397	0.0188141	0.02837	0.0189093	0.0496443	0.306575	0.0730911	0.0356044	0.263144	0.774718	0.33403	0.337499	0.34233	0.348373	0.355335	0.362774	0.370123	0.376719	50
93	1.55054	0.828707	1.93455	2.20448	3.77175	10.9082	23.9361	6.71842	20.177	0.449458	0.171293	0.331715	5.72343	0.000106067	0.000154412	0.01878	0.0283287	0.0188494	0.0494868	0.305515	0.0730256	0.0355775	0.262731	0.7735	0.333285	0.336197	0.34047	0.346007	0.352571	0.35978	0.36712	0.37397	50
94	1.55116	0.829149	1.94165	2.2055	3.77175	10.9083	23.9362	6.71886	20.1783	0.44884	0.170851	0.331662	5.73308	0.000106141	0.000154454	0.0187484	0.0282905	0.0187939	0.0493411	0.304494	0.0729632	0.0355501	0.262348	0.772371	0.332744	0.335118	0.338838	0.343852	0.349979	0.356894	0.364139	0.371138	50
95	1.55169	0.829528	1.9488	2.20647	3.77175	10.9084	23.9362	6.71926	20.1795	0.448307	0.170472	0.331769	5.74134	0.000106227	0.000154519	0.0187197	0.0282555	0.0187431	0.0492078	0.303522	0.0729043	0.0355223	0.261996	0.771334	0.332396	0.334255	0.337431	0.341913	0.347571	0.354139	0.361213	0.368266	50
96	1.55214	0.829846	1.95592	2.20739	3.77175	10.9085	23.9363	6.71963	20.1805	0.447859	0.170154	0.332022	5.74824	0.000106322	0.000154606	0.0186938	0.0282238	0.0186972	0.0490872	0.302603	0.0728493	0.0354946	0.261677	0.770393	0.332227	0.333597	0.336242	0.340191	0.34536	0.351536	0.35837	0.365389	50
97	1.55251	0.830105	1.96294	2.20825	3.77175	10.9085	23.9363	6.71995	20.1815	0.447493	0.169895	0.332406	5.75381	0.000106425	0.00015471	0.0186709	0.0281955	0.0186563	0.0489796	0.301745	0.0727986	0.0354671	0.261391	0.769551	0.332224	0.333132	0.335267	0.338687	0.343352	0.3491	0.355638	0.362543	50
98	1.55279	0.830308	1.96978	2.20904	3.77175	10.9086	23.9364	6.72024	20.1823	0.447206	0.169692	0.332905	5.75811	0.000106533	0.00015483	0.0186509	0.0281704	0.0186203	0.048885	0.30095	0.0727523	0.0354401	0.261139	0.768807	0.332371	0.33285	0.334496	0.337397	0.341551	0.346844	0.353037	0.359758	50
99	1.55301	0.830457	1.97639	2.20977	3.77175	10.9087	23.9364	6.72049	20.183	0.446993	0.169543	0.333505	5.7612	0.000106646	0.000154963	0.0186339	0.0281487	0.0185891	0.0488032	0.300222	0.0727106	0.0354139	0.26092	0.768162	0.332655	0.332737	0.333919	0.336315	0.339958	0.344778	0.350585	0.357061	50
100	1.55315	0.830555	1.98271	2.21043	3.77174	10.9087	23.9365	6.7207	20.1837	0.446851	0.169445	0.33419	5.76314	0.00010676	0.000155106	0.0186197	0.0281303	0.0185628	0.0487341	0.299563	0.0726737	0.0353886	0.260734	0.767614	0.33306	0.332779	0.333526	0.335437	0.338574	0.342909	0.348298	0.354476	50
