Time	[APAF-1]	[Caspase 9]	[Caspase 9-XIAP complex]	[XIAP]	[APAF-1-Caspase 9-XIAP complex]	[APAF-1-Caspase 9 complex]	[Caspase 3]	[Caspase 3 cleaved]	[Caspase 3 cleaved - XIAP complex]	[Caspase 9 cleaved-XIAP complex]	[Caspase 9 cleaved]	[APAF-1-Caspase 9 cleaved complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]
88	15.3402	2.84602	12.3595	15.471	3.78689	0.831716	190.022	1.69165	8.28661	0.0734803	0.061215	0.0186859	0.0225324
89	15.3402	2.82669	12.378	15.3841	3.79259	0.825758	189.961	1.69081	8.34825	0.0742759	0.061233	0.0186914	0.0227766
90	15.3402	2.80793	12.3959	15.2986	3.79813	0.819978	189.901	1.69008	8.40929	0.0750649	0.0612498	0.0186965	0.0230187
91	15.3402	2.78974	12.4133	15.2143	3.80349	0.814371	189.841	1.68946	8.46975	0.0758474	0.0612658	0.0187013	0.0232588
92	15.3402	2.7721	12.4302	15.1314	3.80869	0.808931	189.781	1.68895	8.52964	0.0766235	0.061281	0.0187059	0.023497
93	15.3402	2.75498	12.4465	15.0497	3.81372	0.803653	189.722	1.68854	8.58898	0.0773932	0.0612957	0.0187104	0.0237332
94	15.3402	2.73837	12.4623	14.9692	3.81861	0.798534	189.664	1.68825	8.64776	0.0781566	0.06131	0.0187147	0.0239675
95	15.3402	2.72227	12.4777	14.8899	3.82334	0.793568	189.606	1.68805	8.70602	0.0789139	0.0613241	0.018719	0.0241999
96	15.3402	2.70665	12.4925	14.8117	3.82792	0.788751	189.548	1.68797	8.76375	0.079665	0.0613381	0.0187232	0.0244304
97	15.3402	2.6915	12.5069	14.7347	3.83236	0.784078	189.491	1.68798	8.82098	0.0804101	0.0613521	0.0187274	0.0246591
98	15.3402	2.6768	12.5209	14.6587	3.83666	0.779547	189.434	1.68811	8.8777	0.0811492	0.0613664	0.0187317	0.0248859
99	15.3402	2.66255	12.5344	14.5839	3.84082	0.775152	189.378	1.68833	8.93394	0.0818824	0.061381	0.0187361	0.0251109
100	15.3402	2.64874	12.5474	14.5101	3.84486	0.77089	189.322	1.68866	8.98971	0.0826098	0.061396	0.0187406	0.0253341
