Time	[Auxin]	[X]	[PLSp]	[Ra]	[Ra*]	[Ra_total]	[CK]	[ET]	[PLSm]	[Re]	[Re_total]	[Re*]	[CTR1]	[CTR1_total]	[CTR1*]	[IAA]	[ACC]	[Cytokinin_ext]
85	0.232952	2.18738	0.0369716	0.810999	0.189001	1	0.300237	0.106995	0.0369547	0.289814	0.3	0.010186	0.220168	0.3	0.0798316	0	0	0
86	0.232844	2.18877	0.0369552	0.811074	0.188926	1	0.30034	0.106994	0.0369393	0.289819	0.3	0.0101813	0.220224	0.3	0.0797755	0	0	0
87	0.232743	2.19008	0.0369398	0.811144	0.188856	1	0.300438	0.106993	0.0369248	0.289823	0.3	0.0101768	0.220277	0.3	0.0797227	0	0	0
88	0.232647	2.19131	0.0369253	0.81121	0.18879	1	0.30053	0.106992	0.0369112	0.289827	0.3	0.0101726	0.220327	0.3	0.079673	0	0	0
89	0.232558	2.19247	0.0369116	0.811272	0.188728	1	0.300616	0.106992	0.0368984	0.289831	0.3	0.0101687	0.220374	0.3	0.0796261	0	0	0
90	0.232473	2.19356	0.0368988	0.811331	0.188669	1	0.300697	0.106991	0.0368863	0.289835	0.3	0.010165	0.220418	0.3	0.079582	0	0	0
91	0.232393	2.19459	0.0368867	0.811386	0.188614	1	0.300774	0.10699	0.0368749	0.289838	0.3	0.0101615	0.22046	0.3	0.0795405	0	0	0
92	0.232318	2.19557	0.0368752	0.811438	0.188562	1	0.300846	0.10699	0.0368642	0.289842	0.3	0.0101582	0.220499	0.3	0.0795014	0	0	0
93	0.232248	2.19648	0.0368645	0.811487	0.188513	1	0.300914	0.106989	0.0368541	0.289845	0.3	0.0101551	0.220535	0.3	0.0794645	0	0	0
94	0.232181	2.19734	0.0368544	0.811533	0.188467	1	0.300978	0.106989	0.0368446	0.289848	0.3	0.0101522	0.22057	0.3	0.0794298	0	0	0
95	0.232119	2.19815	0.0368449	0.811576	0.188424	1	0.301039	0.106988	0.0368356	0.289851	0.3	0.0101495	0.220603	0.3	0.0793971	0	0	0
96	0.23206	2.19892	0.0368359	0.811617	0.188383	1	0.301096	0.106988	0.0368272	0.289853	0.3	0.0101469	0.220634	0.3	0.0793663	0	0	0
97	0.232004	2.19964	0.0368275	0.811655	0.188345	1	0.301149	0.106987	0.0368193	0.289856	0.3	0.0101445	0.220663	0.3	0.0793373	0	0	0
98	0.231952	2.20031	0.0368195	0.811692	0.188308	1	0.3012	0.106987	0.0368118	0.289858	0.3	0.0101422	0.22069	0.3	0.07931	0	0	0
99	0.231903	2.20095	0.036812	0.811726	0.188274	1	0.301247	0.106986	0.0368048	0.28986	0.3	0.01014	0.220716	0.3	0.0792842	0	0	0
100	0.231856	2.20156	0.036805	0.811758	0.188242	1	0.301292	0.106986	0.0367981	0.289862	0.3	0.010138	0.22074	0.3	0.07926	0	0	0
