Time	[Receptor]	[JAK]	[Receptor JAK complex]	[Interferon-Receptor-JAK complex]	[IFNRJ dimer]	[Activated IFNRJ complex]	[STAT1c]	[IFNRJ2_star_STAT1c]	[STAT1c_star]	[IFNRJ2_star_STAT1c_star]	[STAT1c_star_STAT1c_star]	[SHP2]	[IFNRJ2_star_SHP2]	[PPX]	[STAT1c_star_PPX]	[STAT1c_STAT1c_star]	[STAT1n_star_STAT1n_star]	[STAT1n_star]	[PPN]	[STAT1n_star_PPN]	[STAT1n]	[STAT1n_STAT1n_star]	[mRNAn]	[mRNAc]	[SOCS1]	[IFNRJ2_star_SOCS1]	[IFNRJ2_star_SHP2_SOCS1_STAT1c]	[STAT1c_star_STAT1c_star_PPX]	[STAT1n_star_STAT1n_star_PPN]	[IFNRJ2_star_SOCS1_STAT1c]	[IFN]	[IFNRJ2_star_SHP2_STAT1c]	[IFNRJ2_star_SHP2_SOCS1]	[IFNR]
79	0.119425	1.31011	0.312519	3.10034	1.90702	0.0663833	992.824	0.432524	2.92928	0.00184104	1.1397	99.7693	0.0307145	49.1147	0.655013	0.00551198	0.0370225	0.092748	59.9707	0.0205441	0.00109872	0.000171704	0	0	0	0	0	0.23032	0.00872309	0	10	0.20003	0	1.19068
80	0.119334	1.30911	0.312043	3.09566	1.90128	0.0671581	992.645	0.437593	2.97453	0.00189306	1.18208	99.7663	0.0311017	49.0945	0.665893	0.00568345	0.0387387	0.0985052	59.9689	0.0219255	0.00118312	0.000181132	0	0	0	0	0	0.239626	0.00916159	0	10	0.20257	0	1.18978
81	0.119243	1.30812	0.311568	3.091	1.89555	0.0679299	992.464	0.44264	3.01964	0.00194561	1.22515	99.7634	0.0314874	49.0742	0.676727	0.00585741	0.0405024	0.104497	59.967	0.0233695	0.00127216	0.000190868	0	0	0	0	0	0.249099	0.00961312	0	10	0.2051	0	1.18888
82	0.119152	1.30713	0.311095	3.08635	1.88986	0.0686987	992.281	0.447665	3.0646	0.00199868	1.26892	99.7605	0.0318716	49.0537	0.687515	0.00603382	0.0423144	0.110725	59.965	0.0248771	0.00136599	0.000200917	0	0	0	0	0	0.258738	0.0100779	0	10	0.207618	0	1.18798
83	0.119061	1.30615	0.310624	3.08172	1.88419	0.0694647	992.096	0.452668	3.10943	0.00205227	1.31336	99.7576	0.0322544	49.0332	0.698257	0.00621267	0.0441757	0.117194	59.963	0.0264495	0.00146475	0.000211282	0	0	0	0	0	0.268541	0.010556	0	10	0.210126	0	1.18709
84	0.118971	1.30516	0.310154	3.0771	1.87855	0.0702278	991.91	0.457649	3.15411	0.00210637	1.35847	99.7547	0.0326356	49.0125	0.708953	0.00639393	0.0460871	0.123907	59.9609	0.0280878	0.00156857	0.000221966	0	0	0	0	0	0.278506	0.0110478	0	10	0.212622	0	1.18619
85	0.118881	1.30418	0.309686	3.0725	1.87294	0.070988	991.721	0.462608	3.19866	0.00216097	1.40425	99.7519	0.0330154	48.9918	0.719604	0.00657756	0.0480497	0.130867	59.9587	0.029793	0.0016776	0.000232975	0	0	0	0	0	0.288631	0.0115534	0	10	0.215107	0	1.1853
86	0.118791	1.3032	0.309219	3.06791	1.86735	0.0717454	991.53	0.467545	3.24307	0.00221606	1.45069	99.749	0.0333937	48.9709	0.73021	0.00676355	0.0500645	0.138075	59.9564	0.0315662	0.00179198	0.000244311	0	0	0	0	0	0.298914	0.012073	0	10	0.21758	0	1.18441
87	0.118701	1.30223	0.308754	3.06334	1.86179	0.0725	991.338	0.472461	3.28733	0.00227165	1.49778	99.7462	0.0337706	48.9499	0.74077	0.00695186	0.0521325	0.145535	59.954	0.0334082	0.00191184	0.000255981	0	0	0	0	0	0.309354	0.0126069	0	10	0.220043	0	1.18353
88	0.118612	1.30125	0.308291	3.05878	1.85626	0.0732517	991.144	0.477355	3.33147	0.00232773	1.54553	99.7434	0.0341461	48.9288	0.751286	0.00714247	0.0542551	0.153249	59.9515	0.03532	0.00203731	0.00026799	0	0	0	0	0	0.319949	0.0131554	0	10	0.222495	0	1.18264
89	0.118522	1.30028	0.307829	3.05424	1.85076	0.0740007	990.948	0.482228	3.37546	0.00238428	1.59391	99.7405	0.0345201	48.9075	0.761757	0.00733534	0.0564334	0.161219	59.949	0.0373023	0.00216855	0.000280341	0	0	0	0	0	0.330696	0.0137186	0	10	0.224936	0	1.18176
90	0.118433	1.29931	0.307368	3.04971	1.84528	0.0747468	990.75	0.48708	3.41933	0.00244131	1.64292	99.7377	0.0348927	48.8862	0.772184	0.00753046	0.0586688	0.169447	59.9463	0.0393561	0.00230566	0.000293042	0	0	0	0	0	0.341594	0.0142971	0	10	0.227367	0	1.18088
91	0.118345	1.29835	0.306909	3.0452	1.83982	0.0754902	990.55	0.49191	3.46305	0.00249881	1.69257	99.735	0.0352638	48.8648	0.782567	0.00772779	0.0609627	0.177935	59.9436	0.041482	0.0024488	0.000306097	0	0	0	0	0	0.352641	0.0148909	0	10	0.229786	0	1.18
92	0.118256	1.29738	0.306452	3.0407	1.8344	0.0762309	990.349	0.496719	3.50665	0.00255677	1.74283	99.7322	0.0356336	48.8433	0.792905	0.00792731	0.0633166	0.186683	59.9408	0.0436808	0.00259809	0.000319514	0	0	0	0	0	0.363835	0.0155006	0	10	0.232195	0	1.17913
93	0.118168	1.29642	0.305996	3.03622	1.829	0.0769688	990.145	0.501507	3.55011	0.00261519	1.79372	99.7294	0.0360019	48.8216	0.8032	0.00812899	0.065732	0.195694	59.9379	0.045953	0.00275365	0.0003333	0	0	0	0	0	0.375175	0.0161263	0	10	0.234593	0	1.17825
94	0.11808	1.29546	0.305542	3.03175	1.82362	0.0777041	989.94	0.506274	3.59344	0.00267406	1.84521	99.7267	0.0363689	48.7999	0.813451	0.0083328	0.0682106	0.204968	59.9349	0.0482992	0.00291561	0.00034746	0	0	0	0	0	0.386658	0.0167686	0	10	0.23698	0	1.17738
95	0.117992	1.29451	0.305089	3.0273	1.81827	0.0784366	989.733	0.511021	3.63664	0.00273338	1.89731	99.7239	0.0367345	48.7781	0.823658	0.00853872	0.0707541	0.214507	59.9319	0.05072	0.0030841	0.000362004	0	0	0	0	0	0.398283	0.0174277	0	10	0.239357	0	1.17651
96	0.117904	1.29355	0.304637	3.02286	1.81295	0.0791664	989.524	0.515746	3.67971	0.00279314	1.95	99.7212	0.0370987	48.7561	0.833822	0.00874672	0.0733642	0.22431	59.9287	0.0532157	0.00325924	0.000376939	0	0	0	0	0	0.410048	0.0181042	0	10	0.241723	0	1.17565
97	0.117817	1.2926	0.304187	3.01843	1.80765	0.0798936	989.314	0.520451	3.72265	0.00285333	2.00328	99.7185	0.0374616	48.7341	0.843943	0.00895678	0.0760429	0.234379	59.9254	0.0557869	0.00344115	0.000392274	0	0	0	0	0	0.421952	0.0187984	0	10	0.244079	0	1.17478
98	0.11773	1.29165	0.303739	3.01403	1.80238	0.0806181	989.101	0.525135	3.76546	0.00291396	2.05716	99.7158	0.0378231	48.712	0.854021	0.00916886	0.078792	0.244714	59.9221	0.0584337	0.00362994	0.000408017	0	0	0	0	0	0.433992	0.0195108	0	10	0.246424	0	1.17392
99	0.117643	1.2907	0.303292	3.00963	1.79713	0.0813401	988.887	0.529799	3.80814	0.00297502	2.11161	99.7131	0.0381832	48.6898	0.864057	0.00938295	0.0816137	0.255314	59.9186	0.0611566	0.00382574	0.000424178	0	0	0	0	0	0.446167	0.0202419	0	10	0.248759	0	1.17306
100	0.117556	1.28976	0.302847	3.00525	1.79191	0.0820593	988.671	0.534443	3.8507	0.00303649	2.16663	99.7104	0.038542	48.6675	0.87405	0.00959901	0.0845099	0.26618	59.9151	0.0639557	0.00402865	0.000440768	0	0	0	0	0	0.458475	0.0209922	0	10	0.251084	0	1.1722
