Time	[ATP]	[ADP]	[Patched]	[Hedgehog target gene]	[Sap18]	[Hedgehog]	[Complex_br_(Patched/Hedgehog)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"Receiving cell"}]	[Complex_br_(Costal2/Smoothened/_br_Fused)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"lipid raft"}]	[CBP]	[Microtubule]	[Cubitus_space_interruptus]	[Complex_br_(Cubitus_space_interruptus_space_repressor/Su(fu))]	[Complex_br_(Sap18/Su(fu)/_br_Cubitus_space_interruptus_space_repressor)]	[smoothened]	[complex]	[MIcrotubule]	[sag]	[Complex_br_(CBP/Cubitus)]	[Complex_br_(Costal2/Fused/../microtubule)]	[Complex_br_(Su(fu)/Fused/../_br_Smoothened)]	[Complex_br_(Su(fu)/Cubitus)]
60	1.30611	0.69389	1.78632	0.929444	0.983604	1.78632	3.21368	0.214442	0.69389	1.56884	5.58036e-07	2.61274	0.327049	0.983604	2.58695	0.0329671	0.0329671	0	0.5	1.16772e-07	0.354295	0.135566	0.150125
61	1.30608	0.693922	1.78632	0.929444	0.983604	1.78632	3.21368	0.214467	0.693922	1.56902	4.25946e-07	2.61304	0.327212	0.983604	2.58695	0.0324324	0.0324324	0	0.5	8.91825e-08	0.354523	0.135638	0.150195
62	1.30605	0.693952	1.78632	0.929444	0.983604	1.78632	3.21368	0.214491	0.693952	1.56919	3.25083e-07	2.61334	0.327369	0.983604	2.58695	0.0319149	0.0319149	0	0.5	6.81017e-08	0.354744	0.135709	0.150263
63	1.30602	0.693982	1.78632	0.929444	0.983604	1.78632	3.21368	0.214514	0.693982	1.56936	2.48074e-07	2.61363	0.327522	0.983604	2.58695	0.0314136	0.0314136	0	0.5	5.19969e-08	0.354958	0.135777	0.150329
64	1.30599	0.694011	1.78632	0.929444	0.983605	1.78632	3.21368	0.214536	0.694011	1.56952	1.89287e-07	2.61391	0.327669	0.983605	2.58695	0.0309279	0.0309279	0	0.5	3.96954e-08	0.355166	0.135843	0.150393
65	1.30596	0.694038	1.78632	0.929444	0.983605	1.78632	3.21368	0.214557	0.694038	1.56967	1.44415e-07	2.61417	0.327812	0.983605	2.58695	0.0304569	0.0304569	0	0.5	3.03004e-08	0.355368	0.135908	0.150455
66	1.30594	0.694065	1.78632	0.929444	0.983605	1.78632	3.21368	0.214578	0.694065	1.56982	1.10169e-07	2.61444	0.32795	0.983605	2.58695	0.03	0.03	0	0.5	2.31261e-08	0.355564	0.13597	0.150516
67	1.30591	0.694091	1.78632	0.929444	0.983605	1.78632	3.21368	0.214598	0.694091	1.56997	8.40347e-08	2.61469	0.328084	0.983605	2.58695	0.0295567	0.0295567	0	0.5	1.76484e-08	0.355755	0.13603	0.150574
68	1.30588	0.694116	1.78632	0.929444	0.983605	1.78632	3.21368	0.214618	0.694116	1.57011	6.40939e-08	2.61493	0.328214	0.983605	2.58695	0.0291262	0.0291262	0	0.5	1.34667e-08	0.35594	0.136089	0.15063
69	1.30586	0.69414	1.78632	0.929444	0.983605	1.78632	3.21368	0.214637	0.69414	1.57025	4.888e-08	2.61517	0.32834	0.983605	2.58695	0.0287081	0.0287081	0	0.5	1.02746e-08	0.35612	0.136147	0.150685
70	1.30584	0.694164	1.78632	0.929444	0.983605	1.78632	3.21368	0.214655	0.694164	1.57038	3.72741e-08	2.6154	0.328462	0.983605	2.58695	0.0283019	0.0283019	0	0.5	7.83837e-09	0.356295	0.136202	0.150739
71	1.30581	0.694187	1.78632	0.929444	0.983605	1.78632	3.21368	0.214673	0.694187	1.57051	2.84213e-08	2.61563	0.328581	0.983605	2.58695	0.027907	0.027907	0	0.5	5.9792e-09	0.356465	0.136256	0.150791
72	1.30579	0.694209	1.78632	0.929444	0.983605	1.78632	3.21368	0.214691	0.694209	1.57064	2.16693e-08	2.61585	0.328697	0.983605	2.58695	0.0275229	0.0275229	0	0.5	4.56054e-09	0.356631	0.136309	0.150841
